Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Bruno Fernandes,8.0,pt POR,"FW,AM",29-343,90,43,60,71.7,693,229,0,0.0,0.0,0,4,0,0,6,True,ManchesterUtd_Fulham_20240816
Marcus Rashford,10.0,eng ENG,LW,26-290,90,22,30,73.3,240,92,0,0.7,0.1,1,2,1,0,2,True,ManchesterUtd_Fulham_20240816
Amad Diallo,16.0,ci CIV,RW,22-036,60,28,33,84.8,312,66,0,0.1,0.1,1,1,0,0,1,True,ManchesterUtd_Fulham_20240816
Alejandro Garnacho,17.0,ar ARG,RW,20-046,30,10,11,90.9,132,19,1,0.2,0.1,2,0,1,1,0,True,ManchesterUtd_Fulham_20240816
Mason Mount,7.0,eng ENG,AM,25-219,60,11,15,73.3,106,12,0,0.1,0.0,2,1,0,0,1,True,ManchesterUtd_Fulham_20240816
Joshua Zirkzee,11.0,nl NED,FW,23-086,30,8,9,88.9,75,26,0,0.0,0.0,0,1,0,0,1,True,ManchesterUtd_Fulham_20240816
Kobbie Mainoo,37.0,eng ENG,DM,19-119,83,37,41,90.2,512,94,0,0.0,0.0,0,3,0,0,5,True,ManchesterUtd_Fulham_20240816
Scott McTominay,39.0,sct SCO,DM,27-252,7,4,4,100.0,73,54,0,0.0,0.0,0,1,0,0,0,True,ManchesterUtd_Fulham_20240816
Casemiro,18.0,br BRA,DM,32-175,90,44,57,77.2,702,227,0,1.0,0.5,3,2,3,1,4,True,ManchesterUtd_Fulham_20240816
Diogo Dalot,20.0,pt POR,"LB,RB",25-151,90,49,60,81.7,760,117,0,0.0,0.0,0,1,0,0,3,True,ManchesterUtd_Fulham_20240816
Lisandro Martínez,6.0,ar ARG,"CB,LB",26-211,90,55,62,88.7,979,371,0,0.0,0.0,1,5,1,0,9,True,ManchesterUtd_Fulham_20240816
Harry Maguire,5.0,eng ENG,CB,31-164,80,50,60,83.3,889,299,0,0.0,0.0,0,5,1,0,8,True,ManchesterUtd_Fulham_20240816
Jonny Evans,35.0,nir NIR,CB,36-226,10,4,6,66.7,78,30,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
Noussair Mazraoui,3.0,ma MAR,RB,26-276,80,41,45,91.1,505,215,0,0.0,0.0,0,5,0,0,3,True,ManchesterUtd_Fulham_20240816
Matthijs de Ligt,4.0,nl NED,CB,25-004,10,2,2,100.0,41,20,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
André Onana,24.0,cm CMR,GK,28-136,90,22,29,75.9,503,310,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Fulham_20240816
Rodrigo Muniz,9.0,br BRA,FW,23-104,77,5,6,83.3,79,13,0,0.1,0.0,2,0,0,0,1,False,ManchesterUtd_Fulham_20240816
Raúl Jiménez,7.0,mx MEX,FW,33-103,13,2,4,50.0,60,1,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Alex Iwobi,17.0,ng NGA,LW,28-105,90,19,29,65.5,249,64,0,0.0,0.1,0,1,3,1,2,False,ManchesterUtd_Fulham_20240816
Adama Traoré,11.0,es ESP,RW,28-204,77,14,21,66.7,155,26,0,0.0,0.0,0,1,0,0,0,False,ManchesterUtd_Fulham_20240816
Harry Wilson,8.0,wls WAL,RW,27-147,13,5,6,83.3,62,13,0,0.0,0.0,0,1,0,0,0,False,ManchesterUtd_Fulham_20240816
Emile Smith Rowe,32.0,eng ENG,AM,24-019,63,20,27,74.1,268,37,0,0.0,0.0,0,3,0,0,1,False,ManchesterUtd_Fulham_20240816
Tom Cairney,10.0,sct SCO,"DM,AM",33-209,27,15,17,88.2,247,69,0,0.0,0.1,1,1,1,0,4,False,ManchesterUtd_Fulham_20240816
Saša Lukić,20.0,rs SRB,DM,28-003,89,40,45,88.9,590,158,0,0.0,0.0,0,2,0,0,4,False,ManchesterUtd_Fulham_20240816
Jay Stansfield,28.0,eng ENG,"AM,DM",21-266,1,0,0,,0,0,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Andreas Pereira,18.0,br BRA,"DM,AM",28-228,89,37,55,67.3,593,275,0,0.3,0.2,6,3,0,0,5,False,ManchesterUtd_Fulham_20240816
Harrison Reed,6.0,eng ENG,DM,29-202,1,1,1,100.0,32,28,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Antonee Robinson,33.0,us USA,LB,27-008,90,32,42,76.2,550,212,0,0.0,0.0,0,2,0,0,2,False,ManchesterUtd_Fulham_20240816
Calvin Bassey,3.0,ng NGA,CB,24-229,90,57,62,91.9,1038,421,0,0.0,0.0,0,4,0,0,5,False,ManchesterUtd_Fulham_20240816
Issa Diop,31.0,fr FRA,CB,27-220,90,28,35,80.0,661,323,0,0.0,0.0,0,2,0,0,2,False,ManchesterUtd_Fulham_20240816
Kenny Tete,2.0,nl NED,RB,28-312,90,24,32,75.0,396,155,0,0.0,0.0,0,0,0,0,2,False,ManchesterUtd_Fulham_20240816
Bernd Leno,1.0,de GER,GK,32-165,90,30,42,71.4,662,348,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Liam Delap,19.0,eng ENG,FW,21-191,73,6,12,50.0,101,51,0,0.2,0.0,2,1,0,0,0,True,IpswichTown_Liverpool_20240817
Ali Al Hamadi,16.0,iq IRQ,FW,22-169,17,1,1,100.0,13,0,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Omari Hutchinson,20.0,eng ENG,"LW,RW",20-292,90,10,20,50.0,150,17,0,0.0,0.0,0,1,1,0,1,True,IpswichTown_Liverpool_20240817
Wes Burns,7.0,wls WAL,RW,29-268,56,9,15,60.0,148,12,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Ben Johnson,18.0,eng ENG,"RB,RW",24-206,34,9,12,75.0,124,73,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Conor Chaplin,10.0,eng ENG,AM,27-183,64,16,23,69.6,263,108,0,0.0,0.0,0,1,1,0,2,True,IpswichTown_Liverpool_20240817
Marcus Harness,11.0,eng ENG,AM,28-175,26,9,14,64.3,81,23,0,0.0,0.0,0,0,2,0,2,True,IpswichTown_Liverpool_20240817
Massimo Luongo,25.0,au AUS,DM,31-327,64,16,19,84.2,260,75,0,0.0,0.0,0,1,0,0,3,True,IpswichTown_Liverpool_20240817
Jack Taylor,14.0,ie IRL,DM,26-055,26,15,19,78.9,293,82,0,0.0,0.0,0,2,0,0,3,True,IpswichTown_Liverpool_20240817
Sam Morsy,5.0,eg EGY,DM,32-342,90,37,47,78.7,602,198,0,0.1,0.1,1,4,0,0,1,True,IpswichTown_Liverpool_20240817
Leif Davis,3.0,eng ENG,LB,24-218,90,29,41,70.7,454,178,0,0.0,0.0,0,3,0,0,2,True,IpswichTown_Liverpool_20240817
Jacob Greaves,24.0,eng ENG,CB,23-340,90,25,30,83.3,481,204,0,0.0,0.0,0,1,0,0,2,True,IpswichTown_Liverpool_20240817
Luke Woolfenden,6.0,eng ENG,CB,25-301,90,48,55,87.3,828,286,0,0.0,0.0,0,2,0,0,2,True,IpswichTown_Liverpool_20240817
Axel Tuanzebe,40.0,cd COD,RB,26-277,73,23,27,85.2,346,158,0,0.0,0.0,0,2,0,0,1,True,IpswichTown_Liverpool_20240817
Sammie Szmodics,23.0,ie IRL,LW,28-328,17,4,4,100.0,78,37,0,0.0,0.0,1,1,1,0,2,True,IpswichTown_Liverpool_20240817
Christian Walton,28.0,eng ENG,GK,28-282,90,33,42,78.6,769,575,0,0.0,0.0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Diogo Jota,20.0,pt POR,FW,27-257,78,9,15,60.0,185,48,0,0.0,0.0,0,2,1,0,2,False,IpswichTown_Liverpool_20240817
Cody Gakpo,18.0,nl NED,FW,25-102,12,7,10,70.0,67,5,0,0.0,0.0,0,0,0,0,0,False,IpswichTown_Liverpool_20240817
Luis Díaz,7.0,co COL,LW,27-217,90,31,36,86.1,441,99,0,0.3,0.4,3,2,2,0,2,False,IpswichTown_Liverpool_20240817
Mohamed Salah,11.0,eg EGY,RW,32-063,90,25,34,73.5,425,39,1,0.5,0.2,2,1,0,0,1,False,IpswichTown_Liverpool_20240817
Dominik Szoboszlai,8.0,hu HUN,AM,23-297,90,44,50,88.0,698,120,0,0.4,0.2,3,3,2,0,6,False,IpswichTown_Liverpool_20240817
Alexis Mac Allister,10.0,ar ARG,DM,25-237,90,42,50,84.0,741,254,0,0.0,0.1,0,5,1,0,7,False,IpswichTown_Liverpool_20240817
Ryan Gravenberch,38.0,nl NED,DM,22-093,90,51,59,86.4,792,263,0,0.0,0.4,0,6,1,0,5,False,IpswichTown_Liverpool_20240817
Andrew Robertson,26.0,sct SCO,LB,30-159,78,61,79,77.2,970,265,0,0.2,0.1,1,2,1,0,3,False,IpswichTown_Liverpool_20240817
Kostas Tsimikas,21.0,gr GRE,LB,28-097,12,12,13,92.3,198,104,0,0.0,0.0,0,1,1,0,5,False,IpswichTown_Liverpool_20240817
Virgil van Dijk,4.0,nl NED,CB,33-040,90,81,86,94.2,1405,616,0,0.0,0.0,0,7,0,0,2,False,IpswichTown_Liverpool_20240817
Jarell Quansah,78.0,eng ENG,CB,21-201,45,25,28,89.3,457,168,0,0.0,0.0,0,0,0,0,0,False,IpswichTown_Liverpool_20240817
Ibrahima Konaté,5.0,fr FRA,CB,25-084,45,28,30,93.3,461,150,0,0.0,0.0,0,1,0,0,0,False,IpswichTown_Liverpool_20240817
Trent Alexander-Arnold,66.0,eng ENG,RB,25-315,76,38,54,70.4,754,340,0,0.7,1.0,3,4,1,1,5,False,IpswichTown_Liverpool_20240817
Conor Bradley,84.0,nir NIR,RB,21-039,14,22,25,88.0,274,82,0,0.0,0.0,0,0,0,0,1,False,IpswichTown_Liverpool_20240817
Alisson,1.0,br BRA,GK,31-320,90,44,51,86.3,883,452,0,0.0,0.0,0,1,0,0,0,False,IpswichTown_Liverpool_20240817
Alexander Isak,14.0,se SWE,FW,24-331,90,8,10,80.0,99,36,1,0.2,0.1,1,0,0,0,1,True,NewcastleUtd_Southampton_20240817
Anthony Gordon,10.0,eng ENG,LW,23-175,69,11,18,61.1,108,32,0,0.0,0.0,1,0,1,0,2,True,NewcastleUtd_Southampton_20240817
Harvey Barnes,11.0,eng ENG,LW,26-252,21,1,2,50.0,14,7,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Jacob Murphy,23.0,eng ENG,RW,29-175,29,6,7,85.7,98,42,0,0.0,0.0,0,1,1,0,3,True,NewcastleUtd_Southampton_20240817
Emil Krafth,17.0,se SWE,CB,30-015,61,2,3,66.7,22,0,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Joelinton,7.0,br BRA,LM,28-003,90,10,17,58.8,112,33,0,0.0,0.0,0,1,1,0,2,True,NewcastleUtd_Southampton_20240817
Bruno Guimarães,39.0,br BRA,CM,26-275,90,18,28,64.3,295,172,0,0.0,0.0,0,2,1,0,1,True,NewcastleUtd_Southampton_20240817
Sean Longstaff,36.0,eng ENG,RM,26-292,90,11,15,73.3,145,42,0,0.0,0.0,0,0,0,0,2,True,NewcastleUtd_Southampton_20240817
Lewis Hall,20.0,eng ENG,LB,19-344,69,17,30,56.7,238,122,0,0.0,0.0,1,0,0,0,3,True,NewcastleUtd_Southampton_20240817
Lloyd Kelly,25.0,eng ENG,LB,25-316,21,1,2,50.0,11,7,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Dan Burn,33.0,eng ENG,CB,32-100,90,13,18,72.2,250,99,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Fabian Schär,5.0,ch SUI,CB,32-241,27,9,11,81.8,161,63,0,0.0,0.0,0,1,0,0,1,True,NewcastleUtd_Southampton_20240817
Valentino Livramento,21.0,eng ENG,RB,21-279,90,11,20,55.0,178,77,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Nick Pope,22.0,eng ENG,GK,32-120,90,10,26,38.5,490,402,0,0.0,0.0,0,1,0,0,0,True,NewcastleUtd_Southampton_20240817
Ben Brereton,17.0,cl CHI,FW,25-121,69,20,26,76.9,229,29,0,0.1,0.0,1,1,0,0,0,False,NewcastleUtd_Southampton_20240817
Cameron Archer,19.0,eng ENG,FW,23-027,21,2,4,50.0,19,0,0,0.0,0.0,0,0,0,0,0,False,NewcastleUtd_Southampton_20240817
Adam Armstrong,9.0,eng ENG,FW,27-189,90,20,25,80.0,282,21,0,0.1,0.1,1,3,0,0,2,False,NewcastleUtd_Southampton_20240817
Joe Aribo,7.0,ng NGA,CM,28-027,69,33,40,82.5,492,64,0,0.6,0.4,2,2,1,0,4,False,NewcastleUtd_Southampton_20240817
Tyler Dibling,33.0,eng ENG,CM,18-158,21,14,15,93.3,192,10,0,0.0,0.0,1,2,0,0,1,False,NewcastleUtd_Southampton_20240817
Flynn Downes,4.0,eng ENG,"CM,CB",25-210,90,83,90,92.2,1154,274,0,0.1,0.1,3,9,3,0,8,False,NewcastleUtd_Southampton_20240817
William Smallbone,8.0,ie IRL,CM,24-178,90,45,63,71.4,605,85,0,0.0,0.3,0,2,0,0,5,False,NewcastleUtd_Southampton_20240817
Kyle Walker-Peters,2.0,eng ENG,WB,27-126,80,65,75,86.7,968,257,0,0.0,0.1,0,7,3,0,11,False,NewcastleUtd_Southampton_20240817
Carlos Alcaraz,22.0,ar ARG,CM,21-261,10,13,13,100.0,221,66,0,0.1,0.0,1,4,1,1,6,False,NewcastleUtd_Southampton_20240817
Yukinari Sugawara,16.0,jp JPN,WB,24-050,45,22,35,62.9,362,92,0,0.2,0.2,1,0,1,1,1,False,NewcastleUtd_Southampton_20240817
Samuel Edozie,23.0,eng ENG,WB,21-202,45,20,23,87.0,272,61,0,0.1,0.2,1,0,3,0,4,False,NewcastleUtd_Southampton_20240817
Jack Stephens,5.0,eng ENG,CB,30-203,90,85,91,93.4,1442,442,0,0.0,0.0,1,10,1,0,11,False,NewcastleUtd_Southampton_20240817
Jan Bednarek,35.0,pl POL,CB,28-127,80,77,82,93.9,1496,619,0,0.0,0.0,1,8,0,0,6,False,NewcastleUtd_Southampton_20240817
Samuel Amo-Ameyaw,27.0,eng ENG,WB,18-030,10,5,5,100.0,68,13,0,0.1,0.1,1,0,1,1,0,False,NewcastleUtd_Southampton_20240817
Taylor Harwood-Bellis,6.0,eng ENG,CB,22-200,90,82,93,88.2,1306,357,0,0.0,0.0,1,10,0,0,3,False,NewcastleUtd_Southampton_20240817
Alex McCarthy,1.0,eng ENG,GK,34-258,90,18,22,81.8,395,257,0,0.0,0.0,0,0,0,0,0,False,NewcastleUtd_Southampton_20240817
Dominic Calvert-Lewin,9.0,eng ENG,FW,27-154,75,12,14,85.7,206,37,0,0.0,0.0,0,2,1,0,4,True,Everton_Brighton_20240817
Beto,14.0,gw GNB,FW,26-199,15,1,4,25.0,12,0,0,0.0,0.0,0,0,0,0,0,True,Everton_Brighton_20240817
Dwight McNeil,7.0,eng ENG,"LW,RB,RW",24-269,90,24,32,75.0,404,113,0,0.0,0.2,1,0,0,0,1,True,Everton_Brighton_20240817
Jack Harrison,11.0,eng ENG,RW,27-271,84,17,26,65.4,215,57,0,0.1,0.3,1,2,0,0,2,True,Everton_Brighton_20240817
Mason Holgate,4.0,jm JAM,"RW,RB",27-300,6,2,2,100.0,55,0,0,0.0,0.0,0,0,0,0,0,True,Everton_Brighton_20240817
Abdoulaye Doucouré,16.0,ml MLI,AM,31-229,62,12,19,63.2,160,7,0,0.0,0.0,0,0,0,0,0,True,Everton_Brighton_20240817
Iliman Ndiaye,10.0,sn SEN,"LW,AM",24-164,28,3,4,75.0,50,0,0,0.0,0.0,0,0,0,0,0,True,Everton_Brighton_20240817
Idrissa Gana Gueye,27.0,sn SEN,DM,34-326,90,29,35,82.9,529,105,0,0.0,0.0,0,3,0,0,4,True,Everton_Brighton_20240817
Tim Iroegbunam,42.0,eng ENG,DM,21-048,90,17,29,58.6,316,107,0,0.0,0.0,0,3,0,0,3,True,Everton_Brighton_20240817
Vitaliy Mykolenko,19.0,ua UKR,LB,25-080,90,33,42,78.6,476,108,0,0.0,0.0,0,2,0,0,2,True,Everton_Brighton_20240817
Michael Keane,5.0,eng ENG,CB,31-219,90,44,53,83.0,1161,384,0,0.0,0.0,0,6,0,0,3,True,Everton_Brighton_20240817
James Tarkowski,6.0,eng ENG,CB,31-272,90,45,54,83.3,1029,326,0,0.0,0.0,1,4,1,0,3,True,Everton_Brighton_20240817
Ashley Young,18.0,eng ENG,RB,39-039,65,26,38,68.4,538,200,0,0.1,0.2,1,4,2,1,7,True,Everton_Brighton_20240817
Jordan Pickford,1.0,eng ENG,GK,30-163,90,33,47,70.2,1366,1178,0,0.0,0.0,0,6,2,0,0,True,Everton_Brighton_20240817
Danny Welbeck,18.0,eng ENG,FW,33-265,90,16,18,88.9,200,75,1,0.1,0.0,2,3,0,0,4,False,Everton_Brighton_20240817
Kaoru Mitoma,22.0,jp JPN,LW,27-089,88,24,29,82.8,243,51,0,0.0,0.0,0,1,2,0,3,False,Everton_Brighton_20240817
Yasin Ayari,26.0,se SWE,LW,20-316,2,1,2,50.0,7,0,0,0.0,0.0,0,0,0,0,0,False,Everton_Brighton_20240817
Yankuba Minteh,17.0,gm GAM,RW,20-026,44,9,13,69.2,111,42,1,1.0,0.7,3,1,1,0,2,False,Everton_Brighton_20240817
Simon Adingra,24.0,ci CIV,RW,22-229,46,13,21,61.9,170,28,0,0.0,0.0,0,0,0,0,0,False,Everton_Brighton_20240817
João Pedro,9.0,br BRA,AM,22-326,81,9,16,56.3,123,55,0,0.1,0.0,1,0,2,0,2,False,Everton_Brighton_20240817
Jeremy Sarmiento,16.0,ec ECU,AM,22-062,9,6,6,100.0,74,1,0,0.0,0.0,0,0,0,0,0,False,Everton_Brighton_20240817
Mats Wieffer,27.0,nl NED,DM,24-275,90,63,72,87.5,1029,277,1,0.1,0.0,1,1,0,0,3,False,Everton_Brighton_20240817
James Milner,6.0,eng ENG,DM,38-226,81,30,40,75.0,501,193,0,0.2,0.1,3,1,1,1,4,False,Everton_Brighton_20240817
Billy Gilmour,11.0,sct SCO,DM,23-067,9,10,12,83.3,112,25,0,0.0,0.0,0,1,1,0,1,False,Everton_Brighton_20240817
Jack Hinshelwood,41.0,eng ENG,LB,19-128,90,60,72,83.3,974,268,0,0.0,0.0,0,4,0,0,6,False,Everton_Brighton_20240817
Lewis Dunk,5.0,eng ENG,CB,32-270,75,60,70,85.7,940,223,0,0.0,0.0,0,0,0,0,2,False,Everton_Brighton_20240817
Adam Webster,4.0,eng ENG,CB,29-226,15,30,33,90.9,619,287,0,0.0,0.0,0,5,0,0,5,False,Everton_Brighton_20240817
Jan Paul van Hecke,29.0,nl NED,CB,24-070,90,81,87,93.1,1395,644,0,0.0,0.0,0,1,0,0,4,False,Everton_Brighton_20240817
Joël Veltman,34.0,nl NED,RB,32-215,90,42,52,80.8,623,171,0,0.0,0.0,0,2,0,0,2,False,Everton_Brighton_20240817
Jason Steele,23.0,eng ENG,GK,33-365,90,56,62,90.3,1151,743,0,0.0,0.0,0,0,0,0,0,False,Everton_Brighton_20240817
Chris Wood,11.0,nz NZL,FW,32-254,71,16,26,61.5,210,68,0,0.0,0.0,0,0,0,0,1,True,Nott'hamForest_Bournemouth_20240817
Taiwo Awoniyi,9.0,ng NGA,FW,27-005,19,4,5,80.0,49,0,0,0.0,0.0,0,0,0,0,1,True,Nott'hamForest_Bournemouth_20240817
Callum Hudson-Odoi,14.0,eng ENG,LW,23-284,71,33,39,84.6,442,82,0,0.1,0.2,3,0,0,0,1,True,Nott'hamForest_Bournemouth_20240817
Elliot Anderson,8.0,eng ENG,LW,21-285,19,6,13,46.2,55,17,0,0.0,0.0,0,0,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Anthony Elanga,21.0,se SWE,RW,22-112,53,26,31,83.9,301,92,0,0.1,0.2,2,0,2,0,3,True,Nott'hamForest_Bournemouth_20240817
Nicolás Domínguez,16.0,ar ARG,RW,26-050,37,24,29,82.8,327,78,0,0.0,0.1,0,5,1,0,3,True,Nott'hamForest_Bournemouth_20240817
Morgan Gibbs-White,10.0,eng ENG,AM,24-203,90,46,63,73.0,617,155,0,0.1,0.1,3,6,2,0,6,True,Nott'hamForest_Bournemouth_20240817
Danilo,28.0,br BRA,DM,23-110,14,3,3,100.0,85,6,0,0.0,0.0,0,0,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Ryan Yates,22.0,eng ENG,DM,26-270,76,35,37,94.6,493,121,0,0.0,0.0,1,4,2,0,7,True,Nott'hamForest_Bournemouth_20240817
Ibrahim Sangaré,6.0,ci CIV,DM,26-259,90,38,54,70.4,502,189,0,0.0,0.0,0,1,0,0,5,True,Nott'hamForest_Bournemouth_20240817
Ola Aina,34.0,ng NGA,LB,27-314,53,22,33,66.7,262,96,0,0.0,0.0,0,1,0,0,4,True,Nott'hamForest_Bournemouth_20240817
Harry Toffolo,15.0,eng ENG,LB,28-364,37,22,30,73.3,299,163,0,0.0,0.0,0,1,0,0,1,True,Nott'hamForest_Bournemouth_20240817
Murillo,5.0,br BRA,CB,22-044,90,36,39,92.3,627,143,0,0.0,0.0,0,1,0,0,1,True,Nott'hamForest_Bournemouth_20240817
Willy Boly,30.0,ci CIV,CB,33-196,90,42,53,79.2,830,368,0,0.0,0.0,0,2,0,0,2,True,Nott'hamForest_Bournemouth_20240817
Neco Williams,7.0,wls WAL,RB,23-126,90,31,40,77.5,485,190,0,0.2,0.1,2,0,4,2,2,True,Nott'hamForest_Bournemouth_20240817
Matz Sels,26.0,be BEL,GK,32-173,90,36,48,75.0,1176,938,0,0.0,0.0,0,3,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Antoine Semenyo,24.0,gh GHA,"LW,RW,FW",24-223,90,22,33,66.7,370,30,0,0.0,0.0,0,1,0,0,1,False,Nott'hamForest_Bournemouth_20240817
Luis Sinisterra,17.0,co COL,"FW,LW",25-061,62,12,15,80.0,188,24,0,0.0,0.0,0,0,0,0,1,False,Nott'hamForest_Bournemouth_20240817
Justin Kluivert,19.0,nl NED,"LW,FW",25-104,28,11,14,78.6,223,63,0,0.0,0.0,0,0,2,0,5,False,Nott'hamForest_Bournemouth_20240817
Dango Ouattara,11.0,bf BFA,RW,22-188,68,8,21,38.1,125,24,0,0.0,0.0,0,0,0,0,0,False,Nott'hamForest_Bournemouth_20240817
Daniel Jebbison,21.0,ca CAN,FW,21-004,22,3,5,60.0,38,6,0,0.0,0.0,1,1,0,0,0,False,Nott'hamForest_Bournemouth_20240817
Marcus Tavernier,16.0,eng ENG,"AM,DM",25-148,90,35,49,71.4,626,176,0,0.2,0.1,3,7,1,0,13,False,Nott'hamForest_Bournemouth_20240817
Lewis Cook,4.0,eng ENG,DM,27-196,83,29,40,72.5,520,184,0,0.2,0.2,1,5,0,0,5,False,Nott'hamForest_Bournemouth_20240817
Philip Billing,29.0,dk DEN,AM,28-067,7,1,2,50.0,15,0,0,0.0,0.0,0,0,0,0,0,False,Nott'hamForest_Bournemouth_20240817
Alex Scott,14.0,eng ENG,DM,20-362,62,19,21,90.5,338,101,0,0.1,0.0,1,3,1,0,6,False,Nott'hamForest_Bournemouth_20240817
Ryan Christie,10.0,sct SCO,DM,29-177,28,18,26,69.2,327,75,0,0.0,0.0,0,3,0,0,2,False,Nott'hamForest_Bournemouth_20240817
Milos Kerkez,3.0,hu HUN,LB,20-284,90,46,56,82.1,755,301,0,0.0,0.0,1,3,0,0,8,False,Nott'hamForest_Bournemouth_20240817
Dean Huijsen,2.0,es ESP,CB,19-125,90,56,68,82.4,1060,470,0,0.0,0.0,0,1,0,0,4,False,Nott'hamForest_Bournemouth_20240817
Illia Zabarnyi,27.0,ua UKR,CB,21-351,90,45,57,78.9,1001,546,0,0.0,0.0,0,5,1,0,2,False,Nott'hamForest_Bournemouth_20240817
Adam Smith,15.0,eng ENG,RB,33-110,62,18,21,85.7,296,82,0,0.0,0.0,0,1,0,0,0,False,Nott'hamForest_Bournemouth_20240817
Julian Araujo,28.0,mx MEX,RB,23-004,28,17,23,73.9,319,127,0,0.0,0.0,0,3,1,0,2,False,Nott'hamForest_Bournemouth_20240817
Neto,1.0,br BRA,GK,35-029,90,23,34,67.6,427,238,0,0.0,0.0,0,0,0,0,0,False,Nott'hamForest_Bournemouth_20240817
Kai Havertz,29.0,de GER,"FW,LM",25-067,90,14,18,77.8,201,57,1,0.1,0.0,2,1,2,0,5,True,Arsenal_Wolves_20240817
Gabriel Martinelli,11.0,br BRA,"LW,RW",23-060,90,18,23,78.3,268,48,0,0.4,0.2,3,0,1,1,2,True,Arsenal_Wolves_20240817
Bukayo Saka,7.0,eng ENG,RW,22-347,79,20,25,80.0,343,141,1,0.4,0.4,5,1,2,1,5,True,Arsenal_Wolves_20240817
Leandro Trossard,19.0,be BEL,LW,29-257,11,3,4,75.0,44,8,0,0.0,0.0,0,0,0,0,0,True,Arsenal_Wolves_20240817
Declan Rice,41.0,eng ENG,LM,25-216,84,26,31,83.9,458,132,0,0.1,0.1,1,3,3,0,8,True,Arsenal_Wolves_20240817
Gabriel Jesus,9.0,br BRA,FW,27-136,6,4,4,100.0,33,0,0,0.0,0.0,0,0,0,0,0,True,Arsenal_Wolves_20240817
Thomas Partey,5.0,gh GHA,CM,31-065,90,33,37,89.2,575,145,0,0.1,0.1,4,1,3,0,6,True,Arsenal_Wolves_20240817
Martin Ødegaard,8.0,no NOR,RM,25-244,90,29,34,85.3,504,169,0,0.1,0.1,2,5,4,0,8,True,Arsenal_Wolves_20240817
Oleksandr Zinchenko,17.0,ua UKR,LB,27-246,68,52,61,85.2,851,190,0,0.0,0.0,0,3,1,0,6,True,Arsenal_Wolves_20240817
Jurriën Timber,12.0,nl NED,LB,23-061,22,9,10,90.0,154,80,0,0.0,0.0,0,0,0,0,0,True,Arsenal_Wolves_20240817
Gabriel Magalhães,6.0,br BRA,CB,26-242,90,54,66,81.8,1091,257,0,0.0,0.0,0,2,0,0,3,True,Arsenal_Wolves_20240817
William Saliba,2.0,fr FRA,CB,23-146,90,54,62,87.1,915,271,0,0.0,0.0,0,1,0,0,4,True,Arsenal_Wolves_20240817
Ben White,4.0,eng ENG,RB,26-314,90,38,46,82.6,653,313,0,0.0,0.1,0,5,1,0,6,True,Arsenal_Wolves_20240817
David Raya,22.0,es ESP,GK,28-337,90,28,37,75.7,782,589,0,0.0,0.0,0,2,0,0,0,True,Arsenal_Wolves_20240817
Jørgen Strand Larsen,9.0,no NOR,FW,24-193,83,8,12,66.7,91,11,0,0.0,0.0,0,1,0,0,0,False,Arsenal_Wolves_20240817
Chiquinho,23.0,pt POR,LM,24-194,7,3,3,100.0,71,22,0,0.0,0.0,1,0,1,1,0,False,Arsenal_Wolves_20240817
Rodrigo Gomes,19.0,pt POR,"LW,LM",21-041,74,11,20,55.0,136,18,0,0.0,0.0,0,0,0,0,1,False,Arsenal_Wolves_20240817
Daniel Podence,10.0,pt POR,RM,28-301,16,2,4,50.0,19,13,0,0.0,0.0,0,1,0,0,0,False,Arsenal_Wolves_20240817
Hwang Hee-chan,11.0,kr KOR,"RW,RM,FW,LM",28-204,90,18,23,78.3,235,56,0,0.1,0.1,1,1,1,1,2,False,Arsenal_Wolves_20240817
Jean-Ricner Bellegarde,27.0,ht HAI,AM,26-051,56,14,17,82.4,223,25,0,0.0,0.0,0,1,0,0,1,False,Arsenal_Wolves_20240817
