Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
Mark Flekken,nl NED,31-258,90,4,1.0,3.0,75.0,2.4,6,10,60.0,48,7,18.8,29.7,12,3.0,25.0,0.0,6.7,True,Brentford_Everton_20250226
Jordan Pickford,eng ENG,30-356,90,3,1.0,2.0,66.7,0.9,7,16,43.8,36,5,36.1,32.9,15,0.0,0.0,0.0,,False,Brentford_Everton_20250226
Alisson,br BRA,32-147,90,0,0.0,0.0,,0.0,4,5,80.0,33,5,15.2,28.5,13,0.0,0.0,3.0,28.0,True,Liverpool_NewcastleUtd_20250226
Nick Pope,eng ENG,32-313,90,3,2.0,1.0,33.3,1.1,2,8,25.0,12,3,25.0,28.3,3,1.0,33.3,3.0,17.2,False,Liverpool_NewcastleUtd_20250226
Alphonse Areola,fr FRA,32-000,90,2,0.0,2.0,100.0,0.2,0,9,0.0,24,4,20.8,28.3,19,0.0,0.0,0.0,,True,WestHam_LeicesterCity_20250227
Mads Hermansen,dk DEN,24-231,90,2,2.0,1.0,0.0,0.7,0,10,0.0,24,2,29.2,31.0,13,0.0,0.0,0.0,5.0,False,WestHam_LeicesterCity_20250227
Matz Sels,be BEL,33-010,90,3,0.0,3.0,100.0,0.5,10,19,52.6,15,4,66.7,43.1,9,0.0,0.0,0.0,,True,Nott'hamForest_ManchesterCity_20250308
Ederson,br BRA,31-203,90,4,1.0,3.0,75.0,0.9,2,4,50.0,29,8,13.8,26.5,16,1.0,6.3,5.0,20.1,False,Nott'hamForest_ManchesterCity_20250308
Alisson,br BRA,32-157,90,4,1.0,3.0,75.0,0.4,4,7,57.1,31,4,19.4,28.2,4,0.0,0.0,4.0,20.1,True,Liverpool_Southampton_20250308
Aaron Ramsdale,eng ENG,26-298,90,7,3.0,4.0,85.7,3.3,5,20,25.0,19,3,42.1,39.5,14,0.0,0.0,0.0,8.0,False,Liverpool_Southampton_20250308
Bart Verbruggen,nl NED,22-202,90,1,1.0,0.0,0.0,0.7,0,3,0.0,24,3,12.5,21.8,19,2.0,10.5,0.0,2.8,True,Brighton_Fulham_20250308
Bernd Leno,de GER,33-004,90,4,2.0,2.0,75.0,1.8,4,6,66.7,35,2,11.4,23.0,12,0.0,0.0,0.0,5.0,False,Brighton_Fulham_20250308
Dean Henderson,eng ENG,27-361,90,7,0.0,7.0,100.0,1.6,3,12,25.0,29,7,24.1,33.4,14,0.0,0.0,1.0,7.8,True,CrystalPalace_IpswichTown_20250308
Alex Palmer,eng ENG,28-210,90,4,1.0,3.0,75.0,1.3,4,9,44.4,17,1,17.6,26.4,17,2.0,11.8,0.0,8.2,False,CrystalPalace_IpswichTown_20250308
Mark Flekken,nl NED,31-268,90,4,1.0,3.0,75.0,0.7,2,9,22.2,40,5,22.5,30.9,10,2.0,20.0,0.0,8.3,True,Brentford_AstonVilla_20250308
Robin Olsen,se SWE,35-059,90,3,0.0,3.0,100.0,0.7,5,21,23.8,34,1,50.0,39.3,23,3.0,13.0,0.0,8.6,False,Brentford_AstonVilla_20250308
José Sá,pt POR,32-050,90,4,1.0,3.0,75.0,1.5,2,7,28.6,29,6,24.1,29.4,12,2.0,16.7,2.0,13.6,True,Wolves_Everton_20250308
Jordan Pickford,eng ENG,31-001,90,3,1.0,2.0,66.7,1.1,8,20,40.0,35,5,34.3,34.7,15,1.0,6.7,1.0,13.0,False,Wolves_Everton_20250308
Robert Sánchez,es ESP,27-111,90,3,0.0,3.0,100.0,0.2,1,4,25.0,18,6,22.2,30.2,17,1.0,5.9,0.0,7.5,True,Chelsea_LeicesterCity_20250309
Mads Hermansen,dk DEN,24-241,90,7,1.0,5.0,85.7,1.5,2,22,9.1,45,4,37.8,35.1,22,0.0,0.0,2.0,28.5,False,Chelsea_LeicesterCity_20250309
Guglielmo Vicario,it ITA,28-153,90,8,2.0,6.0,75.0,2.5,1,7,14.3,36,7,19.4,27.7,11,1.0,9.1,1.0,17.0,True,Tottenham_Bournemouth_20250309
Kepa Arrizabalaga,es ESP,30-157,90,4,2.0,2.0,75.0,1.1,6,17,35.3,29,4,58.6,39.0,14,0.0,0.0,0.0,4.0,False,Tottenham_Bournemouth_20250309
