Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
Aaron Ramsdale,eng ENG,26-333,90,10,3.0,5.0,70.0,2.9,10,16,62.5,30,7,33.3,30.8,26,1.0,3.8,0.0,8.5,True,Southampton_AstonVilla_20250412
Emiliano Martínez,ar ARG,32-222,90,2,0.0,2.0,100.0,0.2,0,1,0.0,22,2,4.5,22.8,14,1.0,7.1,1.0,10.8,False,Southampton_AstonVilla_20250412
Matz Sels,be BEL,33-045,90,5,1.0,4.0,80.0,1.3,3,15,20.0,18,3,55.6,39.7,22,0.0,0.0,0.0,11.0,True,Nott'hamForest_Everton_20250412
Jordan Pickford,eng ENG,31-036,90,5,0.0,5.0,100.0,0.8,2,14,14.3,36,5,30.6,32.2,8,1.0,12.5,0.0,3.0,False,Nott'hamForest_Everton_20250412
David Raya,es ESP,29-209,90,2,1.0,1.0,50.0,0.3,3,17,17.6,36,9,33.3,31.8,10,3.0,30.0,1.0,21.8,True,Arsenal_Brentford_20250412
Mark Flekken,nl NED,31-303,90,3,1.0,2.0,66.7,0.4,10,18,55.6,38,2,31.6,37.8,16,0.0,0.0,1.0,11.5,False,Arsenal_Brentford_20250412
Alisson,br BRA,32-193,90,4,1.0,4.0,75.0,0.6,2,15,13.3,34,2,32.4,35.1,9,1.0,11.1,2.0,13.8,True,Liverpool_WestHam_20250413
Alphonse Areola,fr FRA,32-045,90,6,2.0,4.0,66.7,1.7,3,11,27.3,29,5,34.5,34.3,19,0.0,0.0,1.0,14.5,False,Liverpool_WestHam_20250413
Robert Sánchez,es ESP,27-146,90,4,2.0,2.0,50.0,1.3,1,8,12.5,29,7,24.1,28.1,7,1.0,14.3,0.0,14.5,True,Chelsea_IpswichTown_20250413
Alex Palmer,eng ENG,28-246,90,9,2.0,8.0,77.8,3.2,8,22,36.4,19,5,57.9,45.8,34,3.0,8.8,0.0,8.3,False,Chelsea_IpswichTown_20250413
José Sá,pt POR,32-086,90,4,2.0,2.0,50.0,2.1,4,14,28.6,13,1,61.5,41.3,20,0.0,0.0,0.0,,True,Wolves_Tottenham_20250413
Guglielmo Vicario,it ITA,28-188,90,5,4.0,2.0,20.0,3.0,1,1,100.0,36,6,2.8,19.7,7,2.0,28.6,1.0,9.2,False,Wolves_Tottenham_20250413
Nick Pope,eng ENG,32-359,90,5,1.0,4.0,80.0,1.3,0,6,0.0,18,6,27.8,32.9,6,1.0,16.7,1.0,12.3,True,NewcastleUtd_ManchesterUtd_20250413
Altay Bayındır,tr TUR,26-364,90,6,4.0,2.0,33.3,3.8,5,29,17.2,51,4,39.2,37.2,17,2.0,11.8,0.0,9.6,False,NewcastleUtd_ManchesterUtd_20250413
Kepa Arrizabalaga,es ESP,30-193,90,7,0.0,7.0,100.0,0.9,4,19,21.1,36,5,38.9,38.1,24,1.0,4.2,0.0,6.3,True,Bournemouth_Fulham_20250414
Bernd Leno,de GER,33-041,90,3,1.0,2.0,66.7,1.5,3,7,42.9,26,4,19.2,25.5,15,0.0,0.0,1.0,27.0,False,Bournemouth_Fulham_20250414
Nick Pope,eng ENG,32-362,90,3,0.0,2.0,100.0,1.0,5,12,41.7,33,10,30.3,32.1,12,1.0,8.3,3.0,20.8,True,NewcastleUtd_CrystalPalace_20250416
Dean Henderson,eng ENG,28-035,90,7,5.0,3.0,28.6,2.4,4,17,23.5,21,1,61.9,45.2,10,1.0,10.0,0.0,7.0,False,NewcastleUtd_CrystalPalace_20250416
Jordan Pickford,eng ENG,31-043,90,6,2.0,4.0,66.7,2.9,12,22,54.5,43,4,46.5,38.2,10,0.0,0.0,2.0,14.0,True,Everton_ManchesterCity_20250419
Stefan Ortega,de GER,32-164,90,2,0.0,2.0,100.0,0.9,1,11,9.1,38,6,28.9,33.4,13,2.0,15.4,0.0,6.5,False,Everton_ManchesterCity_20250419
Alphonse Areola,fr FRA,32-051,90,4,1.0,3.0,75.0,0.9,2,9,22.2,21,4,28.6,27.7,15,0.0,0.0,2.0,20.0,True,WestHam_Southampton_20250419
Aaron Ramsdale,eng ENG,26-340,90,4,1.0,3.0,75.0,1.1,8,20,40.0,28,3,57.1,39.6,5,0.0,0.0,0.0,6.7,False,WestHam_Southampton_20250419
Dean Henderson,eng ENG,28-038,90,4,0.0,4.0,100.0,0.4,9,25,36.0,21,3,66.7,49.0,19,1.0,5.3,0.0,9.0,True,CrystalPalace_Bournemouth_20250419
Kepa Arrizabalaga,es ESP,30-198,90,0,0.0,0.0,,0.0,2,3,66.7,20,6,10.0,22.7,12,0.0,0.0,1.0,16.0,False,CrystalPalace_Bournemouth_20250419
Mark Flekken,nl NED,31-310,90,3,2.0,1.0,33.3,1.2,12,27,44.4,39,1,51.3,38.1,19,1.0,5.3,2.0,12.8,True,Brentford_Brighton_20250419
Bart Verbruggen,nl NED,22-244,90,8,4.0,4.0,50.0,3.4,8,18,44.4,33,3,45.5,34.3,14,0.0,0.0,1.0,15.5,False,Brentford_Brighton_20250419
Emiliano Martínez,ar ARG,32-229,90,3,1.0,2.0,66.7,0.7,9,21,42.9,28,3,42.9,39.4,15,1.0,6.7,0.0,4.0,True,AstonVilla_NewcastleUtd_20250419
Nick Pope,eng ENG,33-000,90,9,4.0,6.0,55.6,2.2,6,10,60.0,18,6,11.1,24.3,10,4.0,40.0,2.0,10.2,False,AstonVilla_NewcastleUtd_20250419
Bernd Leno,de GER,33-047,90,7,2.0,5.0,71.4,1.1,7,13,53.8,36,16,22.2,23.7,17,0.0,0.0,0.0,12.0,True,Fulham_Chelsea_20250420
Robert Sánchez,es ESP,27-153,90,1,1.0,0.0,0.0,0.4,1,7,14.3,36,8,19.4,28.6,19,2.0,10.5,1.0,10.5,False,Fulham_Chelsea_20250420
Alex Palmer,eng ENG,28-253,90,7,4.0,3.0,42.9,2.5,9,19,47.4,26,2,38.5,29.7,15,0.0,0.0,0.0,14.8,True,IpswichTown_Arsenal_20250420
David Raya,es ESP,29-217,90,0,0.0,0.0,,0.0,0,1,0.0,33,1,3.0,20.6,3,0.0,0.0,5.0,25.3,False,IpswichTown_Arsenal_20250420
André Onana,cm CMR,29-018,90,2,1.0,1.0,50.0,0.7,4,8,50.0,29,3,27.6,32.1,6,0.0,0.0,0.0,6.0,True,ManchesterUtd_Wolves_20250420
Daniel Bentley,eng ENG,31-281,90,2,0.0,2.0,100.0,0.1,4,16,25.0,24,0,41.7,33.3,22,0.0,0.0,0.0,7.7,False,ManchesterUtd_Wolves_20250420
Mads Hermansen,dk DEN,24-283,90,8,1.0,7.0,87.5,0.5,4,25,16.0,41,9,39.0,35.4,30,2.0,6.7,1.0,9.7,True,LeicesterCity_Liverpool_20250420
Alisson,br BRA,32-200,90,0,0.0,0.0,,0.0,1,6,16.7,29,4,10.3,23.7,9,1.0,11.1,2.0,16.0,False,LeicesterCity_Liverpool_20250420
Guglielmo Vicario,it ITA,28-196,90,3,2.0,1.0,33.3,1.3,0,0,,20,3,0.0,18.0,4,0.0,0.0,3.0,19.6,True,Tottenham_Nott'hamForest_20250421
Matz Sels,be BEL,33-054,90,5,1.0,4.0,80.0,1.1,5,23,21.7,16,1,68.8,47.3,43,0.0,0.0,0.0,6.0,False,Tottenham_Nott'hamForest_20250421
Stefan Ortega,de GER,32-167,90,3,1.0,2.0,100.0,1.2,0,5,0.0,29,7,17.2,23.8,8,1.0,12.5,0.0,12.0,True,ManchesterCity_AstonVilla_20250422
Emiliano Martínez,ar ARG,32-232,90,6,2.0,4.0,66.7,1.6,7,21,33.3,46,7,39.1,34.3,20,2.0,10.0,0.0,7.3,False,ManchesterCity_AstonVilla_20250422
David Raya,es ESP,29-220,90,4,2.0,2.0,50.0,1.3,2,5,40.0,36,9,13.9,22.4,13,1.0,7.7,1.0,11.8,True,Arsenal_CrystalPalace_20250423
Dean Henderson,eng ENG,28-042,90,4,2.0,2.0,50.0,1.8,6,13,46.2,18,2,50.0,42.2,12,2.0,16.7,0.0,6.3,False,Arsenal_CrystalPalace_20250423
Robert Sánchez,es ESP,27-159,90,3,0.0,3.0,100.0,1.0,3,13,23.1,27,6,40.7,35.2,16,6.0,37.5,0.0,10.7,True,Chelsea_Everton_20250426
Jordan Pickford,eng ENG,31-050,90,7,1.0,6.0,85.7,1.5,3,10,30.0,46,10,21.7,31.3,14,0.0,0.0,0.0,6.8,False,Chelsea_Everton_20250426
Bart Verbruggen,nl NED,22-251,90,4,2.0,2.0,50.0,1.7,1,6,16.7,27,1,22.2,28.0,10,0.0,0.0,1.0,25.5,True,Brighton_WestHam_20250426
Alphonse Areola,fr FRA,32-058,90,9,3.0,6.0,66.7,3.1,8,15,53.3,38,4,36.8,31.3,23,0.0,0.0,2.0,21.3,False,Brighton_WestHam_20250426
José Sá,pt POR,32-099,90,2,0.0,1.0,100.0,1.1,4,9,44.4,34,5,23.5,28.6,9,1.0,11.1,0.0,11.5,True,Wolves_LeicesterCity_20250426
Mads Hermansen,dk DEN,24-289,90,5,3.0,2.0,40.0,1.7,2,10,20.0,36,8,22.2,28.0,13,2.0,15.4,1.0,16.7,False,Wolves_LeicesterCity_20250426
Aaron Ramsdale,eng ENG,26-347,90,5,2.0,3.0,60.0,2.9,8,31,25.8,26,4,69.2,45.2,41,2.0,4.9,0.0,5.3,True,Southampton_Fulham_20250426
Bernd Leno,de GER,33-053,90,3,1.0,2.0,66.7,1.4,0,1,0.0,21,6,4.8,19.9,7,0.0,0.0,0.0,,False,Southampton_Fulham_20250426
Nick Pope,eng ENG,33-007,90,0,0.0,0.0,,0.0,2,2,100.0,12,6,16.7,24.4,4,1.0,25.0,3.0,22.3,True,NewcastleUtd_IpswichTown_20250426
Alex Palmer,eng ENG,28-259,90,4,3.0,1.0,50.0,2.0,13,35,37.1,27,1,88.9,53.4,26,1.0,3.8,1.0,8.6,False,NewcastleUtd_IpswichTown_20250426
Kepa Arrizabalaga,es ESP,30-206,90,6,1.0,5.0,83.3,1.8,5,14,35.7,21,7,38.1,35.8,19,4.0,21.1,3.0,11.0,True,Bournemouth_ManchesterUtd_20250427
André Onana,cm CMR,29-025,90,1,1.0,0.0,0.0,0.7,3,11,27.3,28,4,17.9,25.2,14,0.0,0.0,2.0,16.0,False,Bournemouth_ManchesterUtd_20250427
Alisson,br BRA,32-207,90,3,1.0,2.0,66.7,0.9,1,3,33.3,39,4,5.1,22.3,9,1.0,11.1,0.0,14.0,True,Liverpool_Tottenham_20250427
Guglielmo Vicario,it ITA,28-202,90,6,5.0,2.0,16.7,2.7,2,11,18.2,39,3,23.1,31.3,13,1.0,7.7,1.0,11.3,False,Liverpool_Tottenham_20250427
Matz Sels,be BEL,33-064,90,3,2.0,1.0,33.3,1.7,3,9,33.3,16,4,56.3,37.3,11,0.0,0.0,2.0,14.3,True,Nott'hamForest_Brentford_20250501
Mark Flekken,nl NED,31-322,90,5,0.0,5.0,100.0,0.8,9,20,45.0,31,6,35.5,33.3,24,3.0,12.5,1.0,12.3,False,Nott'hamForest_Brentford_20250501
Ederson,br BRA,31-258,90,0,0.0,0.0,,0.0,2,5,40.0,38,3,10.5,26.1,10,0.0,0.0,0.0,13.5,True,ManchesterCity_Wolves_20250502
José Sá,pt POR,32-105,90,2,1.0,1.0,50.0,0.6,3,14,21.4,33,4,30.3,28.9,12,1.0,8.3,1.0,12.0,False,ManchesterCity_Wolves_20250502
Emiliano Martínez,ar ARG,32-243,90,3,0.0,3.0,100.0,1.0,6,13,46.2,34,4,23.5,28.8,19,2.0,10.5,4.0,20.7,True,AstonVilla_Fulham_20250503
Bernd Leno,de GER,33-060,90,3,1.0,2.0,66.7,1.2,6,8,75.0,26,6,23.1,30.2,11,0.0,0.0,3.0,20.6,False,AstonVilla_Fulham_20250503
Jakub Stolarczyk,pl POL,24-135,90,2,0.0,2.0,100.0,0.3,2,12,16.7,34,4,32.4,32.0,12,0.0,0.0,0.0,7.5,True,LeicesterCity_Southampton_20250503
Aaron Ramsdale,eng ENG,26-354,90,4,2.0,2.0,50.0,1.3,4,13,30.8,26,5,34.6,34.5,14,0.0,0.0,1.0,22.0,False,LeicesterCity_Southampton_20250503
Jordan Pickford,eng ENG,31-057,90,5,2.0,3.0,60.0,1.2,5,16,31.3,43,3,37.2,37.3,8,0.0,0.0,0.0,20.0,True,Everton_IpswichTown_20250503
Alex Palmer,eng ENG,28-266,90,3,2.0,1.0,33.3,1.5,5,10,50.0,35,7,25.7,28.8,24,1.0,4.2,2.0,13.0,False,Everton_IpswichTown_20250503
David Raya,es ESP,29-230,90,2,2.0,0.0,0.0,1.5,6,17,35.3,44,5,34.1,29.7,12,0.0,0.0,1.0,39.0,True,Arsenal_Bournemouth_20250503
Kepa Arrizabalaga,es ESP,30-212,90,4,1.0,3.0,75.0,1.7,7,16,43.8,33,2,33.3,33.3,4,0.0,0.0,4.0,21.0,False,Arsenal_Bournemouth_20250503
Bart Verbruggen,nl NED,22-259,90,5,1.0,4.0,100.0,1.7,7,29,24.1,38,4,68.4,43.6,12,1.0,8.3,0.0,3.0,True,Brighton_NewcastleUtd_20250504
Nick Pope,eng ENG,33-015,90,2,1.0,1.0,50.0,1.0,2,6,33.3,20,6,20.0,29.2,8,0.0,0.0,5.0,26.5,False,Brighton_NewcastleUtd_20250504
Alphonse Areola,fr FRA,32-066,90,2,1.0,1.0,50.0,0.4,4,25,16.0,34,1,58.8,43.3,9,0.0,0.0,0.0,,True,WestHam_Tottenham_20250504
Guglielmo Vicario,it ITA,28-209,90,2,1.0,1.0,50.0,0.6,5,18,27.8,39,2,35.9,32.8,12,0.0,0.0,1.0,16.0,False,WestHam_Tottenham_20250504
Mark Flekken,nl NED,31-325,90,5,3.0,2.0,40.0,1.1,3,13,23.1,43,2,25.6,31.6,6,0.0,0.0,1.0,12.0,True,Brentford_ManchesterUtd_20250504
Altay Bayındır,tr TUR,27-020,90,6,4.0,3.0,33.3,3.2,3,18,16.7,42,5,35.7,33.5,19,2.0,10.5,4.0,12.7,False,Brentford_ManchesterUtd_20250504
Robert Sánchez,es ESP,27-167,90,2,1.0,1.0,50.0,0.2,2,15,13.3,33,6,45.5,39.4,19,1.0,5.3,0.0,13.0,True,Chelsea_Liverpool_20250504
Alisson,br BRA,32-214,90,6,3.0,4.0,66.7,2.9,3,7,42.9,54,9,13.0,23.3,3,0.0,0.0,0.0,13.6,False,Chelsea_Liverpool_20250504
Dean Henderson,eng ENG,28-054,90,4,1.0,3.0,75.0,1.2,2,15,13.3,20,2,65.0,46.0,14,0.0,0.0,0.0,,True,CrystalPalace_Nott'hamForest_20250505
Matz Sels,be BEL,33-068,90,3,1.0,2.0,100.0,1.0,8,14,57.1,16,1,50.0,38.6,26,2.0,7.7,0.0,6.3,False,CrystalPalace_Nott'hamForest_20250505
Alex Palmer,eng ENG,28-273,90,5,1.0,4.0,80.0,1.2,2,9,22.2,34,8,20.6,28.2,19,3.0,15.8,0.0,5.3,True,IpswichTown_Brentford_20250510
Mark Flekken,nl NED,31-331,90,4,0.0,4.0,100.0,0.9,2,17,11.8,27,0,37.0,36.6,12,1.0,8.3,0.0,7.0,False,IpswichTown_Brentford_20250510
Bernd Leno,de GER,33-067,90,7,3.0,4.0,57.1,1.3,1,3,33.3,35,9,8.6,25.6,13,1.0,7.7,2.0,14.4,True,Fulham_Everton_20250510
Jordan Pickford,eng ENG,31-064,90,6,1.0,5.0,83.3,1.3,7,20,35.0,37,1,40.5,37.0,22,1.0,4.5,0.0,13.0,False,Fulham_Everton_20250510
José Sá,pt POR,32-113,90,2,2.0,0.0,50.0,1.1,3,10,30.0,31,7,32.3,33.3,11,1.0,9.1,3.0,17.8,True,Wolves_Brighton_20250510
Bart Verbruggen,nl NED,22-265,90,3,0.0,3.0,100.0,0.6,4,15,26.7,29,6,41.4,38.4,18,0.0,0.0,0.0,16.0,False,Wolves_Brighton_20250510
Aaron Ramsdale,eng ENG,26-361,90,4,0.0,4.0,100.0,0.7,9,35,25.7,36,6,63.9,46.6,35,1.0,2.9,1.0,6.4,True,Southampton_ManchesterCity_20250510
Ederson,br BRA,31-266,90,0,0.0,0.0,,0.0,0,0,,10,1,0.0,19.8,4,0.0,0.0,1.0,48.0,False,Southampton_ManchesterCity_20250510
Kepa Arrizabalaga,es ESP,30-219,90,3,1.0,2.0,66.7,1.3,3,4,75.0,25,4,12.0,27.2,7,2.0,28.6,0.0,14.0,True,Bournemouth_AstonVilla_20250510
Emiliano Martínez,ar ARG,32-250,90,4,0.0,4.0,100.0,0.7,8,28,28.6,38,5,57.9,44.9,22,4.0,18.2,0.0,4.8,False,Bournemouth_AstonVilla_20250510
Nick Pope,eng ENG,33-022,90,3,0.0,3.0,100.0,0.5,2,6,33.3,22,9,18.2,27.7,15,2.0,13.3,1.0,15.7,True,NewcastleUtd_Chelsea_20250511
Robert Sánchez,es ESP,27-174,90,6,2.0,4.0,66.7,1.8,9,30,30.0,46,7,54.3,40.2,9,0.0,0.0,5.0,17.4,False,NewcastleUtd_Chelsea_20250511
Matz Sels,be BEL,33-074,90,6,2.0,4.0,66.7,1.9,3,10,30.0,13,1,38.5,31.6,11,0.0,0.0,0.0,7.3,True,Nott'hamForest_LeicesterCity_20250511
Jakub Stolarczyk,pl POL,24-143,90,4,2.0,2.0,50.0,1.7,1,18,5.6,31,4,32.3,28.4,19,2.0,10.5,2.0,17.0,False,Nott'hamForest_LeicesterCity_20250511
Antonín Kinský,cz CZE,22-059,90,9,2.0,7.0,77.8,3.7,1,9,11.1,31,10,29.0,33.8,20,2.0,10.0,3.0,16.4,True,Tottenham_CrystalPalace_20250511
Dean Henderson,eng ENG,28-060,90,1,0.0,1.0,100.0,0.0,4,15,26.7,36,6,36.1,35.1,9,1.0,11.1,2.0,20.7,False,Tottenham_CrystalPalace_20250511
Altay Bayındır,tr TUR,27-027,90,4,2.0,2.0,50.0,3.0,2,5,40.0,18,1,27.8,32.3,12,0.0,0.0,3.0,18.3,True,ManchesterUtd_WestHam_20250511
Alphonse Areola,fr FRA,32-073,90,5,0.0,5.0,100.0,1.2,4,14,28.6,29,2,27.6,30.0,25,1.0,4.0,1.0,22.0,False,ManchesterUtd_WestHam_20250511
Alisson,br BRA,32-221,90,6,2.0,4.0,66.7,2.3,4,14,28.6,39,7,33.3,31.4,10,0.0,0.0,2.0,35.0,True,Liverpool_Arsenal_20250511
David Raya,es ESP,29-238,90,5,2.0,3.0,60.0,2.7,6,23,26.1,41,7,36.6,33.3,8,1.0,12.5,2.0,17.8,False,Liverpool_Arsenal_20250511
Emiliano Martínez,ar ARG,32-256,90,1,0.0,1.0,100.0,0.2,2,3,66.7,32,4,9.4,21.4,7,2.0,28.6,1.0,12.2,True,AstonVilla_Tottenham_20250516
Antonín Kinský,cz CZE,22-064,90,7,2.0,5.0,71.4,2.2,4,16,25.0,29,11,37.9,34.5,17,5.0,29.4,2.0,13.5,False,AstonVilla_Tottenham_20250516
Robert Sánchez,es ESP,27-179,90,1,0.0,1.0,100.0,0.2,2,13,15.4,29,7,44.8,40.1,7,2.0,28.6,1.0,10.0,True,Chelsea_ManchesterUtd_20250516
André Onana,cm CMR,29-044,90,3,1.0,2.0,66.7,0.8,9,26,34.6,38,4,55.3,42.7,8,1.0,12.5,1.0,15.8,False,Chelsea_ManchesterUtd_20250516
Jordan Pickford,eng ENG,31-072,90,2,0.0,2.0,100.0,1.2,4,17,23.5,40,1,37.5,34.1,11,0.0,0.0,1.0,33.3,True,Everton_Southampton_20250518
Aaron Ramsdale,eng ENG,27-004,90,4,2.0,2.0,50.0,2.6,3,16,18.8,30,5,30.0,28.6,19,1.0,5.3,1.0,12.7,False,Everton_Southampton_20250518
Alphonse Areola,fr FRA,32-080,90,5,2.0,3.0,60.0,2.6,2,9,22.2,32,8,28.1,30.6,17,2.0,11.8,2.0,15.0,True,WestHam_Nott'hamForest_20250518
Matz Sels,be BEL,33-081,90,5,1.0,4.0,80.0,1.1,7,17,41.2,15,0,86.7,52.7,24,0.0,0.0,0.0,8.0,False,WestHam_Nott'hamForest_20250518
Mark Flekken,nl NED,31-339,90,7,3.0,4.0,57.1,1.9,7,13,53.8,25,5,36.0,35.0,14,0.0,0.0,1.0,30.0,True,Brentford_Fulham_20250518
Bernd Leno,de GER,33-075,90,5,2.0,2.0,60.0,2.7,8,14,57.1,20,1,35.0,33.4,13,0.0,0.0,2.0,15.3,False,Brentford_Fulham_20250518
Jakub Stolarczyk,pl POL,24-150,90,2,0.0,2.0,100.0,0.3,2,20,10.0,32,3,37.5,35.3,11,1.0,9.1,0.0,11.5,True,LeicesterCity_IpswichTown_20250518
Alex Palmer,eng ENG,28-281,90,3,2.0,1.0,33.3,0.8,1,2,50.0,26,6,7.7,22.3,5,1.0,20.0,1.0,13.5,False,LeicesterCity_IpswichTown_20250518
David Raya,es ESP,29-245,90,5,0.0,5.0,100.0,1.4,6,21,28.6,31,6,58.1,42.2,18,3.0,16.7,2.0,15.1,True,Arsenal_NewcastleUtd_20250518
Nick Pope,eng ENG,33-029,90,4,1.0,3.0,75.0,1.3,3,10,30.0,26,8,23.1,27.6,13,0.0,0.0,4.0,38.3,False,Arsenal_NewcastleUtd_20250518
Bart Verbruggen,nl NED,22-274,90,5,2.0,3.0,60.0,1.5,3,9,33.3,32,2,28.1,31.2,7,1.0,14.3,0.0,4.0,True,Brighton_Liverpool_20250519
Alisson,br BRA,32-229,90,12,3.0,9.0,75.0,3.9,3,15,20.0,57,6,24.6,28.7,12,1.0,8.3,1.0,12.0,False,Brighton_Liverpool_20250519
Ederson,br BRA,31-276,90,2,1.0,1.0,50.0,0.9,4,13,30.8,40,7,27.5,33.5,13,2.0,15.4,2.0,12.9,True,ManchesterCity_Bournemouth_20250520
Kepa Arrizabalaga,es ESP,30-229,90,5,3.0,2.0,40.0,1.5,3,6,50.0,32,6,18.8,27.1,6,0.0,0.0,3.0,24.3,False,ManchesterCity_Bournemouth_20250520
Dean Henderson,eng ENG,28-069,90,3,2.0,1.0,33.3,2.0,3,12,25.0,23,1,43.5,34.4,16,1.0,6.3,1.0,18.5,True,CrystalPalace_Wolves_20250520
Daniel Bentley,eng ENG,31-311,90,10,4.0,6.0,60.0,3.8,3,5,60.0,28,6,10.7,23.7,3,0.0,0.0,3.0,21.6,False,CrystalPalace_Wolves_20250520
Altay Bayındır,tr TUR,27-041,90,1,0.0,1.0,100.0,0.0,3,10,30.0,17,2,23.5,28.3,8,0.0,0.0,0.0,9.7,True,ManchesterUtd_AstonVilla_20250525
Emiliano Martínez,ar ARG,32-265,44,5,,5.0,,0.7,2,8,25.0,21,2,33.3,35.6,7,1.0,14.3,1.0,13.0,False,ManchesterUtd_AstonVilla_20250525
Robin Olsen,se SWE,35-137,46,5,2.0,3.0,80.0,2.1,9,23,39.1,11,0,90.9,57.1,8,0.0,0.0,0.0,,False,ManchesterUtd_AstonVilla_20250525
Christian Walton,eng ENG,29-197,90,6,3.0,3.0,50.0,2.0,4,8,50.0,28,8,25.0,28.5,6,1.0,16.7,1.0,13.7,True,IpswichTown_WestHam_20250525
Łukasz Fabiański,pl POL,40-037,90,4,1.0,3.0,75.0,0.2,8,21,38.1,35,3,45.7,35.9,22,3.0,13.6,1.0,9.0,False,IpswichTown_WestHam_20250525
José Sá,pt POR,32-128,89,7,1.0,6.0,85.7,1.8,4,16,25.0,35,10,42.9,35.7,10,2.0,20.0,,10.3,True,Wolves_Brentford_20250525
Tom King,wls WAL,30-077,1,0,0.0,0.0,,0.0,0,0,,1,1,0.0,14.0,1,0.0,0.0,0.0,,True,Wolves_Brentford_20250525
Mark Flekken,nl NED,31-346,90,6,1.0,5.0,83.3,0.5,5,16,31.3,39,3,23.1,30.5,13,1.0,7.7,0.0,10.5,False,Wolves_Brentford_20250525
Aaron Ramsdale,eng ENG,27-011,90,7,2.0,5.0,71.4,1.3,7,24,29.2,29,0,72.4,48.0,24,1.0,4.2,1.0,12.0,True,Southampton_Arsenal_20250525
David Raya,es ESP,29-252,90,2,1.0,1.0,50.0,0.8,1,4,25.0,16,4,25.0,30.6,8,2.0,25.0,1.0,16.4,False,Southampton_Arsenal_20250525
Alisson,br BRA,32-235,90,5,1.0,4.0,80.0,2.3,2,5,40.0,36,10,8.3,25.2,5,0.0,0.0,3.0,22.3,True,Liverpool_CrystalPalace_20250525
Dean Henderson,eng ENG,28-074,90,3,1.0,2.0,66.7,1.4,5,25,20.0,27,4,66.7,45.2,32,2.0,6.3,0.0,5.7,False,Liverpool_CrystalPalace_20250525
Matz Sels,be BEL,33-088,90,2,1.0,1.0,50.0,1.1,3,12,25.0,33,4,36.4,32.1,9,0.0,0.0,4.0,18.5,True,Nott'hamForest_Chelsea_20250525
Robert Sánchez,es ESP,27-188,90,2,0.0,2.0,100.0,0.1,1,20,5.0,32,5,53.1,46.1,26,5.0,19.2,0.0,6.8,False,Nott'hamForest_Chelsea_20250525
Bernd Leno,de GER,33-082,90,5,2.0,3.0,80.0,2.3,4,7,57.1,34,4,14.7,25.3,14,2.0,14.3,1.0,10.2,True,Fulham_ManchesterCity_20250525
Ederson,br BRA,31-281,90,3,0.0,3.0,100.0,1.3,3,6,50.0,35,9,14.3,27.0,7,0.0,0.0,4.0,17.5,False,Fulham_ManchesterCity_20250525
Nick Pope,eng ENG,33-036,90,6,1.0,5.0,83.3,1.1,1,5,20.0,20,9,10.0,26.8,8,1.0,12.5,3.0,20.4,True,NewcastleUtd_Everton_20250525
Jordan Pickford,eng ENG,31-079,90,6,0.0,6.0,100.0,1.7,13,34,38.2,42,3,71.4,51.9,26,4.0,15.4,0.0,6.0,False,NewcastleUtd_Everton_20250525
Kepa Arrizabalaga,es ESP,30-234,90,0,0.0,0.0,,0.0,0,6,0.0,28,3,17.9,27.2,5,1.0,20.0,0.0,4.0,True,Bournemouth_LeicesterCity_20250525
Jakub Stolarczyk,pl POL,24-157,90,7,2.0,5.0,71.4,2.1,4,30,13.3,40,2,60.0,41.8,14,1.0,7.1,0.0,6.5,False,Bournemouth_LeicesterCity_20250525
Guglielmo Vicario,it ITA,28-230,90,8,4.0,4.0,62.5,4.1,3,6,50.0,31,3,19.4,27.5,26,1.0,3.8,0.0,6.0,True,Tottenham_Brighton_20250525
Bart Verbruggen,nl NED,22-280,90,2,1.0,1.0,100.0,1.5,2,6,33.3,30,2,20.0,25.7,5,0.0,0.0,1.0,23.0,False,Tottenham_Brighton_20250525
