player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,home,game_id
Joël Veltman,34.0,nlNED,RB,33-228,90.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,True,Brighton_ManchesterCity_20250831
Bart Verbruggen,1.0,nlNED,GK,23-013,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Brighton_ManchesterCity_20250831
Erling Haaland,9.0,noNOR,FW,25-041,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
Omar Marmoush,7.0,egEGY,LW,26-205,71.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
Jeremy Doku,11.0,beBEL,LW,23-096,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
Oscar Bobb,52.0,noNOR,RW,22-050,90.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
Tijjani Reijnders,4.0,nlNED,"LM,RM",27-033,90.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,Brighton_ManchesterCity_20250831
Rodri,16.0,esESP,CM,29-070,90.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
Bernardo Silva,20.0,ptPOR,RM,31-021,71.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,False,Brighton_ManchesterCity_20250831
Nico O’Reilly,33.0,engENG,LM,20-163,19.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,False,Brighton_ManchesterCity_20250831
Rayan Aït-Nouri,21.0,dzALG,LB,24-086,90.0,3.0,2.0,2.0,1.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2.0,5.0,3.0,0.0,False,Brighton_ManchesterCity_20250831
Abdukodir Khusanov,45.0,uzUZB,CB,21-183,84.0,4.0,2.0,3.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,False,Brighton_ManchesterCity_20250831
Rúben Dias,3.0,ptPOR,CB,28-109,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
John Stones,5.0,engENG,CB,31-095,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,False,Brighton_ManchesterCity_20250831
Matheus Nunes,27.0,ptPOR,RB,27-004,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,False,Brighton_ManchesterCity_20250831
Rico Lewis,82.0,engENG,RB,20-283,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_ManchesterCity_20250831
James Trafford,1.0,engENG,GK,22-325,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,Brighton_ManchesterCity_20250831
Hugo Ekitike,22.0,frFRA,FW,23-072,78.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Liverpool_Arsenal_20250831
Federico Chiesa,14.0,itITA,FW,27-310,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Liverpool_Arsenal_20250831
Cody Gakpo,18.0,nlNED,LW,26-116,90.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,True,Liverpool_Arsenal_20250831
Mohamed Salah,11.0,egEGY,RW,33-077,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,Liverpool_Arsenal_20250831
Florian Wirtz,7.0,deGER,AM,22-120,88.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,True,Liverpool_Arsenal_20250831
Wataru Endo,3.0,jpJPN,CM,32-203,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Liverpool_Arsenal_20250831
Alexis Mac Allister,10.0,arARG,DM,26-250,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,True,Liverpool_Arsenal_20250831
Curtis Jones,17.0,engENG,"DM,CM",24-213,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,True,Liverpool_Arsenal_20250831
Ryan Gravenberch,38.0,nlNED,"DM,CM",23-107,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,True,Liverpool_Arsenal_20250831
Milos Kerkez,6.0,huHUN,LB,21-297,90.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,0.0,3.0,7.0,0.0,True,Liverpool_Arsenal_20250831
Virgil van Dijk,4.0,nlNED,CB,34-054,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,4.0,0.0,True,Liverpool_Arsenal_20250831
Ibrahima Konaté,5.0,frFRA,CB,26-098,78.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,True,Liverpool_Arsenal_20250831
Joe Gomez,2.0,engENG,CB,28-100,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,True,Liverpool_Arsenal_20250831
Dominik Szoboszlai,8.0,huHUN,RB,24-310,90.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1.0,3.0,6.0,0.0,True,Liverpool_Arsenal_20250831
Alisson,1.0,brBRA,GK,32-333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True,Liverpool_Arsenal_20250831
Viktor Gyökeres,14.0,seSWE,FW,27-088,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,Liverpool_Arsenal_20250831
Gabriel Martinelli,11.0,brBRA,LW,24-074,69.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Eberechi Eze,10.0,engENG,LW,27-063,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Noni Madueke,20.0,engENG,RW,23-174,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Max Dowman,56.0,engENG,RW,15-243,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Declan Rice,41.0,engENG,LM,26-229,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,False,Liverpool_Arsenal_20250831
Martín Zubimendi,36.0,esESP,CM,26-210,90.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Mikel Merino,23.0,esESP,RM,29-070,69.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Martin Ødegaard,8.0,noNOR,RM,26-257,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Liverpool_Arsenal_20250831
Riccardo Calafiori,33.0,itITA,LB,23-104,90.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0,False,Liverpool_Arsenal_20250831
Gabriel Magalhães,6.0,brBRA,CB,27-255,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,False,Liverpool_Arsenal_20250831
William Saliba,2.0,frFRA,CB,24-160,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,False,Liverpool_Arsenal_20250831
Cristhian Mosquera,3.0,esESP,CB,21-065,86.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,False,Liverpool_Arsenal_20250831
Jurriën Timber,12.0,nlNED,RB,24-075,90.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,False,Liverpool_Arsenal_20250831
David Raya,1.0,esESP,GK,29-350,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,Liverpool_Arsenal_20250831
Ollie Watkins,11.0,engENG,FW,29-244,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Evann Guessand,29.0,ciCIV,LW,24-061,45.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Emi Buendía,10.0,arARG,"AM,CM",28-249,45.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Donyell Malen,17.0,nlNED,"RW,AM",26-234,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Lucas Digne,12.0,frFRA,WB,32-042,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Morgan Rogers,27.0,engENG,"AM,LW",23-036,90.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Youri Tielemans,8.0,beBEL,"DM,CM",28-116,90.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
John McGinn,7.0,sctSCO,DM,30-317,73.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,True,AstonVilla_CrystalPalace_20250831
Pau Torres,14.0,esESP,CB,28-227,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Ian Maatsen,22.0,nlNED,"LB,WB",23-174,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,True,AstonVilla_CrystalPalace_20250831
Lamare Bogarde,26.0,nlNED,CM,21-238,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Tyrone Mings,5.0,engENG,CB,32-171,90.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,True,AstonVilla_CrystalPalace_20250831
Ezri Konsa,4.0,engENG,CB,27-312,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,True,AstonVilla_CrystalPalace_20250831
Matty Cash,2.0,plPOL,RB,28-024,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,True,AstonVilla_CrystalPalace_20250831
Bradley Burrowes,83.0,engENG,WB,17-180,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,AstonVilla_CrystalPalace_20250831
Marco Bizot,40.0,nlNED,GK,34-174,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True,AstonVilla_CrystalPalace_20250831
Jean-Philippe Mateta,14.0,frFRA,FW,28-064,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,False,AstonVilla_CrystalPalace_20250831
Justin Devenny,55.0,nirNIR,CM,21-324,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,AstonVilla_CrystalPalace_20250831
Daichi Kamada,18.0,jpJPN,"AM,CM",29-026,85.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,False,AstonVilla_CrystalPalace_20250831
Nathaniel Clyne,17.0,engENG,WB,34-148,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,AstonVilla_CrystalPalace_20250831
Ismaila Sarr,7.0,snSEN,"AM,FW",27-187,90.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,False,AstonVilla_CrystalPalace_20250831
Will Hughes,19.0,engENG,CM,30-136,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,False,AstonVilla_CrystalPalace_20250831
Yeremi Pino,10.0,esESP,AM,22-315,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,AstonVilla_CrystalPalace_20250831
Adam Wharton,20.0,engENG,CM,21-206,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,AstonVilla_CrystalPalace_20250831
Jefferson Lerma,8.0,coCOL,CM,30-310,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,False,AstonVilla_CrystalPalace_20250831
Tyrick Mitchell,3.0,engENG,WB,25-364,90.0,6.0,3.0,6.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,1.0,7.0,4.0,0.0,False,AstonVilla_CrystalPalace_20250831
Daniel Muñoz,2.0,coCOL,"WB,AM",29-097,90.0,6.0,5.0,4.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,False,AstonVilla_CrystalPalace_20250831
Marc Guéhi,6.0,engENG,CB,25-049,90.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,False,AstonVilla_CrystalPalace_20250831
Maxence Lacroix,5.0,frFRA,CB,25-147,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,3.0,3.0,8.0,0.0,False,AstonVilla_CrystalPalace_20250831
Chris Richards,26.0,usUSA,CB,25-156,90.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,0.0,4.0,8.0,0.0,False,AstonVilla_CrystalPalace_20250831
Dean Henderson,1.0,engENG,GK,28-172,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,AstonVilla_CrystalPalace_20250831
Viktor Gyökeres,14.0,seSWE,FW,27-101,67.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,True,Arsenal_Nott'hamForest_20250913
Declan Rice,41.0,engENG,LM,26-242,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Eberechi Eze,10.0,engENG,LW,27-076,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Leandro Trossard,19.0,beBEL,LW,30-283,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Noni Madueke,20.0,engENG,RW,23-187,77.0,3.0,2.0,0.0,1.0,2.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Gabriel Martinelli,11.0,brBRA,RW,24-087,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Mikel Merino,23.0,esESP,"LM,FW",29-083,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Martín Zubimendi,36.0,esESP,CM,26-223,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Martin Ødegaard,8.0,noNOR,RM,26-270,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Ethan Nwaneri,22.0,engENG,RM,18-176,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Arsenal_Nott'hamForest_20250913
Riccardo Calafiori,33.0,itITA,LB,23-117,67.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Myles Lewis-Skelly,49.0,engENG,LB,18-352,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Gabriel Magalhães,6.0,brBRA,CB,27-268,90.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,1.0,3.0,5.0,0.0,True,Arsenal_Nott'hamForest_20250913
Cristhian Mosquera,3.0,esESP,CB,21-078,90.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,True,Arsenal_Nott'hamForest_20250913
Jurriën Timber,12.0,nlNED,RB,24-088,90.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,True,Arsenal_Nott'hamForest_20250913
David Raya,1.0,esESP,GK,29-363,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Arsenal_Nott'hamForest_20250913
Chris Wood,11.0,nzNZL,FW,33-280,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,Arsenal_Nott'hamForest_20250913
Dilane Bakwa,29.0,frFRA,RW,23-018,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Callum Hudson-Odoi,7.0,engENG,LW,24-310,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Arnaud Kalimuendo,15.0,frFRA,FW,23-236,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Dan Ndoye,14.0,chSUI,"RW,LW",24-323,90.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Morgan Gibbs-White,10.0,engENG,AM,25-229,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
James Mcatee,24.0,engENG,AM,22-330,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Elliot Anderson,8.0,engENG,DM,22-311,90.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,1.0,3.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Ibrahim Sangaré,6.0,ciCIV,DM,27-285,72.0,3.0,2.0,1.0,2.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,False,Arsenal_Nott'hamForest_20250913
Ryan Yates,22.0,engENG,DM,27-296,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,Arsenal_Nott'hamForest_20250913
Morato,4.0,brBRA,"CB,LB",24-075,90.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,False,Arsenal_Nott'hamForest_20250913
Murillo,5.0,brBRA,CB,23-071,36.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,4.0,5.0,5.0,0.0,False,Arsenal_Nott'hamForest_20250913
Nicolò Savona,37.0,itITA,RB,22-178,54.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,False,Arsenal_Nott'hamForest_20250913
Nikola Milenković,31.0,rsSRB,CB,27-336,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,False,Arsenal_Nott'hamForest_20250913
Neco Williams,3.0,wlsWAL,"LB,RB",24-153,90.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,False,Arsenal_Nott'hamForest_20250913
Matz Sels,26.0,beBEL,GK,33-199,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,Arsenal_Nott'hamForest_20250913
Nick Woltemade,27.0,deGER,FW,23-211,64.0,3.0,2.0,0.0,2.0,1.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,True,NewcastleUtd_Wolves_20250913
William Osula,18.0,dkDEN,FW,22-040,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,NewcastleUtd_Wolves_20250913
Harvey Barnes,11.0,engENG,LW,27-278,79.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,True,NewcastleUtd_Wolves_20250913
Anthony Elanga,20.0,seSWE,LW,23-139,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,NewcastleUtd_Wolves_20250913
Jacob Murphy,23.0,engENG,RW,30-201,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,True,NewcastleUtd_Wolves_20250913
Sven Botman,4.0,nlNED,RW,25-244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,NewcastleUtd_Wolves_20250913
Joelinton,7.0,brBRA,LM,29-030,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NewcastleUtd_Wolves_20250913
Joe Willock,28.0,engENG,LM,26-024,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,NewcastleUtd_Wolves_20250913
Sandro Tonali,8.0,itITA,CM,25-128,90.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,True,NewcastleUtd_Wolves_20250913
Bruno Guimarães,39.0,brBRA,RM,27-301,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,True,NewcastleUtd_Wolves_20250913
Valentino Livramento,21.0,engENG,LB,22-305,90.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,True,NewcastleUtd_Wolves_20250913
Dan Burn,33.0,engENG,CB,33-127,90.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,True,NewcastleUtd_Wolves_20250913
Fabian Schär,5.0,chSUI,CB,33-267,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,True,NewcastleUtd_Wolves_20250913
Kieran Trippier,2.0,engENG,RB,34-359,90.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,True,NewcastleUtd_Wolves_20250913
