player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,home,game_id
Bafodé Diakité,18.0,frFRA,CB,24-221,90.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,False,Liverpool_Bournemouth_20250815
Adam Smith,15.0,engENG,RB,34-108,89.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,False,Liverpool_Bournemouth_20250815
James Hill,23.0,engENG,RB,23-217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,Liverpool_Bournemouth_20250815
Đorđe Petrović,1.0,rsSRB,GK,25-311,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,False,Liverpool_Bournemouth_20250815
Ollie Watkins,11.0,engENG,FW,29-229,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Morgan Rogers,27.0,engENG,"LW,LM",23-021,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,True,AstonVilla_NewcastleUtd_20250816
John McGinn,7.0,sctSCO,"RW,RM",30-302,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Donyell Malen,17.0,nlNED,RM,26-219,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Youri Tielemans,8.0,beBEL,"AM,CM",28-101,90.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Amadou Onana,24.0,beBEL,"DM,CM",24-000,90.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Boubacar Kamara,44.0,frFRA,"DM,CB",25-266,90.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Lucas Digne,12.0,frFRA,LB,32-027,90.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,2.0,4.0,3.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Tyrone Mings,5.0,engENG,CB,32-156,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Ezri Konsa,4.0,engENG,CB,27-297,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Matty Cash,2.0,plPOL,RB,28-009,90.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,5.0,5.0,0.0,1.0,3.0,5.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Marco Bizot,40.0,nlNED,GK,34-159,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,AstonVilla_NewcastleUtd_20250816
Anthony Gordon,10.0,engENG,FW,24-173,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Harvey Barnes,11.0,engENG,LW,27-250,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,AstonVilla_NewcastleUtd_20250816
William Osula,18.0,dkDEN,LW,22-012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Anthony Elanga,20.0,seSWE,RW,23-111,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Jacob Murphy,23.0,engENG,RW,30-173,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Joelinton,7.0,brBRA,LM,29-002,82.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Lewis Miley,67.0,engENG,LM,19-107,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Sandro Tonali,8.0,itITA,CM,25-100,90.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Bruno Guimarães,39.0,brBRA,RM,27-273,90.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Valentino Livramento,21.0,engENG,LB,22-277,90.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Dan Burn,33.0,engENG,CB,33-099,90.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,3.0,9.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Fabian Schär,5.0,chSUI,CB,33-239,90.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,6.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Kieran Trippier,2.0,engENG,RB,34-331,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Nick Pope,1.0,engENG,GK,33-119,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,AstonVilla_NewcastleUtd_20250816
Eliezer Mayenda,12.0,esESP,FW,20-100,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Sunderland_WestHam_20250816
Wilson Isidor,18.0,frFRA,FW,24-354,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Sunderland_WestHam_20250816
Simon Adingra,24.0,ciCIV,LW,23-227,75.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,True,Sunderland_WestHam_20250816
Enzo Le Fée,28.0,frFRA,LW,25-194,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,True,Sunderland_WestHam_20250816
Chemsdine Talbi,7.0,maMAR,RW,20-099,89.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Sunderland_WestHam_20250816
Chris Rigg,11.0,engENG,RW,18-059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Sunderland_WestHam_20250816
Noah Sadiki,27.0,cdCOD,LM,20-242,90.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,3.0,5.0,3.0,0.0,True,Sunderland_WestHam_20250816
Granit Xhaka,34.0,chSUI,CM,32-323,90.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,True,Sunderland_WestHam_20250816
Habib Diarra,19.0,snSEN,RM,21-225,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,True,Sunderland_WestHam_20250816
Reinildo Mandava,17.0,mzMOZ,LB,31-207,90.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,0.0,True,Sunderland_WestHam_20250816
Jenson Seelt,23.0,nlNED,CB,22-085,52.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,True,Sunderland_WestHam_20250816
Omar Alderete,15.0,pyPAR,CB,28-233,38.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,True,Sunderland_WestHam_20250816
Daniel Ballard,5.0,nirNIR,CB,25-328,90.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,9.0,1.0,True,Sunderland_WestHam_20250816
Trai Hume,32.0,nirNIR,RB,23-151,90.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,True,Sunderland_WestHam_20250816
Robin Roefs,22.0,nlNED,GK,22-211,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Sunderland_WestHam_20250816
Niclas Füllkrug,11.0,deGER,"FW,AM",32-188,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Sunderland_WestHam_20250816
Jarrod Bowen,20.0,engENG,"FW,AM",28-239,90.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,Sunderland_WestHam_20250816
Lucas Paquetá,10.0,brBRA,"AM,DM,CM",27-354,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,False,Sunderland_WestHam_20250816
Guido Rodríguez,24.0,arARG,CM,31-126,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,False,Sunderland_WestHam_20250816
Callum Wilson,9.0,engENG,FW,33-170,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Sunderland_WestHam_20250816
