player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Omari Hutchinson,21,engENG,LM,21-305,2,4,0,1,1,2,0,4,0,0,,0,,2,11,8,0,0,0,0,0,2,1,True,Nott'hamForest_WestHam_20250831
Dan Ndoye,14,chSUI,RW,24-310,57,26,0,2,9,15,2,26,2,1,50.0,1,50.0,11,95,44,3,1,1,1,0,16,5,True,Nott'hamForest_WestHam_20250831
James Mcatee,24,engENG,"RW,RM",22-317,33,18,0,2,7,11,1,18,2,1,50.0,1,50.0,9,105,84,1,2,1,0,0,11,3,True,Nott'hamForest_WestHam_20250831
Morgan Gibbs-White,10,engENG,"AM,CM",25-216,90,74,0,6,35,34,5,74,1,0,0.0,1,100.0,37,193,151,4,3,0,7,1,62,16,True,Nott'hamForest_WestHam_20250831
Elliot Anderson,8,engENG,"DM,CM",22-298,90,112,0,13,65,34,4,112,2,1,50.0,0,0.0,63,328,206,1,0,1,0,5,83,3,True,Nott'hamForest_WestHam_20250831
Ibrahim Sangaré,6,ciCIV,DM,27-272,88,79,6,12,54,13,0,79,0,0,,0,,39,197,119,2,2,0,1,0,53,1,True,Nott'hamForest_WestHam_20250831
Arnaud Kalimuendo,15,frFRA,FW,23-223,2,4,0,0,3,1,0,4,0,0,,0,,3,18,10,1,0,0,0,0,2,0,True,Nott'hamForest_WestHam_20250831
Neco Williams,3,wlsWAL,LB,24-140,90,89,0,14,52,25,4,89,2,1,50.0,1,50.0,46,229,124,2,2,1,2,1,54,8,True,Nott'hamForest_WestHam_20250831
Murillo,5,brBRA,CB,23-058,90,83,6,21,55,7,0,83,1,1,100.0,0,0.0,51,233,137,1,1,0,0,0,62,0,True,Nott'hamForest_WestHam_20250831
Nikola Milenković,31,rsSRB,CB,27-323,90,63,6,20,39,4,2,63,0,0,,0,,30,133,106,0,0,0,0,0,47,0,True,Nott'hamForest_WestHam_20250831
Ola Aina,34,ngNGA,RB,28-327,90,69,2,14,27,30,2,69,5,1,20.0,4,80.0,32,130,77,2,1,0,0,0,41,5,True,Nott'hamForest_WestHam_20250831
Matz Sels,26,beBEL,GK,33-186,90,20,15,18,2,0,0,20,0,0,,0,,4,30,25,0,0,0,0,0,1,0,True,Nott'hamForest_WestHam_20250831
Niclas Füllkrug,11,deGER,FW,32-203,63,23,2,6,11,6,3,23,0,0,,0,,12,15,7,0,0,0,3,0,17,2,False,Nott'hamForest_WestHam_20250831
Callum Wilson,9,engENG,FW,33-185,27,9,0,2,2,5,4,9,2,2,100.0,0,0.0,6,26,15,1,0,0,1,0,8,1,False,Nott'hamForest_WestHam_20250831
Mateus Fernandes,18,ptPOR,LW,21-052,81,32,1,12,12,8,2,32,1,0,0.0,0,0.0,20,96,33,1,1,0,0,1,20,2,False,Nott'hamForest_WestHam_20250831
Crysencio Summerville,7,nlNED,LW,23-305,9,7,1,3,3,3,1,7,1,0,0.0,0,0.0,4,84,70,2,1,1,0,0,3,2,False,Nott'hamForest_WestHam_20250831
Jarrod Bowen,20,engENG,RW,28-254,90,40,0,3,17,20,1,40,6,2,33.3,3,50.0,25,230,140,5,5,0,7,1,31,7,False,Nott'hamForest_WestHam_20250831
Lucas Paquetá,10,brBRA,AM,28-004,90,74,2,23,37,14,4,73,8,3,37.5,4,50.0,36,182,67,1,1,1,2,3,44,3,False,Nott'hamForest_WestHam_20250831
James Ward-Prowse,8,engENG,DM,30-303,74,32,2,12,12,8,0,32,1,0,0.0,1,100.0,13,49,13,1,0,0,0,0,17,0,False,Nott'hamForest_WestHam_20250831
Andy Irving,39,sctSCO,DM,25-110,16,14,0,5,3,6,0,14,0,0,,0,,6,26,8,0,0,0,0,0,5,0,False,Nott'hamForest_WestHam_20250831
Tomáš Souček,28,czCZE,DM,30-185,90,40,4,16,20,4,0,40,0,0,,0,,18,46,13,0,0,0,0,0,23,0,False,Nott'hamForest_WestHam_20250831
El Hadji Malick Diouf,12,snSEN,LB,20-246,90,47,8,26,8,13,1,47,3,0,0.0,3,100.0,23,118,69,4,4,1,1,1,25,4,False,Nott'hamForest_WestHam_20250831
Max Kilman,3,engENG,CB,28-100,90,61,23,50,11,0,0,61,1,1,100.0,0,0.0,39,328,271,0,0,0,0,0,37,0,False,Nott'hamForest_WestHam_20250831
Konstantinos Mavropanos,15,grGRE,CB,27-263,90,68,7,43,23,2,1,68,0,0,,0,,49,382,274,0,0,0,0,0,52,0,False,Nott'hamForest_WestHam_20250831
Kyle Walker-Peters,2,engENG,RB,28-140,90,53,6,24,20,9,0,53,0,0,,0,,30,134,69,0,0,0,0,2,30,2,False,Nott'hamForest_WestHam_20250831
Mads Hermansen,1,dkDEN,GK,25-051,90,49,38,49,0,0,0,49,0,0,,0,,39,201,82,0,0,0,0,0,30,0,False,Nott'hamForest_WestHam_20250831
Danny Welbeck,18,engENG,FW,34-278,60,12,0,1,7,4,1,12,0,0,,0,,7,17,4,0,0,0,1,0,9,1,True,Brighton_ManchesterCity_20250831
Georginio Rutter,10,frFRA,FW,23-133,30,9,0,0,1,8,2,9,1,0,0.0,1,100.0,6,30,20,2,0,2,0,1,7,2,True,Brighton_ManchesterCity_20250831
Kaoru Mitoma,22,jpJPN,"LW,LM",28-103,90,40,2,4,16,20,1,40,1,1,100.0,0,0.0,19,128,104,4,1,0,2,1,21,4,True,Brighton_ManchesterCity_20250831
Yankuba Minteh,11,gmGAM,RW,21-040,89,30,1,6,13,14,5,30,6,4,66.7,2,33.3,20,166,115,4,2,3,1,2,17,5,True,Brighton_ManchesterCity_20250831
Diego Coppola,42,itITA,CB,21-246,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,True,Brighton_ManchesterCity_20250831
Diego Gómez,25,pyPAR,AM,22-157,60,17,0,3,14,2,0,17,0,0,,0,,4,17,12,0,0,0,0,0,4,1,True,Brighton_ManchesterCity_20250831
Brajan Gruda,8,deGER,"AM,RM",21-092,30,14,0,1,4,10,3,14,3,2,66.7,1,33.3,8,91,45,1,1,2,0,2,8,2,True,Brighton_ManchesterCity_20250831
Jack Hinshelwood,13,engENG,DM,20-142,60,25,2,11,12,2,0,25,0,0,,0,,16,94,48,0,0,0,1,0,17,0,True,Brighton_ManchesterCity_20250831
Yasin Ayari,26,seSWE,"DM,CM",21-329,30,15,0,3,6,6,0,15,2,0,0.0,1,50.0,8,22,13,0,0,0,0,2,6,0,True,Brighton_ManchesterCity_20250831
Carlos Baleba,17,cmCMR,DM,21-240,60,24,0,4,19,1,0,24,0,0,,0,,11,54,27,1,0,0,2,1,13,0,True,Brighton_ManchesterCity_20250831
James Milner,20,engENG,"DM,CM",39-239,30,10,1,2,6,2,1,9,0,0,,0,,3,19,15,1,1,0,0,0,3,0,True,Brighton_ManchesterCity_20250831
Maxim De Cuyper,29,beBEL,LB,24-252,90,65,3,24,26,16,1,65,2,1,50.0,1,50.0,35,84,27,0,0,0,1,0,36,2,True,Brighton_ManchesterCity_20250831
Lewis Dunk,5,engENG,CB,33-283,90,50,11,25,22,3,3,50,0,0,,0,,31,90,17,0,0,0,0,0,33,0,True,Brighton_ManchesterCity_20250831
Jan Paul van Hecke,6,nlNED,CB,25-084,90,48,8,25,22,1,1,48,0,0,,0,,28,150,61,1,0,0,0,0,32,0,True,Brighton_ManchesterCity_20250831
Joël Veltman,34,nlNED,RB,33-228,90,35,1,10,17,8,1,35,0,0,,0,,15,114,88,3,1,0,2,0,16,0,True,Brighton_ManchesterCity_20250831
Bart Verbruggen,1,nlNED,GK,23-013,90,46,38,45,1,0,0,46,0,0,,0,,33,115,39,0,0,0,0,0,28,0,True,Brighton_ManchesterCity_20250831
Erling Haaland,9,noNOR,FW,25-041,90,20,0,1,9,10,6,20,1,0,0.0,0,0.0,9,28,17,1,0,1,1,0,15,4,False,Brighton_ManchesterCity_20250831
Omar Marmoush,7,egEGY,LW,26-205,71,38,0,7,20,11,6,38,6,4,66.7,1,16.7,20,134,57,3,0,2,2,4,26,3,False,Brighton_ManchesterCity_20250831
Jeremy Doku,11,beBEL,LW,23-096,19,10,0,0,4,6,1,10,2,1,50.0,1,50.0,8,99,78,4,2,1,1,0,9,2,False,Brighton_ManchesterCity_20250831
Oscar Bobb,52,noNOR,RW,22-050,90,49,0,6,13,31,5,49,5,3,60.0,1,20.0,27,180,90,4,3,2,4,1,33,8,False,Brighton_ManchesterCity_20250831
Tijjani Reijnders,4,nlNED,"LM,RM",27-033,90,69,1,11,37,22,0,69,5,2,40.0,1,20.0,52,291,93,1,3,0,0,1,60,5,False,Brighton_ManchesterCity_20250831
Rodri,16,esESP,CM,29-070,90,106,5,33,64,9,0,106,3,1,33.3,1,33.3,63,232,127,2,0,0,0,0,81,3,False,Brighton_ManchesterCity_20250831
Bernardo Silva,20,ptPOR,RM,31-021,71,57,2,15,28,14,1,57,0,0,,0,,39,218,102,2,2,1,1,1,46,2,False,Brighton_ManchesterCity_20250831
Nico O’Reilly,33,engENG,LM,20-163,19,14,1,2,9,3,0,14,2,1,50.0,1,50.0,6,70,38,1,2,0,1,0,10,2,False,Brighton_ManchesterCity_20250831
Rayan Aït-Nouri,21,dzALG,LB,24-086,90,60,5,18,25,17,2,60,3,0,0.0,3,100.0,25,103,47,2,1,0,1,0,34,8,False,Brighton_ManchesterCity_20250831
Abdukodir Khusanov,45,uzUZB,CB,21-183,84,74,8,31,39,4,0,74,0,0,,0,,47,272,138,2,3,0,0,1,57,1,False,Brighton_ManchesterCity_20250831
Rúben Dias,3,ptPOR,CB,28-109,6,5,2,2,3,0,0,5,0,0,,0,,2,10,8,0,0,0,0,0,3,0,False,Brighton_ManchesterCity_20250831
John Stones,5,engENG,CB,31-095,90,78,6,38,38,2,0,78,0,0,,0,,51,229,129,0,0,0,0,0,56,0,False,Brighton_ManchesterCity_20250831
Matheus Nunes,27,ptPOR,RB,27-004,84,59,5,16,19,24,0,59,1,1,100.0,0,0.0,38,208,117,3,1,0,1,0,41,4,False,Brighton_ManchesterCity_20250831
Rico Lewis,82,engENG,RB,20-283,6,6,1,1,5,0,0,6,0,0,,0,,4,31,15,0,0,0,0,0,5,0,False,Brighton_ManchesterCity_20250831
James Trafford,1,engENG,GK,22-325,90,50,43,50,0,0,0,50,1,1,100.0,0,0.0,35,156,69,0,0,0,0,0,30,0,False,Brighton_ManchesterCity_20250831
Hugo Ekitike,22,frFRA,FW,23-072,78,14,0,1,8,5,1,14,2,0,0.0,2,100.0,10,30,2,0,1,0,2,3,10,2,True,Liverpool_Arsenal_20250831
Federico Chiesa,14,itITA,FW,27-310,12,3,0,0,1,2,0,3,1,0,0.0,1,100.0,3,65,59,2,1,0,0,0,3,1,True,Liverpool_Arsenal_20250831
Cody Gakpo,18,nlNED,LW,26-116,90,28,2,4,13,11,3,28,2,1,50.0,0,0.0,15,115,82,4,0,3,2,1,21,5,True,Liverpool_Arsenal_20250831
Mohamed Salah,11,egEGY,RW,33-077,90,30,0,6,6,18,6,30,1,0,0.0,1,100.0,23,136,50,1,0,2,3,1,25,8,True,Liverpool_Arsenal_20250831
Florian Wirtz,7,deGER,AM,22-120,88,41,1,7,26,10,3,41,3,3,100.0,0,0.0,20,158,83,2,3,1,1,0,18,2,True,Liverpool_Arsenal_20250831
Wataru Endo,3,jpJPN,CM,32-203,2,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,1,0,0,True,Liverpool_Arsenal_20250831
Alexis Mac Allister,10,arARG,DM,26-250,60,36,0,7,24,6,1,36,3,0,0.0,3,100.0,22,132,92,1,0,0,2,0,18,3,True,Liverpool_Arsenal_20250831
Curtis Jones,17,engENG,"DM,CM",24-213,30,24,1,4,16,4,0,24,0,0,,0,,16,77,39,1,0,0,0,0,20,4,True,Liverpool_Arsenal_20250831
Ryan Gravenberch,38,nlNED,"DM,CM",23-107,90,64,1,24,35,5,0,64,2,2,100.0,0,0.0,50,269,123,1,1,0,3,0,48,2,True,Liverpool_Arsenal_20250831
Milos Kerkez,6,huHUN,LB,21-297,90,52,11,26,23,4,0,52,0,0,,0,,22,93,46,1,0,0,1,0,21,1,True,Liverpool_Arsenal_20250831
Virgil van Dijk,4,nlNED,CB,34-054,90,89,16,53,35,1,1,89,1,1,100.0,0,0.0,63,255,167,1,0,1,0,1,69,0,True,Liverpool_Arsenal_20250831
Ibrahima Konaté,5,frFRA,CB,26-098,78,54,7,32,22,0,0,54,0,0,,0,,37,129,61,1,0,0,0,0,40,0,True,Liverpool_Arsenal_20250831
Joe Gomez,2,engENG,CB,28-100,12,13,4,9,4,0,0,13,0,0,,0,,3,16,7,0,0,0,0,0,4,0,True,Liverpool_Arsenal_20250831
Dominik Szoboszlai,8,huHUN,RB,24-310,90,77,4,34,31,12,0,77,0,0,,0,,43,132,45,0,2,0,0,0,45,0,True,Liverpool_Arsenal_20250831
Alisson,1,brBRA,GK,32-333,90,53,37,53,0,0,0,53,0,0,,0,,43,160,83,0,0,0,0,0,41,0,True,Liverpool_Arsenal_20250831
Viktor Gyökeres,14,seSWE,FW,27-088,90,15,1,1,4,10,2,15,2,0,0.0,1,50.0,11,66,1,0,0,0,3,0,12,6,False,Liverpool_Arsenal_20250831
Gabriel Martinelli,11,brBRA,LW,24-074,69,13,0,2,6,7,3,13,0,0,,0,,7,96,72,2,1,1,3,0,5,1,False,Liverpool_Arsenal_20250831
Eberechi Eze,10,engENG,LW,27-063,21,12,0,1,1,10,1,12,1,1,100.0,0,0.0,9,88,71,1,2,0,2,0,9,3,False,Liverpool_Arsenal_20250831
Noni Madueke,20,engENG,RW,23-174,88,27,0,2,9,17,8,27,1,1,100.0,0,0.0,15,143,102,3,2,3,3,1,16,8,False,Liverpool_Arsenal_20250831
Max Dowman,56,engENG,RW,15-243,2,6,0,0,1,5,3,6,2,0,0.0,2,100.0,5,51,10,1,0,1,0,1,4,1,False,Liverpool_Arsenal_20250831
Declan Rice,41,engENG,LM,26-229,90,70,8,21,34,18,1,70,2,1,50.0,1,50.0,42,225,92,1,3,0,2,1,41,0,False,Liverpool_Arsenal_20250831
Martín Zubimendi,36,esESP,CM,26-210,90,49,2,9,34,6,1,49,0,0,,0,,31,170,54,0,0,0,1,1,31,0,False,Liverpool_Arsenal_20250831
Mikel Merino,23,esESP,RM,29-070,69,27,1,4,14,9,0,27,0,0,,0,,19,72,33,1,0,0,0,1,20,1,False,Liverpool_Arsenal_20250831
Martin Ødegaard,8,noNOR,RM,26-257,21,20,0,2,8,10,1,20,0,0,,0,,15,105,62,2,2,1,0,0,15,0,False,Liverpool_Arsenal_20250831
Riccardo Calafiori,33,itITA,LB,23-104,90,62,3,17,27,18,2,62,0,0,,0,,34,211,132,4,2,0,2,1,36,5,False,Liverpool_Arsenal_20250831
Gabriel Magalhães,6,brBRA,CB,27-255,90,50,10,21,23,6,0,50,0,0,,0,,32,113,36,0,0,0,0,0,33,1,False,Liverpool_Arsenal_20250831
William Saliba,2,frFRA,CB,24-160,4,3,0,1,2,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,Liverpool_Arsenal_20250831
Cristhian Mosquera,3,esESP,CB,21-065,86,62,4,28,33,2,1,62,1,0,0.0,1,100.0,45,261,151,1,0,0,0,0,45,0,False,Liverpool_Arsenal_20250831
Jurriën Timber,12,nlNED,RB,24-075,90,44,3,8,22,16,4,44,0,0,,0,,22,170,122,4,4,0,3,0,22,1,False,Liverpool_Arsenal_20250831
David Raya,1,esESP,GK,29-350,90,52,35,46,7,0,0,52,0,0,,0,,39,111,29,0,0,0,0,0,33,0,False,Liverpool_Arsenal_20250831
Ollie Watkins,11,engENG,FW,29-244,90,19,0,0,5,14,4,19,0,0,,0,,14,61,17,0,0,0,1,3,17,6,True,AstonVilla_CrystalPalace_20250831
Evann Guessand,29,ciCIV,LW,24-061,45,19,0,0,6,13,1,19,2,0,0.0,2,100.0,12,79,10,0,1,0,1,4,17,5,True,AstonVilla_CrystalPalace_20250831
Emi Buendía,10,arARG,"AM,CM",28-249,45,35,0,3,13,19,5,35,1,0,0.0,1,100.0,18,94,53,2,0,1,0,1,21,3,True,AstonVilla_CrystalPalace_20250831
Donyell Malen,17,nlNED,"RW,AM",26-234,82,23,0,2,3,18,1,23,4,1,25.0,2,50.0,15,99,8,0,0,0,0,2,13,6,True,AstonVilla_CrystalPalace_20250831
Lucas Digne,12,frFRA,WB,32-042,8,7,0,0,3,4,0,7,0,0,,0,,4,10,1,0,0,0,0,0,5,2,True,AstonVilla_CrystalPalace_20250831
Morgan Rogers,27,engENG,"AM,LW",23-036,90,31,0,3,13,16,4,31,3,1,33.3,1,33.3,21,106,40,1,0,1,0,3,25,9,True,AstonVilla_CrystalPalace_20250831
Youri Tielemans,8,beBEL,"DM,CM",28-116,90,89,1,9,65,15,3,89,1,1,100.0,0,0.0,55,185,81,1,0,0,0,1,69,1,True,AstonVilla_CrystalPalace_20250831
John McGinn,7,sctSCO,DM,30-317,73,58,1,5,38,16,0,58,3,2,66.7,1,33.3,32,138,27,0,1,0,2,1,41,1,True,AstonVilla_CrystalPalace_20250831
Pau Torres,14,esESP,CB,28-227,17,14,0,4,11,0,0,14,0,0,,0,,10,65,53,1,0,0,0,0,10,0,True,AstonVilla_CrystalPalace_20250831
Ian Maatsen,22,nlNED,"LB,WB",23-174,87,94,4,15,42,37,1,94,0,0,,0,,54,200,102,2,4,0,1,1,61,7,True,AstonVilla_CrystalPalace_20250831
Lamare Bogarde,26,nlNED,CM,21-238,3,7,0,0,6,1,0,7,0,0,,0,,6,14,9,0,0,0,0,0,6,0,True,AstonVilla_CrystalPalace_20250831
Tyrone Mings,5,engENG,CB,32-171,90,75,6,24,49,2,0,75,1,1,100.0,0,0.0,55,303,169,0,1,0,0,0,60,0,True,AstonVilla_CrystalPalace_20250831
Ezri Konsa,4,engENG,CB,27-312,90,96,6,26,62,8,2,96,0,0,,0,,60,294,154,0,0,0,2,0,78,1,True,AstonVilla_CrystalPalace_20250831
Matty Cash,2,plPOL,RB,28-024,73,76,3,13,38,26,0,76,1,1,100.0,0,0.0,48,225,79,1,1,0,1,2,54,5,True,AstonVilla_CrystalPalace_20250831
Bradley Burrowes,83,engENG,WB,17-180,17,12,0,3,3,6,0,12,2,0,0.0,1,50.0,7,68,23,1,1,0,0,0,6,4,True,AstonVilla_CrystalPalace_20250831
Marco Bizot,40,nlNED,GK,34-174,90,26,14,24,2,0,0,26,0,0,,0,,14,59,35,0,0,0,0,0,10,0,True,AstonVilla_CrystalPalace_20250831
Jean-Philippe Mateta,14,frFRA,FW,28-064,84,21,3,3,10,8,3,20,1,1,100.0,0,0.0,10,22,4,0,0,0,4,1,15,2,False,AstonVilla_CrystalPalace_20250831
Justin Devenny,55,nirNIR,CM,21-324,6,4,0,2,1,1,0,4,0,0,,0,,2,2,0,0,0,0,0,0,3,0,False,AstonVilla_CrystalPalace_20250831
Daichi Kamada,18,jpJPN,"AM,CM",29-026,85,45,0,9,22,14,1,45,2,1,50.0,0,0.0,16,81,48,1,0,0,1,0,31,3,False,AstonVilla_CrystalPalace_20250831
Nathaniel Clyne,17,engENG,WB,34-148,5,5,2,3,0,2,0,5,0,0,,0,,3,7,6,0,0,0,0,0,3,0,False,AstonVilla_CrystalPalace_20250831
Ismaila Sarr,7,snSEN,"AM,FW",27-187,90,31,3,7,17,8,2,31,2,1,50.0,1,50.0,11,48,34,0,0,0,1,3,23,2,False,AstonVilla_CrystalPalace_20250831
Will Hughes,19,engENG,CM,30-136,70,33,2,9,17,7,0,33,0,0,,0,,7,13,5,0,0,0,0,0,19,1,False,AstonVilla_CrystalPalace_20250831
Yeremi Pino,10,esESP,AM,22-315,20,16,0,1,8,8,0,16,2,2,100.0,0,0.0,6,25,5,0,0,0,0,0,11,1,False,AstonVilla_CrystalPalace_20250831
Adam Wharton,20,engENG,CM,21-206,55,38,0,7,27,5,0,38,1,1,100.0,0,0.0,13,46,15,0,0,0,2,0,27,0,False,AstonVilla_CrystalPalace_20250831
Jefferson Lerma,8,coCOL,CM,30-310,35,19,1,6,10,3,1,19,0,0,,0,,6,35,26,1,0,1,1,1,10,1,False,AstonVilla_CrystalPalace_20250831
Tyrick Mitchell,3,engENG,WB,25-364,90,61,4,18,24,19,2,61,1,0,0.0,1,100.0,23,174,92,3,2,0,0,1,41,7,False,AstonVilla_CrystalPalace_20250831
Daniel Muñoz,2,coCOL,"WB,AM",29-097,90,56,1,21,22,14,3,56,0,0,,0,,27,128,58,0,0,0,2,1,32,6,False,AstonVilla_CrystalPalace_20250831
Marc Guéhi,6,engENG,CB,25-049,90,64,8,28,35,2,1,64,0,0,,0,,38,120,63,1,0,0,0,1,45,1,False,AstonVilla_CrystalPalace_20250831
Maxence Lacroix,5,frFRA,CB,25-147,90,53,6,23,29,1,1,53,0,0,,0,,26,68,35,0,0,0,0,1,33,0,False,AstonVilla_CrystalPalace_20250831
Chris Richards,26,usUSA,CB,25-156,90,51,11,18,31,2,0,51,0,0,,0,,15,45,16,0,0,0,0,0,30,0,False,AstonVilla_CrystalPalace_20250831
Dean Henderson,1,engENG,GK,28-172,90,36,27,35,1,0,0,36,0,0,,0,,21,88,46,0,0,0,0,0,14,0,False,AstonVilla_CrystalPalace_20250831
Viktor Gyökeres,14,seSWE,FW,27-101,67,24,1,1,6,17,9,24,0,0,,0,,7,28,5,0,0,0,2,0,14,3,True,Arsenal_Nott'hamForest_20250913
Declan Rice,41,engENG,LM,26-242,23,12,0,0,7,5,1,12,0,0,,0,,8,62,41,2,0,0,0,1,9,0,True,Arsenal_Nott'hamForest_20250913
Eberechi Eze,10,engENG,LW,27-076,78,38,0,1,15,23,3,38,7,3,42.9,4,57.1,24,218,120,4,1,1,1,0,31,7,True,Arsenal_Nott'hamForest_20250913
Leandro Trossard,19,beBEL,LW,30-283,12,10,0,1,4,5,2,10,1,0,0.0,1,100.0,6,38,10,1,0,1,0,0,7,1,True,Arsenal_Nott'hamForest_20250913
Noni Madueke,20,engENG,RW,23-187,77,57,0,4,9,44,11,57,9,5,55.6,3,33.3,27,214,158,6,0,5,3,1,31,16,True,Arsenal_Nott'hamForest_20250913
Gabriel Martinelli,11,brBRA,RW,24-087,13,8,0,2,1,5,0,8,0,0,,0,,2,28,20,1,1,0,0,0,2,1,True,Arsenal_Nott'hamForest_20250913
Mikel Merino,23,esESP,"LM,FW",29-083,90,46,1,12,24,13,1,46,2,1,50.0,0,0.0,29,162,76,2,2,0,2,0,28,4,True,Arsenal_Nott'hamForest_20250913
Martín Zubimendi,36,esESP,CM,26-223,90,49,2,10,29,10,1,49,0,0,,0,,30,167,70,0,0,0,0,0,37,3,True,Arsenal_Nott'hamForest_20250913
Martin Ødegaard,8,noNOR,RM,26-270,17,11,0,2,6,3,0,11,0,0,,0,,7,47,9,0,0,0,0,0,9,2,True,Arsenal_Nott'hamForest_20250913
Ethan Nwaneri,22,engENG,RM,18-176,73,47,2,8,20,19,4,47,1,0,0.0,1,100.0,26,182,117,2,3,0,0,0,36,4,True,Arsenal_Nott'hamForest_20250913
Riccardo Calafiori,33,itITA,LB,23-117,67,34,0,2,23,9,1,34,0,0,,0,,19,136,104,4,1,0,0,0,23,4,True,Arsenal_Nott'hamForest_20250913
Myles Lewis-Skelly,49,engENG,LB,18-352,23,17,1,3,13,1,0,17,0,0,,0,,12,23,8,0,0,0,0,0,13,0,True,Arsenal_Nott'hamForest_20250913
Gabriel Magalhães,6,brBRA,CB,27-268,90,81,14,36,41,4,1,81,1,1,100.0,0,0.0,52,326,264,0,1,0,1,0,58,0,True,Arsenal_Nott'hamForest_20250913
Cristhian Mosquera,3,esESP,CB,21-078,90,89,8,47,39,3,1,89,0,0,,0,,58,324,183,1,1,0,1,0,64,0,True,Arsenal_Nott'hamForest_20250913
Jurriën Timber,12,nlNED,RB,24-088,90,58,3,13,29,17,2,58,3,1,33.3,1,33.3,36,221,141,3,3,0,1,0,37,3,True,Arsenal_Nott'hamForest_20250913
David Raya,1,esESP,GK,29-363,90,34,20,33,1,0,0,34,0,0,,0,,24,86,40,0,0,0,0,0,21,0,True,Arsenal_Nott'hamForest_20250913
Chris Wood,11,nzNZL,FW,33-280,59,11,1,1,5,5,1,11,0,0,,0,,7,18,6,0,0,0,1,0,10,0,False,Arsenal_Nott'hamForest_20250913
Dilane Bakwa,29,frFRA,RW,23-018,31,13,0,3,3,7,1,13,1,0,0.0,0,0.0,10,61,24,0,0,1,1,0,9,2,False,Arsenal_Nott'hamForest_20250913
Callum Hudson-Odoi,7,engENG,LW,24-310,59,28,0,3,13,12,0,28,1,0,0.0,1,100.0,19,63,28,1,1,0,1,2,24,2,False,Arsenal_Nott'hamForest_20250913
Arnaud Kalimuendo,15,frFRA,FW,23-236,31,16,0,2,6,8,4,16,0,0,,0,,10,74,53,3,1,2,2,0,15,4,False,Arsenal_Nott'hamForest_20250913
Dan Ndoye,14,chSUI,"RW,LW",24-323,90,30,1,4,8,20,2,30,4,2,50.0,2,50.0,23,281,171,9,6,2,1,0,23,9,False,Arsenal_Nott'hamForest_20250913
Morgan Gibbs-White,10,engENG,AM,25-229,72,31,1,4,16,12,2,31,0,0,,0,,21,79,29,0,0,0,2,2,27,3,False,Arsenal_Nott'hamForest_20250913
James Mcatee,24,engENG,AM,22-330,18,13,1,3,7,3,0,13,0,0,,0,,11,83,42,1,1,0,1,2,12,0,False,Arsenal_Nott'hamForest_20250913
Elliot Anderson,8,engENG,DM,22-311,90,88,5,34,42,14,0,88,4,2,50.0,2,50.0,55,278,77,1,2,0,2,0,56,0,False,Arsenal_Nott'hamForest_20250913
Ibrahim Sangaré,6,ciCIV,DM,27-285,72,42,2,11,23,8,0,42,0,0,,0,,23,77,43,1,0,0,1,0,32,0,False,Arsenal_Nott'hamForest_20250913
Ryan Yates,22,engENG,DM,27-296,18,10,1,3,5,2,0,10,0,0,,0,,5,11,6,0,1,0,0,0,6,0,False,Arsenal_Nott'hamForest_20250913
Morato,4,brBRA,"CB,LB",24-075,90,60,15,38,21,1,0,60,0,0,,0,,32,91,41,0,0,0,2,0,43,0,False,Arsenal_Nott'hamForest_20250913
Murillo,5,brBRA,CB,23-071,36,24,9,20,4,0,0,24,0,0,,0,,9,20,3,0,0,0,0,0,10,0,False,Arsenal_Nott'hamForest_20250913
Nicolò Savona,37,itITA,RB,22-178,54,35,1,14,11,10,2,35,1,0,0.0,0,0.0,20,49,8,0,0,0,3,0,20,2,False,Arsenal_Nott'hamForest_20250913
Nikola Milenković,31,rsSRB,CB,27-336,90,53,9,24,26,3,1,53,0,0,,0,,35,184,116,1,0,0,1,0,41,0,False,Arsenal_Nott'hamForest_20250913
Neco Williams,3,wlsWAL,"LB,RB",24-153,90,56,6,27,18,11,0,56,4,1,25.0,2,50.0,26,126,88,2,1,0,0,0,31,3,False,Arsenal_Nott'hamForest_20250913
Matz Sels,26,beBEL,GK,33-199,90,34,28,34,0,0,0,34,0,0,,0,,12,42,19,0,0,0,0,0,14,0,False,Arsenal_Nott'hamForest_20250913
Nick Woltemade,27,deGER,FW,23-211,64,19,0,0,10,9,4,19,0,0,,0,,7,10,8,0,0,0,1,1,16,3,True,NewcastleUtd_Wolves_20250913
William Osula,18,dkDEN,FW,22-040,26,8,0,2,3,3,0,8,0,0,,0,,3,13,1,0,0,0,0,0,4,1,True,NewcastleUtd_Wolves_20250913
Harvey Barnes,11,engENG,LW,27-278,79,39,3,6,7,26,4,39,0,0,,0,,24,122,48,2,0,1,3,2,29,11,True,NewcastleUtd_Wolves_20250913
