player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,home,game_id
John McGinn,7,sctSCO,DM,30-317,73,38,50,76.0,760,137,6,8,75.0,30,33,90.9,2,7,28.6,0,0.5,0.1,1,2,1,0,3,True,AstonVilla_CrystalPalace_20250831
Pau Torres,14,esESP,CB,28-227,17,11,13,84.6,220,51,4,4,100.0,6,8,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,True,AstonVilla_CrystalPalace_20250831
Ian Maatsen,22,nlNED,"LB,WB",23-174,87,71,84,84.5,1314,397,34,36,94.4,27,32,84.4,9,13,69.2,0,0.1,0.1,2,10,1,0,6,True,AstonVilla_CrystalPalace_20250831
Lamare Bogarde,26,nlNED,CM,21-238,3,7,7,100.0,107,9,5,5,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,AstonVilla_CrystalPalace_20250831
Tyrone Mings,5,engENG,CB,32-171,90,64,69,92.8,1332,478,11,11,100.0,49,50,98.0,4,8,50.0,0,0.0,0.0,0,7,1,0,9,True,AstonVilla_CrystalPalace_20250831
Ezri Konsa,4,engENG,CB,27-312,90,83,87,95.4,1636,496,25,26,96.2,53,55,96.4,5,6,83.3,0,0.0,0.0,1,9,1,0,5,True,AstonVilla_CrystalPalace_20250831
Matty Cash,2,plPOL,RB,28-024,73,55,67,82.1,1076,252,18,20,90.0,30,34,88.2,7,11,63.6,0,0.0,0.1,1,7,2,1,4,True,AstonVilla_CrystalPalace_20250831
Bradley Burrowes,83,engENG,WB,17-180,17,3,8,37.5,65,4,1,2,50.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,True,AstonVilla_CrystalPalace_20250831
Marco Bizot,40,nlNED,GK,34-174,90,22,22,100.0,610,389,4,4,100.0,11,11,100.0,7,7,100.0,0,0.0,0.0,0,0,0,0,1,True,AstonVilla_CrystalPalace_20250831
Jean-Philippe Mateta,14,frFRA,FW,28-064,84,7,13,53.8,107,24,4,4,100.0,2,5,40.0,1,1,100.0,0,0.0,0.3,0,0,1,0,1,False,AstonVilla_CrystalPalace_20250831
Justin Devenny,55,nirNIR,CM,21-324,6,3,3,100.0,63,1,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,False,AstonVilla_CrystalPalace_20250831
Daichi Kamada,18,jpJPN,"AM,CM",29-026,85,32,37,86.5,495,151,14,16,87.5,15,15,100.0,1,3,33.3,0,0.0,0.2,0,4,2,0,5,False,AstonVilla_CrystalPalace_20250831
Nathaniel Clyne,17,engENG,WB,34-148,5,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,AstonVilla_CrystalPalace_20250831
Ismaila Sarr,7,snSEN,"AM,FW",27-187,90,17,22,77.3,284,109,9,11,81.8,7,9,77.8,1,1,100.0,0,0.0,0.0,0,1,0,0,2,False,AstonVilla_CrystalPalace_20250831
Will Hughes,19,engENG,CM,30-136,70,25,27,92.6,400,88,13,14,92.9,9,9,100.0,2,2,100.0,0,0.0,0.0,0,2,2,0,3,False,AstonVilla_CrystalPalace_20250831
Yeremi Pino,10,esESP,AM,22-315,20,13,14,92.9,159,34,10,10,100.0,1,1,100.0,1,1,100.0,0,0.4,0.0,1,2,0,0,1,False,AstonVilla_CrystalPalace_20250831
Adam Wharton,20,engENG,CM,21-206,55,29,33,87.9,541,121,10,10,100.0,17,18,94.4,2,4,50.0,0,0.0,0.0,0,3,0,0,1,False,AstonVilla_CrystalPalace_20250831
Jefferson Lerma,8,coCOL,CM,30-310,35,12,13,92.3,196,81,6,6,100.0,6,6,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,False,AstonVilla_CrystalPalace_20250831
Tyrick Mitchell,3,engENG,WB,25-364,90,33,46,71.7,502,124,18,20,90.0,11,14,78.6,2,5,40.0,0,0.0,0.0,1,1,0,0,2,False,AstonVilla_CrystalPalace_20250831
Daniel Muñoz,2,coCOL,"WB,AM",29-097,90,31,40,77.5,463,177,17,20,85.0,12,14,85.7,1,2,50.0,0,0.9,0.5,1,2,0,0,1,False,AstonVilla_CrystalPalace_20250831
Marc Guéhi,6,engENG,CB,25-049,90,50,56,89.3,953,366,13,16,81.3,27,28,96.4,7,8,87.5,0,0.0,0.0,0,6,0,0,2,False,AstonVilla_CrystalPalace_20250831
Maxence Lacroix,5,frFRA,CB,25-147,90,38,40,95.0,825,228,9,9,100.0,24,26,92.3,5,5,100.0,1,0.5,0.1,1,3,0,0,2,False,AstonVilla_CrystalPalace_20250831
Chris Richards,26,usUSA,CB,25-156,90,28,34,82.4,502,156,9,11,81.8,19,21,90.5,0,2,0.0,0,0.0,0.0,0,1,0,0,3,False,AstonVilla_CrystalPalace_20250831
Dean Henderson,1,engENG,GK,28-172,90,21,33,63.6,710,535,3,3,100.0,8,8,100.0,10,22,45.5,0,0.0,0.0,0,0,0,0,0,False,AstonVilla_CrystalPalace_20250831
Viktor Gyökeres,14,seSWE,FW,27-101,67,7,11,63.6,138,38,3,4,75.0,2,2,100.0,2,2,100.0,0,0.0,0.0,1,1,1,0,2,True,Arsenal_Nott'hamForest_20250913
Declan Rice,41,engENG,LM,26-242,23,11,12,91.7,186,66,5,6,83.3,5,5,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,3,True,Arsenal_Nott'hamForest_20250913
Eberechi Eze,10,engENG,LW,27-076,78,20,26,76.9,327,79,10,10,100.0,8,11,72.7,1,2,50.0,1,0.5,0.4,1,1,1,0,4,True,Arsenal_Nott'hamForest_20250913
Leandro Trossard,19,beBEL,LW,30-283,12,5,7,71.4,100,23,1,1,100.0,3,3,100.0,1,2,50.0,1,0.1,0.3,1,0,1,0,1,True,Arsenal_Nott'hamForest_20250913
Noni Madueke,20,engENG,RW,23-187,77,26,45,57.8,384,128,13,16,81.3,8,13,61.5,2,7,28.6,0,0.7,0.7,5,0,2,0,3,True,Arsenal_Nott'hamForest_20250913
Gabriel Martinelli,11,brBRA,RW,24-087,13,4,7,57.1,96,2,3,5,60.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,Arsenal_Nott'hamForest_20250913
Mikel Merino,23,esESP,"LM,FW",29-083,90,31,38,81.6,393,95,21,22,95.5,9,12,75.0,0,1,0.0,0,0.1,0.1,1,3,1,0,3,True,Arsenal_Nott'hamForest_20250913
Martín Zubimendi,36,esESP,CM,26-223,90,37,44,84.1,666,188,12,13,92.3,22,25,88.0,2,5,40.0,0,0.0,0.0,1,1,1,0,3,True,Arsenal_Nott'hamForest_20250913
Martin Ødegaard,8,noNOR,RM,26-270,17,7,10,70.0,134,26,3,4,75.0,3,3,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,True,Arsenal_Nott'hamForest_20250913
Ethan Nwaneri,22,engENG,RM,18-176,73,34,39,87.2,642,185,12,14,85.7,16,16,100.0,5,7,71.4,0,0.0,0.0,1,4,0,0,6,True,Arsenal_Nott'hamForest_20250913
Riccardo Calafiori,33,itITA,LB,23-117,67,24,30,80.0,462,168,9,10,90.0,14,14,100.0,1,5,20.0,0,0.0,0.0,1,3,1,0,3,True,Arsenal_Nott'hamForest_20250913
Myles Lewis-Skelly,49,engENG,LB,18-352,23,17,17,100.0,340,8,5,5,100.0,10,10,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,True,Arsenal_Nott'hamForest_20250913
Gabriel Magalhães,6,brBRA,CB,27-268,90,63,68,92.6,1194,364,22,25,88.0,37,38,97.4,4,5,80.0,0,0.0,0.0,0,4,0,0,10,True,Arsenal_Nott'hamForest_20250913
Cristhian Mosquera,3,esESP,CB,21-078,90,75,83,90.4,1364,501,27,29,93.1,42,47,89.4,5,5,100.0,0,0.0,0.0,0,3,0,0,2,True,Arsenal_Nott'hamForest_20250913
Jurriën Timber,12,nlNED,RB,24-088,90,43,47,91.5,740,261,20,21,95.2,22,24,91.7,1,2,50.0,0,0.0,0.0,0,9,0,0,9,True,Arsenal_Nott'hamForest_20250913
David Raya,1,esESP,GK,29-363,90,30,33,90.9,668,460,6,6,100.0,20,20,100.0,4,7,57.1,0,0.0,0.0,0,2,0,0,0,True,Arsenal_Nott'hamForest_20250913
Chris Wood,11,nzNZL,FW,33-280,59,4,8,50.0,37,17,4,5,80.0,0,2,0.0,0,0,,0,0.0,0.0,1,1,1,0,2,False,Arsenal_Nott'hamForest_20250913
Dilane Bakwa,29,frFRA,RW,23-018,31,7,10,70.0,106,57,4,4,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0,False,Arsenal_Nott'hamForest_20250913
Callum Hudson-Odoi,7,engENG,LW,24-310,59,23,26,88.5,259,41,12,14,85.7,4,4,100.0,1,2,50.0,0,0.0,0.0,0,3,0,0,3,False,Arsenal_Nott'hamForest_20250913
Arnaud Kalimuendo,15,frFRA,FW,23-236,31,8,11,72.7,100,14,5,6,83.3,3,4,75.0,0,0,,0,0.0,0.0,1,1,0,0,1,False,Arsenal_Nott'hamForest_20250913
Dan Ndoye,14,chSUI,"RW,LW",24-323,90,18,24,75.0,299,38,11,11,100.0,5,9,55.6,2,3,66.7,0,0.0,0.0,1,0,2,1,3,False,Arsenal_Nott'hamForest_20250913
Morgan Gibbs-White,10,engENG,AM,25-229,72,22,26,84.6,280,24,15,16,93.8,4,5,80.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0,False,Arsenal_Nott'hamForest_20250913
James Mcatee,24,engENG,AM,22-330,18,10,11,90.9,182,80,4,4,100.0,3,3,100.0,2,2,100.0,0,0.1,0.0,1,1,0,0,2,False,Arsenal_Nott'hamForest_20250913
Elliot Anderson,8,engENG,DM,22-311,90,62,74,83.8,1006,303,30,31,96.8,29,31,93.5,2,8,25.0,0,0.0,0.0,0,4,1,0,4,False,Arsenal_Nott'hamForest_20250913
Ibrahim Sangaré,6,ciCIV,DM,27-285,72,35,37,94.6,537,153,18,18,100.0,9,11,81.8,4,4,100.0,0,0.0,0.0,0,3,0,0,5,False,Arsenal_Nott'hamForest_20250913
Ryan Yates,22,engENG,DM,27-296,18,8,8,100.0,108,11,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,Arsenal_Nott'hamForest_20250913
Morato,4,brBRA,"CB,LB",24-075,90,43,52,82.7,827,468,15,16,93.8,24,26,92.3,4,9,44.4,0,0.0,0.0,0,2,0,0,1,False,Arsenal_Nott'hamForest_20250913
Murillo,5,brBRA,CB,23-071,36,9,14,64.3,179,70,4,4,100.0,4,5,80.0,1,5,20.0,0,0.0,0.0,0,0,0,0,0,False,Arsenal_Nott'hamForest_20250913
Nicolò Savona,37,itITA,RB,22-178,54,20,26,76.9,305,58,13,14,92.9,6,9,66.7,1,2,50.0,0,0.0,0.0,1,1,0,0,0,False,Arsenal_Nott'hamForest_20250913
Nikola Milenković,31,rsSRB,CB,27-336,90,41,46,89.1,750,156,14,14,100.0,24,24,100.0,2,6,33.3,0,0.0,0.0,0,5,0,0,1,False,Arsenal_Nott'hamForest_20250913
Neco Williams,3,wlsWAL,"LB,RB",24-153,90,38,45,84.4,559,215,23,25,92.0,12,13,92.3,1,3,33.3,0,0.0,0.0,0,3,0,0,3,False,Arsenal_Nott'hamForest_20250913
Matz Sels,26,beBEL,GK,33-199,90,25,30,83.3,583,356,13,13,100.0,7,7,100.0,5,10,50.0,0,0.0,0.0,0,3,0,0,0,False,Arsenal_Nott'hamForest_20250913
Nick Woltemade,27,deGER,FW,23-211,64,8,10,80.0,93,0,7,7,100.0,1,2,50.0,0,0,,0,0.0,0.0,1,0,0,0,0,True,NewcastleUtd_Wolves_20250913
William Osula,18,dkDEN,FW,22-040,26,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0,True,NewcastleUtd_Wolves_20250913
Harvey Barnes,11,engENG,LW,27-278,79,18,25,72.0,258,75,12,13,92.3,6,8,75.0,0,1,0.0,0,0.0,0.1,0,1,3,0,5,True,NewcastleUtd_Wolves_20250913
Anthony Elanga,20,seSWE,LW,23-139,11,5,7,71.4,56,9,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,True,NewcastleUtd_Wolves_20250913
Jacob Murphy,23,engENG,RW,30-201,89,20,37,54.1,357,120,10,18,55.6,8,12,66.7,2,5,40.0,1,0.2,0.3,1,2,4,1,3,True,NewcastleUtd_Wolves_20250913
Sven Botman,4,nlNED,RW,25-244,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Wolves_20250913
Joelinton,7,brBRA,LM,29-030,64,24,31,77.4,338,112,15,19,78.9,8,10,80.0,1,1,100.0,0,0.7,0.3,1,5,0,0,5,True,NewcastleUtd_Wolves_20250913
Joe Willock,28,engENG,LM,26-024,26,3,5,60.0,85,26,0,0,,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,True,NewcastleUtd_Wolves_20250913
Sandro Tonali,8,itITA,CM,25-128,90,40,52,76.9,706,205,16,19,84.2,20,24,83.3,3,7,42.9,0,0.0,0.0,0,5,0,0,7,True,NewcastleUtd_Wolves_20250913
Bruno Guimarães,39,brBRA,RM,27-301,90,40,51,78.4,629,198,23,25,92.0,14,18,77.8,2,5,40.0,0,0.1,0.1,2,2,1,0,4,True,NewcastleUtd_Wolves_20250913
Valentino Livramento,21,engENG,LB,22-305,90,55,59,93.2,834,293,33,35,94.3,20,21,95.2,2,2,100.0,0,0.0,0.0,0,9,0,0,8,True,NewcastleUtd_Wolves_20250913
Dan Burn,33,engENG,CB,33-127,90,40,50,80.0,790,313,8,10,80.0,30,33,90.9,2,5,40.0,0,0.0,0.0,0,1,0,0,2,True,NewcastleUtd_Wolves_20250913
Fabian Schär,5,chSUI,CB,33-267,90,53,61,86.9,1233,597,9,9,100.0,32,34,94.1,12,18,66.7,0,0.1,0.0,1,4,0,0,4,True,NewcastleUtd_Wolves_20250913
Kieran Trippier,2,engENG,RB,34-359,90,73,93,78.5,1540,540,21,25,84.0,37,45,82.2,14,22,63.6,0,0.3,0.2,5,10,1,1,12,True,NewcastleUtd_Wolves_20250913
Nick Pope,1,engENG,GK,33-147,90,21,26,80.8,526,331,2,2,100.0,13,13,100.0,6,11,54.5,0,0.0,0.0,0,0,0,0,0,True,NewcastleUtd_Wolves_20250913
Hwang Hee-chan,11,krKOR,FW,29-230,76,11,20,55.0,208,39,6,8,75.0,4,9,44.4,1,2,50.0,0,0.0,0.0,0,0,0,0,0,False,NewcastleUtd_Wolves_20250913
Fer López,28,esESP,FW,21-112,14,7,8,87.5,118,27,3,3,100.0,4,4,100.0,0,1,0.0,0,0.0,0.1,1,1,1,0,2,False,NewcastleUtd_Wolves_20250913
Tolu Arokodare,14,ngNGA,FW,24-294,65,5,7,71.4,59,7,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,False,NewcastleUtd_Wolves_20250913
Jhon Arias,10,coCOL,FW,27-357,25,5,6,83.3,96,13,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,False,NewcastleUtd_Wolves_20250913
Ladislav Krejčí,37,czCZE,"CM,CB",26-146,90,27,33,81.8,504,121,12,13,92.3,12,13,92.3,3,5,60.0,0,0.1,0.2,1,2,0,0,2,False,NewcastleUtd_Wolves_20250913
João Gomes,8,brBRA,CM,24-213,90,31,40,77.5,514,148,15,17,88.2,11,15,73.3,3,5,60.0,0,0.1,0.1,1,3,3,1,6,False,NewcastleUtd_Wolves_20250913
André,7,brBRA,CM,24-059,65,18,18,100.0,297,79,9,9,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,NewcastleUtd_Wolves_20250913
Marshall Munetsi,5,zwZIM,CM,29-083,25,3,7,42.9,36,0,2,5,40.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,NewcastleUtd_Wolves_20250913
Rodrigo Gomes,21,ptPOR,WB,22-068,76,13,17,76.5,219,14,7,9,77.8,5,7,71.4,1,1,100.0,0,0.0,0.0,0,0,0,0,1,False,NewcastleUtd_Wolves_20250913
Jackson Tchatchoua,38,cmCMR,WB,23-364,14,6,8,75.0,94,19,1,2,50.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,False,NewcastleUtd_Wolves_20250913
Hugo Bueno,3,esESP,WB,22-360,90,26,39,66.7,446,65,11,16,68.8,13,15,86.7,2,7,28.6,0,0.1,0.1,2,0,1,1,0,False,NewcastleUtd_Wolves_20250913
Toti Gomes,24,ptPOR,CB,26-240,90,50,59,84.7,912,348,21,23,91.3,25,28,89.3,4,8,50.0,0,0.0,0.0,0,8,0,0,3,False,NewcastleUtd_Wolves_20250913
Yerson Mosquera,15,coCOL,CB,24-134,65,16,17,94.1,332,74,4,4,100.0,11,12,91.7,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,NewcastleUtd_Wolves_20250913
Jean-Ricner Bellegarde,27,htHAI,CM,27-078,25,12,14,85.7,265,29,1,2,50.0,9,9,100.0,2,3,66.7,0,0.0,0.0,0,0,1,0,3,False,NewcastleUtd_Wolves_20250913
Emmanuel Agbadou,12,ciCIV,CB,28-088,90,33,46,71.7,709,388,10,12,83.3,20,24,83.3,3,10,30.0,0,0.0,0.1,0,6,1,0,3,False,NewcastleUtd_Wolves_20250913
Sam Johnstone,31,engENG,GK,32-172,90,23,45,51.1,704,534,6,6,100.0,9,9,100.0,8,30,26.7,0,0.0,0.0,0,1,0,0,0,False,NewcastleUtd_Wolves_20250913
Rodrigo Muniz,9,brBRA,FW,24-132,83,3,9,33.3,82,35,1,3,33.3,1,3,33.3,1,2,50.0,0,0.0,0.0,0,1,1,0,1,True,Fulham_LeedsUnited_20250913
Raúl Jiménez,7,mxMEX,FW,34-131,7,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,Fulham_LeedsUnited_20250913
Alex Iwobi,17,ngNGA,LW,29-133,75,17,27,63.0,318,84,5,9,55.6,10,12,83.3,2,6,33.3,0,0.0,0.0,0,3,1,0,3,True,Fulham_LeedsUnited_20250913
Kevin,22,brBRA,LW,22-252,15,6,8,75.0,108,50,4,4,100.0,1,2,50.0,1,1,100.0,0,0.0,0.1,1,0,2,2,0,True,Fulham_LeedsUnited_20250913
Harry Wilson,8,wlsWAL,RW,28-175,59,16,20,80.0,201,33,11,12,91.7,5,5,100.0,0,3,0.0,0,0.0,0.0,0,1,0,0,0,True,Fulham_LeedsUnited_20250913
Adama Traoré,11,esESP,RW,29-231,31,4,9,44.4,55,6,1,2,50.0,3,6,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,Fulham_LeedsUnited_20250913
Joshua King,24,engENG,AM,18-253,59,7,10,70.0,87,2,4,6,66.7,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,True,Fulham_LeedsUnited_20250913
Emile Smith Rowe,32,engENG,AM,25-047,31,14,20,70.0,201,25,6,10,60.0,7,8,87.5,0,0,,0,0.0,0.0,0,0,0,0,2,True,Fulham_LeedsUnited_20250913
Sander Berge,16,noNOR,DM,27-211,83,49,52,94.2,889,159,19,20,95.0,25,26,96.2,4,4,100.0,0,0.2,0.2,1,1,1,1,3,True,Fulham_LeedsUnited_20250913
Tom Cairney,10,sctSCO,DM,34-236,7,3,3,100.0,39,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,Fulham_LeedsUnited_20250913
Saša Lukić,20,rsSRB,DM,29-031,90,28,34,82.4,449,36,14,15,93.3,13,15,86.7,1,3,33.3,0,0.0,0.0,0,2,0,0,2,True,Fulham_LeedsUnited_20250913
Ryan Sessegnon,30,engENG,LB,25-118,90,33,53,62.3,498,130,19,21,90.5,13,20,65.0,1,6,16.7,0,0.5,0.2,2,5,0,0,3,True,Fulham_LeedsUnited_20250913
Calvin Bassey,3,ngNGA,CB,25-256,90,83,88,94.3,1723,468,16,18,88.9,60,61,98.4,7,9,77.8,0,0.0,0.0,0,15,1,0,11,True,Fulham_LeedsUnited_20250913
Joachim Andersen,5,dkDEN,CB,29-105,90,89,102,87.3,1927,709,21,22,95.5,51,56,91.1,15,22,68.2,0,0.0,0.0,0,17,1,0,11,True,Fulham_LeedsUnited_20250913
Kenny Tete,2,nlNED,RB,29-339,90,29,40,72.5,460,208,16,18,88.9,11,16,68.8,1,5,20.0,0,0.0,0.0,0,2,1,0,4,True,Fulham_LeedsUnited_20250913
Bernd Leno,1,deGER,GK,33-193,90,27,29,93.1,470,392,9,9,100.0,17,17,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,True,Fulham_LeedsUnited_20250913
Dominic Calvert-Lewin,9,engENG,FW,28-181,68,5,8,62.5,51,12,3,6,50.0,1,1,100.0,0,0,,0,0.0,0.1,1,0,1,0,1,False,Fulham_LeedsUnited_20250913
Lukas Nmecha,14,deGER,FW,26-273,22,1,3,33.3,8,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,Fulham_LeedsUnited_20250913
Noah Okafor,19,chSUI,LW,25-112,68,18,23,78.3,358,86,5,5,100.0,8,11,72.7,4,4,100.0,0,0.0,0.0,1,3,1,0,4,False,Fulham_LeedsUnited_20250913
Jack Harrison,20,engENG,LW,28-297,22,4,5,80.0,97,24,1,1,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,False,Fulham_LeedsUnited_20250913
Brenden Aaronson,11,usUSA,RW,24-326,76,14,19,73.7,178,24,10,11,90.9,4,6,66.7,0,0,,0,0.3,0.3,1,2,0,0,0,False,Fulham_LeedsUnited_20250913
Daniel James,7,wlsWAL,RW,27-307,12,0,2,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,False,Fulham_LeedsUnited_20250913
Wilfried Gnonto,29,itITA,RW,21-312,2,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,Fulham_LeedsUnited_20250913
Anton Stach,18,deGER,LM,26-302,90,27,39,69.2,434,109,14,18,77.8,9,13,69.2,3,4,75.0,0,0.1,0.1,1,2,1,0,4,False,Fulham_LeedsUnited_20250913
Ethan Ampadu,4,wlsWAL,CM,24-364,90,35,48,72.9,609,123,16,22,72.7,15,17,88.2,4,9,44.4,0,0.0,0.0,0,5,0,0,2,False,Fulham_LeedsUnited_20250913
Sean Longstaff,8,engENG,RM,27-318,90,33,40,82.5,593,193,10,13,76.9,19,20,95.0,2,4,50.0,0,0.0,0.0,0,2,0,0,2,False,Fulham_LeedsUnited_20250913
Gabriel Gudmundsson,3,seSWE,LB,26-137,90,40,51,78.4,598,314,22,23,95.7,15,17,88.2,1,8,12.5,0,0.0,0.1,0,2,0,0,4,False,Fulham_LeedsUnited_20250913
Pascal Struijk,5,nlNED,CB,26-033,90,52,55,94.5,1060,380,18,18,100.0,27,27,100.0,7,10,70.0,0,0.0,0.0,0,3,1,0,3,False,Fulham_LeedsUnited_20250913
Joe Rodon,6,wlsWAL,CB,27-326,90,50,54,92.6,1066,346,11,11,100.0,33,35,94.3,6,8,75.0,0,0.0,0.0,0,3,0,0,4,False,Fulham_LeedsUnited_20250913
Jayden Bogle,2,engENG,RB,25-048,90,26,37,70.3,393,104,13,17,76.5,11,12,91.7,1,5,20.0,0,0.0,0.0,0,2,0,0,2,False,Fulham_LeedsUnited_20250913
Karl Darlow,26,wlsWAL,GK,34-340,90,27,41,65.9,811,558,6,6,100.0,12,12,100.0,9,23,39.1,0,0.0,0.0,0,0,0,0,0,False,Fulham_LeedsUnited_20250913
Jean-Philippe Mateta,14,frFRA,FW,28-077,90,10,11,90.9,134,20,7,7,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,CrystalPalace_Sunderland_20250913
Daichi Kamada,18,jpJPN,"AM,CM",29-039,90,23,29,79.3,371,102,11,14,78.6,6,6,100.0,3,3,100.0,0,0.6,0.2,1,1,1,0,5,True,CrystalPalace_Sunderland_20250913
Yeremi Pino,10,esESP,AM,22-328,83,24,37,64.9,354,74,13,15,86.7,9,15,60.0,2,6,33.3,0,0.0,0.0,0,1,1,0,7,True,CrystalPalace_Sunderland_20250913
Christantus Uche,12,ngNGA,AM,22-117,7,5,9,55.6,70,11,3,4,75.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,True,CrystalPalace_Sunderland_20250913
Jefferson Lerma,8,coCOL,CM,30-323,68,24,31,77.4,437,137,10,10,100.0,12,14,85.7,2,6,33.3,0,0.0,0.0,0,3,0,0,7,True,CrystalPalace_Sunderland_20250913
Justin Devenny,55,nirNIR,AM,21-337,22,6,10,60.0,96,12,3,4,75.0,3,4,75.0,0,1,0.0,0,0.1,0.1,2,0,0,0,0,True,CrystalPalace_Sunderland_20250913
Will Hughes,19,engENG,CM,30-149,90,30,43,69.8,526,235,16,18,88.9,11,17,64.7,3,8,37.5,0,0.2,0.2,2,4,1,0,8,True,CrystalPalace_Sunderland_20250913
Tyrick Mitchell,3,engENG,WB,26-012,90,42,52,80.8,729,167,14,16,87.5,25,26,96.2,2,6,33.3,0,0.1,0.1,1,1,2,2,3,True,CrystalPalace_Sunderland_20250913
Daniel Muñoz,2,coCOL,WB,29-110,90,36,44,81.8,565,124,23,24,95.8,8,13,61.5,4,4,100.0,0,0.0,0.2,0,0,2,1,2,True,CrystalPalace_Sunderland_20250913
Marc Guéhi,6,engENG,CB,25-062,90,75,85,88.2,1390,400,26,26,100.0,44,48,91.7,5,10,50.0,0,0.0,0.0,1,3,0,0,4,True,CrystalPalace_Sunderland_20250913
Maxence Lacroix,5,frFRA,CB,25-160,90,75,81,92.6,1487,417,20,21,95.2,48,49,98.0,7,11,63.6,0,0.0,0.0,0,2,0,0,3,True,CrystalPalace_Sunderland_20250913
Chris Richards,26,usUSA,CB,25-169,90,57,65,87.7,1202,324,16,17,94.1,35,40,87.5,6,8,75.0,0,0.0,0.0,1,3,0,0,1,True,CrystalPalace_Sunderland_20250913
Dean Henderson,1,engENG,GK,28-185,90,32,42,76.2,946,549,6,6,100.0,15,15,100.0,11,21,52.4,0,0.0,0.0,0,1,0,0,0,True,CrystalPalace_Sunderland_20250913
Wilson Isidor,18,frFRA,"FW,LW",25-017,89,5,6,83.3,78,51,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,False,CrystalPalace_Sunderland_20250913
Chris Rigg,11,engENG,LW,18-087,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,CrystalPalace_Sunderland_20250913
Simon Adingra,24,ciCIV,LW,23-255,68,10,15,66.7,168,16,4,5,80.0,4,4,100.0,1,3,33.3,0,0.2,0.1,1,0,1,1,0,False,CrystalPalace_Sunderland_20250913
Brian Brobbey,9,nlNED,FW,23-224,22,1,2,50.0,6,2,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,CrystalPalace_Sunderland_20250913
Chemsdine Talbi,7,maMAR,RW,20-127,90,16,23,69.6,261,6,9,14,64.3,4,5,80.0,2,3,66.7,0,0.0,0.2,1,0,0,0,0,False,CrystalPalace_Sunderland_20250913
Noah Sadiki,27,cdCOD,LM,20-270,83,26,30,86.7,420,93,13,15,86.7,11,12,91.7,1,1,100.0,0,0.0,0.0,0,2,1,1,1,False,CrystalPalace_Sunderland_20250913
