player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,home,game_id
Igor Jesus,19,brBRA,FW,24-173,12,2,3,66.7,22,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,Nott'hamForest_Brentford_20250817
Callum Hudson-Odoi,7,engENG,LW,24-283,90,35,41,85.4,547,95,16,18,88.9,18,21,85.7,1,1,100.0,0,0.3,0.2,2,0,1,1,3,True,Nott'hamForest_Brentford_20250817
Dan Ndoye,14,chSUI,RW,24-296,78,7,14,50.0,102,19,5,8,62.5,2,5,40.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,Nott'hamForest_Brentford_20250817
Jota Silva,20,ptPOR,RW,26-016,12,2,3,66.7,27,5,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,Nott'hamForest_Brentford_20250817
Morgan Gibbs-White,10,engENG,AM,25-202,83,45,56,80.4,688,193,25,29,86.2,17,19,89.5,3,5,60.0,1,0.2,0.3,3,5,5,2,11,True,Nott'hamForest_Brentford_20250817
Ryan Yates,22,engENG,DM,27-269,7,5,5,100.0,73,29,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,True,Nott'hamForest_Brentford_20250817
Elliot Anderson,8,engENG,"DM,AM",22-284,90,66,82,80.5,1245,304,24,28,85.7,33,35,94.3,8,16,50.0,1,0.9,0.3,1,11,3,0,11,True,Nott'hamForest_Brentford_20250817
Ibrahim Sangaré,6,ciCIV,DM,27-258,90,38,47,80.9,730,216,15,17,88.2,18,21,85.7,5,7,71.4,0,0.0,0.0,0,1,0,0,3,True,Nott'hamForest_Brentford_20250817
Neco Williams,3,wlsWAL,LB,24-126,90,40,50,80.0,571,176,21,22,95.5,18,20,90.0,0,6,0.0,0,0.3,0.1,2,3,1,1,5,True,Nott'hamForest_Brentford_20250817
Murillo,5,brBRA,CB,23-044,90,40,50,80.0,918,378,10,10,100.0,25,28,89.3,5,12,41.7,0,0.0,0.0,0,8,0,0,4,True,Nott'hamForest_Brentford_20250817
Nikola Milenković,31,rsSRB,CB,27-309,90,20,27,74.1,436,269,6,6,100.0,11,12,91.7,3,8,37.5,0,0.0,0.0,0,2,0,0,0,True,Nott'hamForest_Brentford_20250817
Ola Aina,34,ngNGA,RB,28-313,90,36,48,75.0,553,224,19,20,95.0,16,21,76.2,1,6,16.7,0,0.0,0.0,1,3,2,1,3,True,Nott'hamForest_Brentford_20250817
Matz Sels,26,beBEL,GK,33-172,90,19,28,67.9,483,259,3,3,100.0,13,14,92.9,3,11,27.3,0,0.0,0.0,0,0,0,0,0,True,Nott'hamForest_Brentford_20250817
Thiago,9,brBRA,FW,24-052,90,12,16,75.0,188,21,6,7,85.7,4,6,66.7,1,1,100.0,0,0.1,0.0,1,0,1,0,1,False,Nott'hamForest_Brentford_20250817
Fabio Carvalho,14,ptPOR,"LW,RW,AM",22-352,90,12,16,75.0,184,44,7,9,77.8,3,3,100.0,2,4,50.0,0,0.0,0.0,0,0,1,0,2,False,Nott'hamForest_Brentford_20250817
Keane Lewis-Potter,23,engENG,RW,24-176,68,11,17,64.7,211,31,6,6,100.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0,0,0,0,1,False,Nott'hamForest_Brentford_20250817
Frank Onyeka,15,ngNGA,LM,27-228,22,4,6,66.7,75,36,2,3,66.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,False,Nott'hamForest_Brentford_20250817
