Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,home,game_id
Hugo Ekitike,22.0,fr FRA,FW,23-056,71,1,1,0,0,4,2,0,0,30,0,0,0,1.1,1.1,0.1,4,2,14,21,66.7,3,16,2,1,True,Liverpool_Bournemouth_20250815
Joe Gomez,2.0,eng ENG,RB,28-084,19,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,1,4,0,0,True,Liverpool_Bournemouth_20250815
Cody Gakpo,18.0,nl NED,LW,26-100,90,1,0,0,0,3,2,0,0,54,1,0,1,0.2,0.2,0.5,3,0,23,33,69.7,5,32,6,2,True,Liverpool_Bournemouth_20250815
Mohamed Salah,11.0,eg EGY,RW,33-061,90,1,0,0,0,3,2,0,0,47,0,0,1,0.3,0.3,0.1,3,0,20,36,55.6,3,31,6,1,True,Liverpool_Bournemouth_20250815
Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,0,0,0,0,1,0,0,0,68,2,0,2,0.1,0.1,0.3,8,0,42,58,72.4,7,37,2,0,True,Liverpool_Bournemouth_20250815
Federico Chiesa,14.0,it ITA,FW,27-294,9,1,0,0,0,1,1,0,0,6,1,0,0,0.2,0.2,0.0,0,0,3,3,100.0,0,1,0,0,True,Liverpool_Bournemouth_20250815
Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,0,1,0,0,1,1,0,0,60,3,1,1,0.0,0.0,0.5,3,1,40,47,85.1,4,34,1,0,True,Liverpool_Bournemouth_20250815
Curtis Jones,17.0,eng ENG,LM,24-197,19,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,9,12,75.0,3,9,0,0,True,Liverpool_Bournemouth_20250815
Dominik Szoboszlai,8.0,hu HUN,"DM,RM",24-294,90,0,0,0,0,3,1,0,0,92,4,0,2,0.1,0.1,0.2,5,1,67,78,85.9,3,60,3,1,True,Liverpool_Bournemouth_20250815
Milos Kerkez,6.0,hu HUN,LB,21-281,59,0,0,0,0,0,0,1,0,47,1,0,0,0.0,0.0,0.0,2,1,33,38,86.8,2,21,0,0,True,Liverpool_Bournemouth_20250815
Andrew Robertson,26.0,sct SCO,LB,31-157,31,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,10,14,71.4,0,5,0,0,True,Liverpool_Bournemouth_20250815
Virgil van Dijk,4.0,nl NED,CB,34-038,90,0,0,0,0,2,1,0,0,99,1,2,3,0.2,0.2,0.0,2,0,63,74,85.1,4,49,1,0,True,Liverpool_Bournemouth_20250815
Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,29,33,87.9,2,22,2,2,True,Liverpool_Bournemouth_20250815
Jeremie Frimpong,30.0,nl NED,RB,24-248,59,0,0,0,0,1,0,0,0,25,1,1,2,0.0,0.0,0.0,1,0,14,19,73.7,0,13,0,1,True,Liverpool_Bournemouth_20250815
Wataru Endo,3.0,jp JPN,"CM,RB",32-187,31,0,1,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.1,2,1,16,17,94.1,1,7,1,0,True,Liverpool_Bournemouth_20250815
Alisson,1.0,br BRA,GK,32-317,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,1,37,42,88.1,2,29,0,0,True,Liverpool_Bournemouth_20250815
Evanilson,9.0,br BRA,FW,25-313,90,0,0,0,0,3,0,1,0,22,0,0,1,0.3,0.3,0.0,2,0,9,13,69.2,1,8,1,0,False,Liverpool_Bournemouth_20250815
David Brooks,7.0,wls WAL,LM,28-038,83,0,1,0,0,2,0,1,0,30,2,0,0,0.2,0.2,0.7,4,1,14,23,60.9,2,15,1,2,False,Liverpool_Bournemouth_20250815
Ben Winterburn,47.0,eng ENG,CM,20-345,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Marcus Tavernier,16.0,eng ENG,"CM,DM",26-146,90,0,0,0,0,2,1,0,0,58,3,1,0,0.3,0.3,0.2,3,0,27,41,65.9,4,22,3,3,False,Liverpool_Bournemouth_20250815
Alex Scott,8.0,eng ENG,CM,21-359,73,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,1,0,19,26,73.1,1,13,2,2,False,Liverpool_Bournemouth_20250815
Hamed Junior Traorè,25.0,ci CIV,"LM,CM",25-180,17,0,1,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.2,1,1,2,3,66.7,0,1,0,0,False,Liverpool_Bournemouth_20250815
Antoine Semenyo,24.0,gh GHA,RM,25-220,90,2,0,0,0,3,2,0,0,35,1,1,3,0.9,0.9,0.0,2,0,7,19,36.8,2,16,2,1,False,Liverpool_Bournemouth_20250815
Tyler Adams,12.0,us USA,DM,26-182,89,0,0,0,0,0,0,0,0,58,5,4,3,0.0,0.0,0.0,1,1,28,39,71.8,0,17,0,0,False,Liverpool_Bournemouth_20250815
Eli Junior Kroupi,22.0,fr FRA,CM,19-053,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,False,Liverpool_Bournemouth_20250815
Adrien Truffert,3.0,fr FRA,LB,23-268,90,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.2,1,0,21,27,77.8,4,15,2,0,False,Liverpool_Bournemouth_20250815
Marcos Senesi,5.0,ar ARG,CB,28-097,90,0,0,0,0,0,0,0,0,52,3,1,2,0.0,0.0,0.1,2,0,22,33,66.7,2,24,0,0,False,Liverpool_Bournemouth_20250815
Bafodé Diakité,18.0,fr FRA,CB,24-221,90,0,0,0,0,0,0,0,0,56,2,1,1,0.0,0.0,0.0,0,0,30,41,73.2,2,20,0,0,False,Liverpool_Bournemouth_20250815
Adam Smith,15.0,eng ENG,RB,34-108,89,0,0,0,0,0,0,0,0,47,1,1,0,0.0,0.0,0.3,1,0,20,32,62.5,1,11,1,0,False,Liverpool_Bournemouth_20250815
James Hill,23.0,eng ENG,RB,23-217,1,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,False,Liverpool_Bournemouth_20250815
Đorđe Petrović,1.0,rs SRB,GK,25-311,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,27,40,67.5,0,23,0,0,False,Liverpool_Bournemouth_20250815
Ollie Watkins,11.0,eng ENG,FW,29-229,90,0,0,0,0,1,1,0,0,25,0,1,1,0.1,0.1,0.0,1,0,9,16,56.3,1,14,4,3,True,AstonVilla_NewcastleUtd_20250816
Morgan Rogers,27.0,eng ENG,"LW,LM",23-021,90,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.1,1,0,10,20,50.0,4,23,0,2,True,AstonVilla_NewcastleUtd_20250816
John McGinn,7.0,sct SCO,"RW,RM",30-302,83,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.1,2,0,15,22,68.2,1,19,1,1,True,AstonVilla_NewcastleUtd_20250816
Donyell Malen,17.0,nl NED,RM,26-219,7,0,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,1,0,True,AstonVilla_NewcastleUtd_20250816
Youri Tielemans,8.0,be BEL,"AM,CM",28-101,90,0,0,0,0,0,0,0,0,31,2,1,1,0.0,0.0,0.0,1,0,14,21,66.7,1,14,0,0,True,AstonVilla_NewcastleUtd_20250816
Amadou Onana,24.0,be BEL,"DM,CM",24-000,90,0,0,0,0,0,0,0,0,54,2,2,1,0.0,0.0,0.0,0,0,36,43,83.7,5,39,2,2,True,AstonVilla_NewcastleUtd_20250816
Boubacar Kamara,44.0,fr FRA,"DM,CB",25-266,90,0,0,0,0,1,1,1,0,51,2,1,1,0.1,0.1,0.0,1,0,32,39,82.1,13,28,1,1,True,AstonVilla_NewcastleUtd_20250816
Lucas Digne,12.0,fr FRA,LB,32-027,90,0,0,0,0,0,0,0,0,47,2,2,1,0.0,0.0,0.0,0,0,23,39,59.0,2,25,0,0,True,AstonVilla_NewcastleUtd_20250816
Tyrone Mings,5.0,eng ENG,CB,32-156,90,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.0,0,0,35,42,83.3,4,21,0,0,True,AstonVilla_NewcastleUtd_20250816
Ezri Konsa,4.0,eng ENG,CB,27-297,65,0,0,0,0,0,0,0,1,38,0,0,1,0.0,0.0,0.0,0,0,30,33,90.9,4,25,1,0,True,AstonVilla_NewcastleUtd_20250816
Matty Cash,2.0,pl POL,RB,28-009,90,0,0,0,0,0,0,0,0,41,2,1,5,0.0,0.0,0.0,0,0,15,25,60.0,0,13,0,0,True,AstonVilla_NewcastleUtd_20250816
Marco Bizot,40.0,nl NED,GK,34-159,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,24,45,53.3,0,26,0,0,True,AstonVilla_NewcastleUtd_20250816
Anthony Gordon,10.0,eng ENG,FW,24-173,90,0,0,0,0,7,2,0,0,35,0,0,0,0.5,0.5,0.0,2,0,13,22,59.1,1,22,4,1,False,AstonVilla_NewcastleUtd_20250816
Harvey Barnes,11.0,eng ENG,LW,27-250,89,0,0,0,0,3,0,0,0,44,0,0,0,0.2,0.2,0.5,4,0,25,34,73.5,5,39,7,0,False,AstonVilla_NewcastleUtd_20250816
William Osula,18.0,dk DEN,LW,22-012,1,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,3,1,0,False,AstonVilla_NewcastleUtd_20250816
Anthony Elanga,20.0,se SWE,RW,23-111,77,0,0,0,0,2,1,0,0,36,0,0,0,0.6,0.6,0.2,2,0,20,27,74.1,1,27,6,1,False,AstonVilla_NewcastleUtd_20250816
Jacob Murphy,23.0,eng ENG,RW,30-173,13,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,12,1,0,False,AstonVilla_NewcastleUtd_20250816
Joelinton,7.0,br BRA,LM,29-002,82,0,0,0,0,0,0,1,0,37,2,1,1,0.0,0.0,0.0,3,0,21,25,84.0,3,21,2,0,False,AstonVilla_NewcastleUtd_20250816
Lewis Miley,67.0,eng ENG,LM,19-107,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,11,63.6,1,10,0,0,False,AstonVilla_NewcastleUtd_20250816
Sandro Tonali,8.0,it ITA,CM,25-100,90,0,0,0,0,0,0,0,0,71,2,1,1,0.0,0.0,0.5,3,0,48,61,78.7,8,46,3,0,False,AstonVilla_NewcastleUtd_20250816
Bruno Guimarães,39.0,br BRA,RM,27-273,90,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,4,0,41,48,85.4,9,38,1,0,False,AstonVilla_NewcastleUtd_20250816
Valentino Livramento,21.0,eng ENG,LB,22-277,90,0,0,0,0,0,0,0,0,68,2,0,0,0.0,0.0,0.0,3,0,55,61,90.2,4,46,2,0,False,AstonVilla_NewcastleUtd_20250816
Dan Burn,33.0,eng ENG,CB,33-099,90,0,0,0,0,0,0,0,0,66,1,2,0,0.0,0.0,0.0,0,0,42,52,80.8,5,37,0,0,False,AstonVilla_NewcastleUtd_20250816
Fabian Schär,5.0,ch SUI,CB,33-239,90,0,0,0,0,3,0,0,0,67,1,4,0,0.0,0.0,0.0,1,0,44,52,84.6,4,44,1,0,False,AstonVilla_NewcastleUtd_20250816
Kieran Trippier,2.0,eng ENG,RB,34-331,90,0,0,0,0,0,0,0,0,71,0,3,1,0.0,0.0,0.0,4,0,54,65,83.1,10,41,2,0,False,AstonVilla_NewcastleUtd_20250816
Nick Pope,1.0,eng ENG,GK,33-119,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,23,29,79.3,0,20,0,0,False,AstonVilla_NewcastleUtd_20250816
Eliezer Mayenda,12.0,es ESP,FW,20-100,75,1,0,0,0,2,1,0,0,10,0,0,0,0.1,0.1,0.3,1,0,1,2,50.0,0,7,0,0,True,Sunderland_WestHam_20250816
Wilson Isidor,18.0,fr FRA,FW,24-354,15,1,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,1,0,True,Sunderland_WestHam_20250816
Simon Adingra,24.0,ci CIV,LW,23-227,75,0,0,0,0,1,0,0,0,31,1,0,1,0.1,0.1,0.0,3,1,14,21,66.7,1,19,1,0,True,Sunderland_WestHam_20250816
Enzo Le Fée,28.0,fr FRA,LW,25-194,15,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,0,True,Sunderland_WestHam_20250816
Chemsdine Talbi,7.0,ma MAR,RW,20-099,89,0,1,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,2,1,24,25,96.0,1,23,0,0,True,Sunderland_WestHam_20250816
Chris Rigg,11.0,eng ENG,RW,18-059,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,True,Sunderland_WestHam_20250816
Noah Sadiki,27.0,cd COD,LM,20-242,90,0,0,0,0,0,0,0,0,40,2,3,2,0.0,0.0,0.0,0,0,23,29,79.3,2,21,1,0,True,Sunderland_WestHam_20250816
Granit Xhaka,34.0,ch SUI,CM,32-323,90,0,0,0,0,0,0,0,0,60,1,1,1,0.0,0.0,0.1,4,1,40,53,75.5,1,33,0,0,True,Sunderland_WestHam_20250816
Habib Diarra,19.0,sn SEN,RM,21-225,90,0,0,0,0,2,1,0,0,32,1,0,0,0.3,0.3,0.0,3,0,15,23,65.2,3,20,2,0,True,Sunderland_WestHam_20250816
Reinildo Mandava,17.0,mz MOZ,LB,31-207,90,0,0,0,0,0,0,0,0,59,2,2,1,0.0,0.0,0.0,1,1,38,51,74.5,4,31,2,0,True,Sunderland_WestHam_20250816
Jenson Seelt,23.0,nl NED,CB,22-085,52,0,0,0,0,0,0,0,0,35,2,0,3,0.0,0.0,0.0,0,0,23,28,82.1,6,20,0,0,True,Sunderland_WestHam_20250816
Omar Alderete,15.0,py PAR,CB,28-233,38,0,1,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,1,1,15,16,93.8,0,13,1,0,True,Sunderland_WestHam_20250816
Daniel Ballard,5.0,nir NIR,CB,25-328,90,1,0,0,0,4,2,0,0,44,1,0,4,0.2,0.2,0.0,2,0,21,25,84.0,1,17,0,0,True,Sunderland_WestHam_20250816
Trai Hume,32.0,nir NIR,RB,23-151,90,0,0,0,0,0,0,0,0,58,2,1,0,0.0,0.0,0.1,2,0,32,51,62.7,3,19,1,1,True,Sunderland_WestHam_20250816
Robin Roefs,22.0,nl NED,GK,22-211,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,0,18,0,0,True,Sunderland_WestHam_20250816
Niclas Füllkrug,11.0,de GER,"FW,AM",32-188,90,0,0,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.1,1,0,15,23,65.2,2,10,0,0,False,Sunderland_WestHam_20250816
Jarrod Bowen,20.0,eng ENG,"FW,AM",28-239,90,0,0,0,0,4,1,0,0,45,2,0,0,0.2,0.2,0.0,6,0,22,30,73.3,5,18,2,2,False,Sunderland_WestHam_20250816
Lucas Paquetá,10.0,br BRA,"AM,DM,CM",27-354,90,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,2,0,53,65,81.5,11,30,0,0,False,Sunderland_WestHam_20250816
Guido Rodríguez,24.0,ar ARG,CM,31-126,70,0,0,0,0,1,0,0,0,42,0,0,3,0.0,0.0,0.0,1,0,28,34,82.4,4,14,0,0,False,Sunderland_WestHam_20250816
Callum Wilson,9.0,eng ENG,FW,33-170,20,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,4,0,0,False,Sunderland_WestHam_20250816
James Ward-Prowse,8.0,eng ENG,CM,30-288,70,0,0,0,0,0,0,0,0,56,1,0,2,0.0,0.0,0.0,2,0,44,50,88.0,2,26,0,0,False,Sunderland_WestHam_20250816
Tomáš Souček,28.0,cz CZE,"DM,CM",30-170,20,0,0,0,0,1,1,0,0,15,0,1,0,0.1,0.1,0.0,0,0,10,11,90.9,0,5,1,0,False,Sunderland_WestHam_20250816
El Hadji Malick Diouf,12.0,sn SEN,"WB,LB",20-231,90,0,0,0,0,3,0,0,0,52,0,0,1,0.2,0.2,0.1,2,0,30,40,75.0,2,17,0,1,False,Sunderland_WestHam_20250816
Aaron Wan-Bissaka,29.0,cd COD,"WB,RB",27-263,90,0,0,0,0,0,0,0,0,93,1,1,2,0.0,0.0,0.0,2,0,70,85,82.4,5,53,4,3,False,Sunderland_WestHam_20250816
Nayef Aguerd,5.0,ma MAR,CB,29-139,90,0,0,0,0,0,0,0,0,77,0,0,1,0.0,0.0,0.0,1,0,63,72,87.5,5,33,1,1,False,Sunderland_WestHam_20250816
Max Kilman,3.0,eng ENG,CB,28-085,90,0,0,0,0,0,0,1,0,84,3,0,0,0.0,0.0,0.0,3,0,67,71,94.4,5,44,0,0,False,Sunderland_WestHam_20250816
Jean-Clair Todibo,25.0,fr FRA,CB,25-229,81,0,0,0,0,0,0,0,0,78,3,2,0,0.0,0.0,0.0,1,0,62,69,89.9,7,44,2,0,False,Sunderland_WestHam_20250816
Andy Irving,39.0,sct SCO,AM,25-095,9,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,7,12,58.3,2,3,0,0,False,Sunderland_WestHam_20250816
Mads Hermansen,1.0,dk DEN,GK,25-036,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,25,37,67.6,0,27,0,0,False,Sunderland_WestHam_20250816
Richarlison,9.0,br BRA,FW,28-098,70,2,0,0,0,5,3,0,0,21,0,0,1,0.7,0.7,0.0,4,1,6,7,85.7,0,12,0,2,True,Tottenham_Burnley_20250816
Dominic Solanke,19.0,eng ENG,FW,27-336,20,0,0,0,0,1,0,0,0,6,1,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,3,0,0,True,Tottenham_Burnley_20250816
Brennan Johnson,22.0,wls WAL,LW,24-085,79,1,0,0,0,2,1,0,0,27,1,0,0,0.5,0.5,0.1,2,0,14,21,66.7,0,17,4,0,True,Tottenham_Burnley_20250816
Wilson Odobert,28.0,fr FRA,"RW,LW",20-261,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,3,3,100.0,1,2,0,0,True,Tottenham_Burnley_20250816
Mohammed Kudus,20.0,gh GHA,RW,25-014,84,0,2,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0.9,8,3,27,34,79.4,0,24,1,2,True,Tottenham_Burnley_20250816
Mathys Tel,11.0,fr FRA,LW,20-111,6,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,True,Tottenham_Burnley_20250816
Lucas Bergvall,15.0,se SWE,LM,19-195,79,0,0,0,0,1,1,0,0,30,2,0,0,0.1,0.1,0.0,3,0,19,26,73.1,2,18,2,2,True,Tottenham_Burnley_20250816
João Palhinha,6.0,pt POR,"DM,LM",30-038,11,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,12,0,0,True,Tottenham_Burnley_20250816
Archie Gray,14.0,eng ENG,CM,19-157,70,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,1,0,38,41,92.7,6,32,2,0,True,Tottenham_Burnley_20250816
Rodrigo Bentancur,30.0,uy URU,"DM,CM",28-052,20,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,1,0,14,14,100.0,2,9,0,0,True,Tottenham_Burnley_20250816
Pape Matar Sarr,29.0,sn SEN,"RM,AM",22-336,90,0,1,0,0,0,0,0,0,61,2,0,0,0.0,0.0,0.4,3,2,43,52,82.7,4,34,1,3,True,Tottenham_Burnley_20250816
Djed Spence,24.0,eng ENG,LB,25-007,90,0,0,0,0,2,1,0,0,61,0,0,0,0.2,0.2,0.0,2,0,51,56,91.1,7,44,4,1,True,Tottenham_Burnley_20250816
Micky van de Ven,37.0,nl NED,CB,24-119,90,0,0,0,0,2,0,0,0,82,1,1,0,0.6,0.6,0.0,0,0,63,68,92.6,0,55,1,0,True,Tottenham_Burnley_20250816
Cristian Romero,17.0,ar ARG,CB,27-111,90,0,0,0,0,0,0,0,0,94,0,0,2,0.0,0.0,0.0,0,0,78,88,88.6,3,67,0,0,True,Tottenham_Burnley_20250816
Pedro Porro,23.0,es ESP,RB,25-337,90,0,0,0,0,1,0,0,0,91,2,0,0,0.0,0.0,0.2,3,0,59,81,72.8,6,54,2,1,True,Tottenham_Burnley_20250816
Guglielmo Vicario,1.0,it ITA,GK,28-313,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,1,0,47,50,94.0,0,36,0,0,True,Tottenham_Burnley_20250816
Lyle Foster,9.0,za RSA,FW,24-347,73,0,0,0,0,2,0,0,0,21,0,0,0,0.2,0.2,0.4,3,0,12,13,92.3,2,10,1,2,False,Tottenham_Burnley_20250816
Zian Flemming,19.0,nl NED,FW,27-015,17,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,2,1,0,False,Tottenham_Burnley_20250816
Jaidon Anthony,11.0,eng ENG,"LM,RM",25-258,84,0,0,0,0,4,1,0,0,36,0,0,3,0.4,0.4,0.1,3,0,16,22,72.7,2,19,0,0,False,Tottenham_Burnley_20250816
Marcus Edwards,10.0,eng ENG,FW,26-256,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,False,Tottenham_Burnley_20250816
Josh Cullen,24.0,ie IRL,CM,29-131,90,0,0,0,0,0,0,0,0,47,3,3,0,0.0,0.0,0.2,8,0,31,38,81.6,3,22,0,0,False,Tottenham_Burnley_20250816
Josh Laurent,29.0,eng ENG,CM,30-102,62,0,0,0,0,3,2,0,0,22,1,0,0,0.1,0.1,0.2,3,0,8,14,57.1,2,11,1,0,False,Tottenham_Burnley_20250816
Lesley Ugochukwu,8.0,fr FRA,CM,21-143,28,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,4,0,0,False,Tottenham_Burnley_20250816
Hannibal Mejbri,28.0,tn TUN,RM,22-207,62,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,1,7,0,2,False,Tottenham_Burnley_20250816
Jacob Bruun Larsen,7.0,dk DEN,"LM,FW",26-331,28,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,2,7,0,1,False,Tottenham_Burnley_20250816
Quilindschy Hartman,3.0,nl NED,LB,23-275,90,0,0,0,0,0,0,0,0,43,1,2,2,0.0,0.0,0.0,2,0,19,32,59.4,2,9,0,0,False,Tottenham_Burnley_20250816
Maxime Estève,5.0,fr FRA,CB,23-082,90,0,0,0,0,1,1,0,0,35,0,1,2,0.0,0.0,0.0,0,0,18,23,78.3,0,12,0,0,False,Tottenham_Burnley_20250816
Hjalmar Ekdal,18.0,se SWE,CB,26-299,90,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,17,21,81.0,0,11,0,0,False,Tottenham_Burnley_20250816
Kyle Walker,2.0,eng ENG,"CB,RB",35-080,90,0,0,0,0,1,0,0,0,44,0,1,0,0.0,0.0,0.0,1,0,30,39,76.9,0,20,0,0,False,Tottenham_Burnley_20250816
Oliver Sonne,22.0,pe PER,"RB,RM",24-279,73,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,2,0,11,16,68.8,2,5,0,1,False,Tottenham_Burnley_20250816
Loum Tchaouna,17.0,fr FRA,"FW,RM",21-342,17,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,4,1,1,False,Tottenham_Burnley_20250816
Martin Dúbravka,1.0,sk SVK,GK,36-213,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,14,32,43.8,0,14,0,0,False,Tottenham_Burnley_20250816
Georginio Rutter,10.0,fr FRA,FW,23-118,68,0,0,0,0,2,1,0,0,18,1,0,2,0.1,0.1,0.0,3,1,2,4,50.0,1,13,1,0,True,Brighton_Fulham_20250816
Danny Welbeck,18.0,eng ENG,FW,34-263,22,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,3,0,0,True,Brighton_Fulham_20250816
Kaoru Mitoma,22.0,jp JPN,LW,28-088,82,0,0,0,0,1,0,1,0,26,0,0,0,0.1,0.1,0.0,0,0,17,19,89.5,1,18,4,1,True,Brighton_Fulham_20250816
Brajan Gruda,8.0,de GER,RW,21-077,8,0,0,0,0,1,0,0,0,5,1,0,0,0.3,0.3,0.0,1,0,2,2,100.0,0,3,1,0,True,Brighton_Fulham_20250816
Yankuba Minteh,11.0,gm GAM,RW,21-025,68,0,0,0,0,1,0,0,0,27,0,1,1,0.1,0.1,0.0,0,0,11,17,64.7,0,21,4,2,True,Brighton_Fulham_20250816
Ferdi Kadioglu,24.0,tr TUR,"LW,RW",25-313,22,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,6,0,0,True,Brighton_Fulham_20250816
Matt O'Riley,33.0,dk DEN,AM,24-268,87,1,0,1,1,0,0,0,0,35,3,0,3,0.8,0.0,0.2,3,0,20,26,76.9,3,11,0,0,True,Brighton_Fulham_20250816
James Milner,20.0,eng ENG,DM,39-224,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,True,Brighton_Fulham_20250816
Yasin Ayari,26.0,se SWE,DM,21-314,90,0,0,0,0,0,0,0,0,50,1,2,1,0.0,0.0,0.0,3,0,39,45,86.7,8,28,0,0,True,Brighton_Fulham_20250816
Carlos Baleba,17.0,cm CMR,DM,21-225,68,0,0,0,0,1,0,0,0,31,1,3,0,0.0,0.0,0.0,1,0,18,20,90.0,2,12,0,0,True,Brighton_Fulham_20250816
Diego Gómez,25.0,py PAR,"DM,AM",22-142,22,0,0,0,0,1,1,1,0,14,2,1,0,0.0,0.0,0.3,1,0,6,9,66.7,1,6,0,0,True,Brighton_Fulham_20250816
Maxim De Cuyper,29.0,be BEL,LB,24-237,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.1,3,1,32,36,88.9,7,26,1,0,True,Brighton_Fulham_20250816
Lewis Dunk,5.0,eng ENG,CB,33-268,90,0,0,0,0,1,0,0,0,101,1,0,0,0.1,0.1,0.0,0,0,86,90,95.6,1,60,0,1,True,Brighton_Fulham_20250816
Jan Paul van Hecke,6.0,nl NED,CB,25-069,90,0,0,0,0,0,0,0,0,91,1,0,2,0.0,0.0,0.0,1,0,77,81,95.1,7,61,0,0,True,Brighton_Fulham_20250816
Mats Wieffer,27.0,nl NED,RB,25-273,90,0,0,0,0,1,1,0,0,62,5,1,1,0.0,0.0,0.0,1,0,36,47,76.6,6,18,0,0,True,Brighton_Fulham_20250816
Bart Verbruggen,1.0,nl NED,GK,22-363,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,32,0,0,True,Brighton_Fulham_20250816
Raúl Jiménez,7.0,mx MEX,FW,34-103,65,0,0,0,0,2,0,0,0,19,0,0,1,0.3,0.3,0.0,0,0,7,13,53.8,0,13,0,0,False,Brighton_Fulham_20250816
