Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
David Møller Wolfe,6.0,no NOR,LM,23-122,45,5,12,41.7,69,21,4,5,80.0,1,5,20.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,False,-1516066792949505869
Hugo Bueno,3.0,es ESP,LM,22-339,45,13,17,76.5,264,76,4,4,100.0,7,9,77.8,2,3,66.7,0,0.1,0.1,1,1,2,2,2,False,-1516066792949505869
João Gomes,8.0,br BRA,CM,24-192,90,30,35,85.7,501,133,15,15,100.0,12,15,80.0,2,3,66.7,0,0.0,0.0,0,2,0,0,4,False,-1516066792949505869
Jean-Ricner Bellegarde,27.0,ht HAI,CM,27-057,45,10,13,76.9,220,32,3,3,100.0,6,8,75.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,False,-1516066792949505869
André,7.0,br BRA,CM,24-038,45,13,18,72.2,275,85,5,6,83.3,6,8,75.0,2,3,66.7,0,0.0,0.0,0,3,0,0,3,False,-1516066792949505869
Ki-Jana Hoever,26.0,nl NED,RM,23-217,34,7,9,77.8,175,80,3,4,75.0,1,1,100.0,3,4,75.0,0,0.1,0.1,1,0,0,0,0,False,-1516066792949505869
Jackson Tchatchoua,38.0,cm CMR,RM,23-343,56,20,31,64.5,375,104,8,12,66.7,10,15,66.7,2,4,50.0,0,0.0,0.0,1,1,1,1,1,False,-1516066792949505869
Toti Gomes,24.0,pt POR,CB,26-219,48,14,21,66.7,270,100,4,4,100.0,10,12,83.3,0,5,0.0,0,0.0,0.0,0,2,0,0,0,False,-1516066792949505869
Emmanuel Agbadou,12.0,ci CIV,CB,28-067,90,41,51,80.4,1093,526,9,10,90.0,23,27,85.2,9,13,69.2,0,0.0,0.0,0,6,1,0,3,False,-1516066792949505869
Matt Doherty,2.0,ie IRL,CB,33-219,90,30,36,83.3,619,215,10,11,90.9,15,18,83.3,5,7,71.4,0,0.0,0.0,0,2,0,0,2,False,-1516066792949505869
José Sá,1.0,pt POR,GK,32-218,90,20,35,57.1,730,636,2,2,100.0,9,9,100.0,8,23,34.8,0,0.1,0.0,1,3,1,0,0,False,-1516066792949505869
Lyle Foster,9.0,za RSA,FW,24-354,85,12,20,60.0,187,33,5,8,62.5,5,8,62.5,1,1,100.0,0,0.0,0.0,0,0,0,0,1,True,639471818987061321
Zian Flemming,19.0,nl NED,FW,27-022,5,1,1,100.0,14,14,1,1,100.0,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0,True,639471818987061321
Jaidon Anthony,11.0,eng ENG,LW,25-265,90,30,39,76.9,345,50,21,26,80.8,7,8,87.5,0,2,0.0,1,0.1,0.0,1,1,1,0,4,True,639471818987061321
Jacob Bruun Larsen,7.0,dk DEN,RW,26-338,68,12,17,70.6,115,17,10,12,83.3,1,3,33.3,0,1,0.0,0,0.0,0.0,0,1,0,0,1,True,639471818987061321
Oliver Sonne,22.0,pe PER,RW,24-286,22,8,11,72.7,108,51,5,6,83.3,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,2,True,639471818987061321
Hannibal Mejbri,28.0,tn TUN,AM,22-214,82,18,24,75.0,256,78,9,12,75.0,6,8,75.0,1,2,50.0,0,0.2,0.1,1,1,2,1,2,True,639471818987061321
Loum Tchaouna,17.0,fr FRA,AM,21-349,8,7,11,63.6,95,48,4,6,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,1,1,1,1,True,639471818987061321
Josh Cullen,24.0,ie IRL,DM,29-138,90,50,62,80.6,763,161,28,30,93.3,16,21,76.2,4,9,44.4,1,0.6,0.2,1,6,0,0,4,True,639471818987061321
Lesley Ugochukwu,8.0,fr FRA,DM,21-150,68,34,36,94.4,521,92,14,14,100.0,18,19,94.7,1,1,100.0,0,0.0,0.0,1,2,0,0,3,True,639471818987061321
Josh Laurent,29.0,eng ENG,DM,30-109,22,5,7,71.4,71,12,3,3,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,2,True,639471818987061321
Quilindschy Hartman,3.0,nl NED,LB,23-282,90,37,50,74.0,601,282,19,21,90.5,16,22,72.7,2,6,33.3,0,0.0,0.0,0,4,1,0,5,True,639471818987061321
Maxime Estève,5.0,fr FRA,CB,23-089,82,56,61,91.8,1016,351,22,23,95.7,31,31,100.0,2,6,33.3,0,0.0,0.0,0,7,0,0,8,True,639471818987061321
Joe Worrall,4.0,eng ENG,CB,28-225,8,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,639471818987061321
Hjalmar Ekdal,18.0,se SWE,CB,26-306,90,39,42,92.9,682,140,15,15,100.0,22,22,100.0,2,4,50.0,0,0.0,0.0,1,1,0,0,3,True,639471818987061321
Kyle Walker,2.0,eng ENG,RB,35-087,90,41,51,80.4,769,297,20,20,100.0,15,17,88.2,6,13,46.2,0,0.0,0.0,0,3,0,0,3,True,639471818987061321
Martin Dúbravka,1.0,sk SVK,GK,36-220,90,24,43,55.8,559,350,7,7,100.0,12,12,100.0,5,24,20.8,0,0.0,0.0,0,0,0,0,0,True,639471818987061321
Eliezer Mayenda,12.0,es ESP,FW,20-107,62,1,1,100.0,8,7,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,639471818987061321
Wilson Isidor,18.0,fr FRA,FW,24-361,28,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,639471818987061321
Simon Adingra,24.0,ci CIV,LW,23-234,62,15,22,68.2,274,23,9,10,90.0,4,5,80.0,2,4,50.0,0,0.2,0.1,1,0,1,0,1,False,639471818987061321
Enzo Le Fée,28.0,fr FRA,"LM,LW",25-201,28,32,36,88.9,435,81,24,25,96.0,6,7,85.7,2,3,66.7,0,0.0,0.1,1,1,1,1,0,False,639471818987061321
Chemsdine Talbi,7.0,ma MAR,RW,20-106,62,16,20,80.0,272,7,9,10,90.0,5,6,83.3,1,2,50.0,0,0.1,0.0,1,0,0,0,1,False,639471818987061321
Patrick Roberts,10.0,eng ENG,"RM,RW",28-199,28,17,21,81.0,192,50,11,12,91.7,3,4,75.0,1,1,100.0,0,0.0,0.0,0,3,0,0,1,False,639471818987061321
Noah Sadiki,27.0,cd COD,"LM,CM",20-249,90,51,63,81.0,732,116,29,31,93.5,17,20,85.0,2,5,40.0,0,0.0,0.1,0,1,1,0,3,False,639471818987061321
Granit Xhaka,34.0,ch SUI,CM,32-330,90,93,107,86.9,1588,311,40,41,97.6,41,48,85.4,9,14,64.3,0,0.0,0.1,1,7,1,0,10,False,639471818987061321
Habib Diarra,19.0,sn SEN,RM,21-232,79,35,42,83.3,548,77,18,20,90.0,15,17,88.2,2,2,100.0,0,0.0,0.0,1,4,0,0,3,False,639471818987061321
Marc Guiu,9.0,es ESP,FW,19-231,11,3,4,75.0,30,7,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,1,0,1,False,639471818987061321
Reinildo Mandava,17.0,mz MOZ,LB,31-214,90,68,75,90.7,1077,280,33,34,97.1,30,32,93.8,4,6,66.7,0,0.0,0.0,0,8,1,1,6,False,639471818987061321
Omar Alderete,15.0,py PAR,CB,28-240,90,76,88,86.4,1476,486,26,27,96.3,41,43,95.3,9,18,50.0,0,0.0,0.0,0,7,1,1,9,False,639471818987061321
Daniel Ballard,5.0,nir NIR,CB,25-335,8,3,4,75.0,69,14,0,0,,3,3,100.0,0,1,0.0,0,0.3,0.2,1,0,0,0,0,False,639471818987061321
Jenson Seelt,23.0,nl NED,CB,22-092,82,73,82,89.0,1315,511,31,32,96.9,33,34,97.1,7,11,63.6,0,0.0,0.0,0,5,0,0,8,False,639471818987061321
Trai Hume,32.0,nir NIR,RB,23-158,90,54,72,75.0,762,241,31,33,93.9,22,32,68.8,1,3,33.3,0,0.0,0.0,1,4,0,0,6,False,639471818987061321
Robin Roefs,22.0,nl NED,GK,22-218,90,20,28,71.4,523,379,3,3,100.0,10,11,90.9,7,14,50.0,0,0.0,0.0,0,2,0,0,0,False,639471818987061321
Thiago,9.0,br BRA,FW,24-058,90,10,11,90.9,138,40,6,6,100.0,2,2,100.0,1,1,100.0,0,0.6,0.0,1,0,0,0,1,True,-9150908616643701867
Kevin Schade,7.0,de GER,LW,23-269,78,4,13,30.8,112,35,2,5,40.0,1,4,25.0,1,3,33.3,0,0.1,0.0,1,0,0,0,0,True,-9150908616643701867
Aaron Hickey,2.0,sct SCO,"RB,LW",23-074,12,2,4,50.0,15,0,2,3,66.7,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,-9150908616643701867
Dango Ouattara,19.0,bf BFA,RW,23-193,83,5,13,38.5,91,38,2,3,66.7,2,4,50.0,1,5,20.0,0,0.0,0.0,0,0,0,0,0,True,-9150908616643701867
Rico Henry,3.0,eng ENG,LB,28-046,7,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,-9150908616643701867
Mikkel Damsgaard,24.0,dk DEN,"AM,RM",25-051,90,21,30,70.0,373,198,9,10,90.0,8,9,88.9,3,7,42.9,0,0.3,0.2,3,4,2,1,4,True,-9150908616643701867
Jordan Henderson,6.0,eng ENG,DM,35-067,68,12,17,70.6,221,79,5,6,83.3,3,5,60.0,2,4,50.0,0,0.0,0.0,0,1,0,0,1,True,-9150908616643701867
Frank Onyeka,15.0,ng NGA,"DM,CM",27-234,22,3,4,75.0,39,28,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1,True,-9150908616643701867
Yehor Yarmoliuk,18.0,ua UKR,DM,21-175,78,11,11,100.0,156,31,8,8,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,1,1,0,True,-9150908616643701867
Mathias Jensen,8.0,dk DEN,"CM,DM",29-234,12,4,4,100.0,41,13,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0,0,1,0,1,True,-9150908616643701867
Keane Lewis-Potter,23.0,eng ENG,"LB,LM",24-182,90,11,18,61.1,172,111,6,6,100.0,2,5,40.0,2,6,33.3,0,0.0,0.0,0,1,0,0,2,True,-9150908616643701867
Sepp van den Berg,4.0,nl NED,CB,23-246,90,10,15,66.7,127,52,6,7,85.7,3,5,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,True,-9150908616643701867
Nathan Collins,22.0,ie IRL,CB,24-115,90,14,18,77.8,323,153,4,5,80.0,8,8,100.0,2,4,50.0,0,0.0,0.0,0,1,1,0,1,True,-9150908616643701867
Michael Kayode,33.0,it ITA,RB,21-044,84,12,17,70.6,222,92,7,7,100.0,3,5,60.0,2,5,40.0,0,0.0,0.0,0,3,0,0,2,True,-9150908616643701867
Kristoffer Ajer,20.0,no NOR,CB,27-128,6,2,2,100.0,28,17,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,True,-9150908616643701867
Caoimhín Kelleher,1.0,ie IRL,GK,26-273,90,17,28,60.7,860,781,0,0,,1,1,100.0,16,27,59.3,0,0.0,0.0,0,2,0,0,1,True,-9150908616643701867
Ollie Watkins,11.0,eng ENG,FW,29-236,90,16,18,88.9,176,28,13,14,92.9,2,2,100.0,0,0,,0,0.2,0.1,1,1,0,0,3,False,-9150908616643701867
Morgan Rogers,27.0,eng ENG,LW,23-028,90,20,29,69.0,225,72,15,16,93.8,4,8,50.0,0,1,0.0,0,0.2,0.1,1,3,0,0,2,False,-9150908616643701867
John McGinn,7.0,sct SCO,"RW,DM",30-309,73,27,36,75.0,511,135,12,14,85.7,9,15,60.0,5,5,100.0,0,0.1,0.1,2,3,2,2,3,False,-9150908616643701867
Lamare Bogarde,26.0,nl NED,DM,21-230,17,17,20,85.0,225,86,11,12,91.7,6,7,85.7,0,1,0.0,0,0.0,0.0,0,2,1,0,1,False,-9150908616643701867
Youri Tielemans,8.0,be BEL,"DM,AM",28-108,90,78,97,80.4,1300,316,37,43,86.0,28,34,82.4,10,15,66.7,0,0.2,0.3,3,7,1,0,8,False,-9150908616643701867
Amadou Onana,24.0,be BEL,DM,24-007,63,25,29,86.2,407,123,11,11,100.0,11,15,73.3,2,2,100.0,0,0.0,0.0,0,1,0,0,3,False,-9150908616643701867
Donyell Malen,17.0,nl NED,RW,26-226,27,11,12,91.7,146,9,8,9,88.9,2,2,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,False,-9150908616643701867
Boubacar Kamara,44.0,fr FRA,DM,25-273,15,6,6,100.0,119,26,2,2,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,1,False,-9150908616643701867
Emi Buendía,10.0,ar ARG,AM,28-241,59,10,11,90.9,165,36,5,6,83.3,4,4,100.0,1,1,100.0,0,0.0,0.2,1,2,1,0,3,False,-9150908616643701867
Evann Guessand,29.0,ci CIV,AM,24-053,16,6,8,75.0,71,21,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,1,0,2,False,-9150908616643701867
Lucas Digne,12.0,fr FRA,LB,32-034,63,33,44,75.0,532,140,17,19,89.5,14,16,87.5,1,2,50.0,0,0.0,0.2,0,2,2,1,2,False,-9150908616643701867
Ian Maatsen,22.0,nl NED,LB,23-166,27,17,21,81.0,192,70,12,13,92.3,4,6,66.7,0,0,,0,0.1,0.1,1,3,1,1,1,False,-9150908616643701867
Pau Torres,14.0,es ESP,CB,28-219,90,94,105,89.5,1578,429,52,56,92.9,30,32,93.8,12,17,70.6,0,0.0,0.1,0,9,0,0,8,False,-9150908616643701867
Tyrone Mings,5.0,eng ENG,CB,32-163,90,77,85,90.6,1386,528,32,33,97.0,36,39,92.3,7,11,63.6,0,0.1,0.0,1,5,0,0,3,False,-9150908616643701867
Matty Cash,2.0,pl POL,RB,28-016,90,67,83,80.7,1115,390,34,35,97.1,27,33,81.8,4,11,36.4,0,0.2,0.2,2,8,0,0,7,False,-9150908616643701867
Emiliano Martínez,23.0,ar ARG,GK,32-355,90,36,38,94.7,807,535,14,14,100.0,14,14,100.0,8,10,80.0,0,0.0,0.0,0,2,1,0,0,False,-9150908616643701867
Viktor Gyökeres,14.0,se SWE,FW,27-080,90,4,9,44.4,36,1,3,6,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,8956166701142655061
Noni Madueke,20.0,eng ENG,"LW,RW",23-166,63,21,29,72.4,287,48,12,15,80.0,7,11,63.6,1,1,100.0,0,0.1,0.1,2,0,3,1,3,True,8956166701142655061
Max Dowman,56.0,eng ENG,RW,15-235,27,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,8956166701142655061
Bukayo Saka,7.0,eng ENG,RW,23-352,52,17,19,89.5,303,12,9,9,100.0,6,7,85.7,2,3,66.7,0,0.1,0.0,2,0,0,0,0,True,8956166701142655061
Leandro Trossard,19.0,be BEL,LW,30-262,38,8,12,66.7,221,97,2,3,66.7,4,4,100.0,2,3,66.7,0,0.0,0.0,1,1,2,2,0,True,8956166701142655061
Declan Rice,41.0,eng ENG,LM,26-221,90,66,69,95.7,1163,251,29,30,96.7,28,28,100.0,7,9,77.8,1,0.5,0.5,3,3,0,0,3,True,8956166701142655061
Martín Zubimendi,36.0,es ESP,CM,26-202,90,72,81,88.9,1154,209,33,36,91.7,36,39,92.3,3,5,60.0,0,0.0,0.0,0,4,0,0,9,True,8956166701142655061
Martin Ødegaard,8.0,no NOR,RM,26-249,37,21,24,87.5,372,107,8,9,88.9,11,12,91.7,2,3,66.7,0,0.0,0.0,0,5,1,0,6,True,8956166701142655061
Ethan Nwaneri,22.0,eng ENG,RM,18-155,53,26,27,96.3,525,84,8,8,100.0,16,16,100.0,2,3,66.7,0,0.0,0.0,0,1,0,0,3,True,8956166701142655061
Riccardo Calafiori,33.0,it ITA,LB,23-096,63,29,37,78.4,490,94,14,14,100.0,12,17,70.6,3,4,75.0,2,0.5,0.0,2,4,0,0,2,True,8956166701142655061
Myles Lewis-Skelly,49.0,eng ENG,LB,18-331,27,23,23,100.0,375,43,10,10,100.0,13,13,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,8956166701142655061
Gabriel Magalhães,6.0,br BRA,CB,27-247,90,94,103,91.3,1822,476,35,38,92.1,47,51,92.2,11,13,84.6,0,0.0,0.0,0,6,0,0,5,True,8956166701142655061
William Saliba,2.0,fr FRA,CB,24-152,90,118,123,95.9,2156,678,48,49,98.0,59,62,95.2,10,11,90.9,0,0.0,0.0,0,6,0,0,6,True,8956166701142655061
Jurriën Timber,12.0,nl NED,RB,24-067,63,39,43,90.7,664,170,15,16,93.8,22,25,88.0,2,2,100.0,1,0.1,0.1,2,4,3,0,5,True,8956166701142655061
Cristhian Mosquera,3.0,es ESP,RB,21-057,27,13,14,92.9,211,43,5,5,100.0,8,8,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,True,8956166701142655061
David Raya,1.0,es ESP,GK,29-342,90,29,32,90.6,765,500,5,5,100.0,16,16,100.0,8,11,72.7,0,0.0,0.0,0,2,0,0,0,True,8956166701142655061
Joël Piroe,10.0,nl NED,FW,26-021,57,9,11,81.8,99,5,6,7,85.7,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,False,8956166701142655061
Lukas Nmecha,14.0,de GER,FW,26-252,33,5,8,62.5,42,2,3,3,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Wilfried Gnonto,29.0,it ITA,LW,21-291,65,7,9,77.8,62,7,7,7,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Noah Okafor,19.0,ch SUI,LW,25-091,25,6,6,100.0,78,49,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Daniel James,7.0,wls WAL,RW,27-286,65,6,12,50.0,75,28,3,7,42.9,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,2,False,8956166701142655061
Brenden Aaronson,11.0,us USA,RW,24-305,25,5,9,55.6,49,14,3,3,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,1,0,1,False,8956166701142655061
Anton Stach,18.0,de GER,LM,26-281,90,22,28,78.6,317,108,12,14,85.7,7,8,87.5,2,4,50.0,0,0.2,0.1,3,2,0,0,2,False,8956166701142655061
Ilia Gruev,44.0,bg BUL,CM,25-109,90,34,37,91.9,461,70,21,23,91.3,11,12,91.7,1,1,100.0,0,0.0,0.0,0,0,0,0,1,False,8956166701142655061
Ao Tanaka,22.0,jp JPN,RM,26-347,57,19,24,79.2,230,59,11,12,91.7,4,7,57.1,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,8956166701142655061
Sean Longstaff,8.0,eng ENG,RM,27-297,33,5,6,83.3,82,11,4,4,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Gabriel Gudmundsson,3.0,se SWE,LB,26-116,90,20,32,62.5,208,90,15,18,83.3,3,6,50.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Pascal Struijk,5.0,nl NED,CB,26-012,90,37,43,86.0,547,190,21,21,100.0,16,18,88.9,0,1,0.0,0,0.0,0.0,0,1,0,0,0,False,8956166701142655061
Joe Rodon,6.0,wls WAL,CB,27-305,90,27,33,81.8,460,104,10,13,76.9,17,18,94.4,0,2,0.0,0,0.0,0.0,0,0,0,0,3,False,8956166701142655061
Jayden Bogle,2.0,eng ENG,RB,25-027,82,13,18,72.2,221,65,7,7,100.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Sam Byram,25.0,eng ENG,RB,31-341,8,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,8956166701142655061
Lucas Perri,1.0,br BRA,GK,27-256,90,18,35,51.4,608,448,3,3,100.0,5,6,83.3,10,26,38.5,0,0.0,0.0,0,1,0,0,0,False,8956166701142655061
Jean-Philippe Mateta,14.0,fr FRA,FW,28-057,87,5,9,55.6,37,6,4,7,57.1,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,-7413357642109695911
Odsonne Édouard,22.0,fr FRA,FW,27-220,3,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,-7413357642109695911
Justin Devenny,55.0,nir NIR,LW,21-317,65,17,24,70.8,210,18,12,15,80.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0,2,0,0,1,True,-7413357642109695911
Romain Esse,21.0,eng ENG,LW,20-103,25,5,7,71.4,72,29,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,1,1,0,2,True,-7413357642109695911
Ismaila Sarr,7.0,sn SEN,RW,27-180,90,10,18,55.6,146,67,8,11,72.7,1,2,50.0,1,2,50.0,0,0.0,0.0,0,2,2,0,3,True,-7413357642109695911
Tyrick Mitchell,3.0,eng ENG,LM,25-357,90,33,47,70.2,503,167,17,18,94.4,12,17,70.6,2,8,25.0,0,0.1,0.1,2,1,1,1,0,True,-7413357642109695911
Will Hughes,19.0,eng ENG,CM,30-129,90,32,39,82.1,469,186,16,20,80.0,12,12,100.0,2,4,50.0,0,0.3,0.3,3,3,3,1,9,True,-7413357642109695911
Adam Wharton,20.0,eng ENG,CM,21-199,81,34,45,75.6,611,165,10,12,83.3,22,24,91.7,1,6,16.7,0,0.1,0.1,1,5,1,0,5,True,-7413357642109695911
Jefferson Lerma,8.0,co COL,CM,30-303,9,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,-7413357642109695911
Daniel Muñoz,2.0,co COL,RM,29-090,90,26,34,76.5,521,194,14,16,87.5,6,9,66.7,6,7,85.7,1,0.6,0.3,1,0,2,2,4,True,-7413357642109695911
Marc Guéhi,6.0,eng ENG,CB,25-042,90,49,61,80.3,848,355,17,17,100.0,29,33,87.9,2,9,22.2,0,0.0,0.0,0,3,0,0,6,True,-7413357642109695911
Maxence Lacroix,5.0,fr FRA,CB,25-140,90,34,43,79.1,517,134,16,17,94.1,17,21,81.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,True,-7413357642109695911
Chris Richards,26.0,us USA,CB,25-149,90,32,43,74.4,652,243,11,14,78.6,17,21,81.0,4,7,57.1,0,0.0,0.0,0,2,0,0,3,True,-7413357642109695911
Dean Henderson,1.0,eng ENG,GK,28-165,90,29,41,70.7,482,233,17,17,100.0,9,9,100.0,3,15,20.0,0,0.0,0.0,0,1,0,0,0,True,-7413357642109695911
Chris Wood,11.0,nz NZL,FW,33-260,87,7,12,58.3,96,6,4,6,66.7,2,3,66.7,0,1,0.0,0,0.1,0.1,1,1,0,0,0,False,-7413357642109695911
Igor Jesus,19.0,br BRA,FW,24-180,3,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,-7413357642109695911
Callum Hudson-Odoi,7.0,eng ENG,"LW,RW",24-290,71,21,25,84.0,202,48,16,16,100.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0,0,2,0,2,False,-7413357642109695911
James Mcatee,24.0,eng ENG,"AM,RW",22-310,19,8,10,80.0,111,19,6,6,100.0,1,1,100.0,1,2,50.0,0,0.1,0.0,1,0,1,0,1,False,-7413357642109695911
Dan Ndoye,14.0,ch SUI,"RW,LW",24-303,70,12,19,63.2,237,127,6,8,75.0,2,3,66.7,3,3,100.0,1,0.4,0.4,2,2,1,1,2,False,-7413357642109695911
Arnaud Kalimuendo,15.0,fr FRA,LW,23-216,20,3,4,75.0,37,0,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,-7413357642109695911
Morgan Gibbs-White,10.0,eng ENG,AM,25-209,81,33,49,67.3,444,85,24,28,85.7,9,13,69.2,0,4,0.0,0,0.1,0.1,1,5,1,1,5,False,-7413357642109695911
Omari Hutchinson,21.0,eng ENG,RW,21-298,9,5,7,71.4,68,0,3,3,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,False,-7413357642109695911
Elliot Anderson,8.0,eng ENG,DM,22-291,90,69,80,86.3,1232,268,29,31,93.5,36,39,92.3,4,8,50.0,0,0.0,0.0,1,10,2,1,11,False,-7413357642109695911
Ibrahim Sangaré,6.0,ci CIV,DM,27-265,87,57,60,95.0,979,362,30,30,100.0,23,24,95.8,4,5,80.0,0,0.0,0.0,0,4,0,0,6,False,-7413357642109695911
Ryan Yates,22.0,eng ENG,DM,27-276,3,7,9,77.8,139,5,4,4,100.0,1,1,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,1,False,-7413357642109695911
Neco Williams,3.0,wls WAL,LB,24-133,90,51,65,78.5,760,180,29,33,87.9,19,26,73.1,2,4,50.0,0,0.0,0.0,0,3,0,0,7,False,-7413357642109695911
Murillo,5.0,br BRA,CB,23-051,90,74,84,88.1,1511,686,23,24,95.8,40,41,97.6,11,19,57.9,0,0.0,0.2,0,8,0,0,9,False,-7413357642109695911
Nikola Milenković,31.0,rs SRB,CB,27-316,90,53,57,93.0,1024,304,18,19,94.7,32,33,97.0,3,5,60.0,0,0.0,0.0,0,2,0,0,0,False,-7413357642109695911
Ola Aina,34.0,ng NGA,RB,28-320,90,40,52,76.9,767,366,17,17,100.0,17,22,77.3,6,11,54.5,0,0.0,0.0,0,2,0,0,2,False,-7413357642109695911
Matz Sels,26.0,be BEL,GK,33-179,90,21,30,70.0,621,441,3,3,100.0,12,12,100.0,6,15,40.0,0,0.0,0.0,0,2,0,0,0,False,-7413357642109695911
Thierno Barry,11.0,fr FRA,FW,22-307,63,7,14,50.0,95,16,4,5,80.0,2,7,28.6,0,1,0.0,0,0.0,0.0,0,0,0,0,1,True,8345289200052928527
Beto,9.0,gw GNB,FW,27-205,27,2,5,40.0,13,0,2,3,66.7,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,8345289200052928527
Jack Grealish,18.0,eng ENG,LW,29-348,89,30,38,78.9,365,104,19,22,86.4,9,11,81.8,0,0,,2,0.9,0.7,3,2,1,0,4,True,8345289200052928527
Harrison Armstrong,45.0,eng ENG,LW,18-217,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,8345289200052928527
Iliman Ndiaye,10.0,sn SEN,RW,25-171,63,10,11,90.9,113,8,4,4,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,True,8345289200052928527
Carlos Alcaraz,24.0,ar ARG,"DM,RW",22-267,27,7,9,77.8,114,0,4,5,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,8345289200052928527
Kiernan Dewsbury-Hall,22.0,eng ENG,AM,26-352,90,37,44,84.1,582,203,21,24,87.5,9,10,90.0,5,7,71.4,0,0.4,0.2,4,7,3,1,6,True,8345289200052928527
Idrissa Gana Gueye,27.0,sn SEN,DM,35-332,90,35,40,87.5,459,149,24,26,92.3,10,11,90.9,1,2,50.0,0,0.0,0.0,0,4,0,0,1,True,8345289200052928527
Tim Iroegbunam,42.0,eng ENG,DM,22-055,70,12,22,54.5,207,39,6,10,60.0,5,8,62.5,1,1,100.0,0,0.0,0.0,0,2,0,0,0,True,8345289200052928527
Dwight McNeil,7.0,eng ENG,RW,25-275,20,5,6,83.3,66,8,4,5,80.0,1,1,100.0,0,0,,0,0.1,0.0,1,0,0,0,0,True,8345289200052928527
James Garner,37.0,eng ENG,LB,24-164,90,40,52,76.9,656,339,20,22,90.9,16,21,76.2,3,6,50.0,0,0.2,0.1,2,2,0,0,2,True,8345289200052928527
