Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Kiernan Dewsbury-Hall,22.0,eng ENG,"AM,DM",26-346,90,27,35,77.1,440,109,13,16,81.3,12,14,85.7,2,4,50.0,0,0.2,0.2,1,1,2,1,2,False,-3258275146814548393
Idrissa Gana Gueye,27.0,sn SEN,DM,35-326,90,42,50,84.0,681,178,20,22,90.9,20,24,83.3,2,4,50.0,0,0.1,0.1,1,3,2,1,6,False,-3258275146814548393
Tim Iroegbunam,42.0,eng ENG,DM,22-049,70,14,17,82.4,227,54,5,7,71.4,9,9,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,False,-3258275146814548393
Jack Grealish,18.0,eng ENG,LW,29-342,20,9,11,81.8,130,53,6,6,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,2,0,0,2,False,-3258275146814548393
James Garner,37.0,eng ENG,LB,24-158,90,50,60,83.3,863,246,23,26,88.5,23,28,82.1,4,5,80.0,0,0.0,0.0,0,6,0,0,6,False,-3258275146814548393
Michael Keane,5.0,eng ENG,CB,32-219,90,49,56,87.5,1040,350,11,13,84.6,33,35,94.3,5,7,71.4,0,0.0,0.0,0,1,0,0,1,False,-3258275146814548393
James Tarkowski,6.0,eng ENG,CB,32-272,90,50,62,80.6,1123,364,10,11,90.9,33,36,91.7,7,14,50.0,0,0.0,0.0,0,5,0,0,7,False,-3258275146814548393
Jake O'Brien,15.0,ie IRL,RB,24-095,90,23,43,53.5,437,104,9,12,75.0,11,23,47.8,3,5,60.0,0,0.0,0.0,0,2,0,0,2,False,-3258275146814548393
Jordan Pickford,1.0,eng ENG,GK,31-164,90,43,59,72.9,1177,790,7,7,100.0,24,24,100.0,12,28,42.9,0,0.0,0.0,0,3,0,0,0,False,-3258275146814548393
Niclas Füllkrug,11.0,de GER,FW,32-194,45,6,10,60.0,151,26,1,4,25.0,2,2,100.0,2,3,66.7,0,0.1,0.0,1,0,0,0,0,True,-2477332544702716166
Callum Wilson,9.0,eng ENG,FW,33-176,45,6,7,85.7,84,14,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,True,-2477332544702716166
Jarrod Bowen,20.0,eng ENG,"FW,RW",28-245,90,25,32,78.1,352,27,11,13,84.6,11,13,84.6,0,1,0.0,0,0.0,0.1,1,1,0,0,2,True,-2477332544702716166
Lucas Paquetá,10.0,br BRA,"AM,LW",27-360,90,49,57,86.0,723,202,28,28,100.0,15,19,78.9,4,5,80.0,0,0.0,0.1,1,8,2,0,9,True,-2477332544702716166
Tomáš Souček,28.0,cz CZE,"CM,DM",30-176,69,19,25,76.0,276,76,13,16,81.3,5,7,71.4,1,1,100.0,0,0.0,0.0,0,2,0,0,3,True,-2477332544702716166
Kyle Walker-Peters,2.0,eng ENG,WB,28-131,21,17,19,89.5,207,79,13,13,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,1,True,-2477332544702716166
James Ward-Prowse,8.0,eng ENG,"CM,DM",30-294,90,45,52,86.5,732,328,22,22,100.0,15,17,88.2,5,8,62.5,0,0.3,0.3,4,4,1,0,5,True,-2477332544702716166
El Hadji Malick Diouf,12.0,sn SEN,"WB,LB",20-237,90,35,41,85.4,515,209,21,23,91.3,10,11,90.9,2,3,66.7,1,0.0,0.0,1,1,1,0,1,True,-2477332544702716166
Aaron Wan-Bissaka,29.0,cd COD,"WB,RB,CB",27-269,90,32,36,88.9,490,190,16,17,94.1,11,12,91.7,3,4,75.0,0,0.1,0.1,1,2,2,2,1,True,-2477332544702716166
Nayef Aguerd,5.0,ma MAR,CB,29-145,90,43,47,91.5,687,319,22,22,100.0,19,20,95.0,1,4,25.0,0,0.0,0.0,0,4,0,0,4,True,-2477332544702716166
Max Kilman,3.0,eng ENG,CB,28-091,90,28,28,100.0,479,82,10,10,100.0,16,16,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,True,-2477332544702716166
Jean-Clair Todibo,25.0,fr FRA,CB,25-235,45,18,19,94.7,296,76,7,7,100.0,10,11,90.9,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,-2477332544702716166
Freddie Potts,32.0,eng ENG,"CM,AM",21-344,45,24,31,77.4,330,140,11,13,84.6,10,13,76.9,0,0,,0,0.0,0.0,0,0,0,0,0,True,-2477332544702716166
Mads Hermansen,1.0,dk DEN,GK,25-042,90,24,36,66.7,660,463,4,4,100.0,14,14,100.0,6,18,33.3,0,0.0,0.0,0,2,0,0,0,True,-2477332544702716166
Liam Delap,9.0,eng ENG,FW,22-195,61,6,8,75.0,92,28,3,3,100.0,3,5,60.0,0,0,,0,0.0,0.0,0,0,0,0,1,False,-2477332544702716166
Andrey Santos,17.0,br BRA,AM,21-111,29,10,11,90.9,150,47,6,6,100.0,4,4,100.0,0,1,0.0,0,0.0,0.0,1,1,0,0,2,False,-2477332544702716166
Pedro Neto,7.0,pt POR,"LW,RW",25-166,90,21,36,58.3,351,74,12,17,70.6,7,10,70.0,2,8,25.0,0,0.1,0.2,1,0,1,0,2,False,-2477332544702716166
