player_code,fbref_name,position,fpl_cost,fpl_form,season_ppg,total_points
204580,Vitaly Janelt,MID,4.9,0.8,1.3,13
207283,Mathias Jensen,MID,4.9,1.4,2.1,27
428580,Frank Onyeka,MID,4.8,0.0,2.0,12
508395,Yehor Yarmoliuk,MID,5.0,1.8,2.5,38
502500,Thiago,FWD,6.9,6.6,5.3,80
489639,Bart Verbruggen,GK,4.4,4.8,2.9,44
204120,Olivier Boscagli,DEF,4.2,0.2,0.5,1
550090,Diego Coppola,DEF,4.2,0.0,1.0,3
465730,Maxim De Cuyper,DEF,4.3,5.0,3.1,40
83299,Lewis Dunk,DEF,4.5,2.8,2.5,37
231416,Ferdi Kadioglu,DEF,4.4,3.4,2.4,33
469142,Jan Paul van Hecke,DEF,4.5,6.0,4.3,65
111478,Joël Veltman,DEF,4.3,0.6,1.2,10
451340,Kaoru Mitoma,MID,6.1,0.0,3.3,20
463067,Georginio Rutter,MID,5.6,3.2,3.4,44
592031,Yankuba Minteh,MID,6.3,4.4,4.6,69
513433,Brajan Gruda,MID,5.4,0.8,2.1,23
532529,Jack Hinshelwood,MID,5.1,3.4,3.0,21
219249,Matt O'Riley,MID,5.5,0.0,6.0,12
509416,Yasin Ayari,MID,4.9,2.0,2.8,36
535301,Carlos Baleba,MID,4.6,1.8,1.5,23
514254,Diego Gómez,MID,4.9,2.0,2.5,35
15157,James Milner,MID,4.9,0.0,2.1,15
549074,Tom Watson,MID,4.8,0.0,1.0,2
467779,Mats Wieffer,MID,4.9,4.2,4.2,54
567121,Joe Knight,MID,4.5,0.0,1.0,1
50175,Danny Welbeck,FWD,6.6,3.0,3.9,58
608181,Stefanos Tzimas,FWD,5.3,1.4,1.8,16
647850,Charalampos Kostoulas,FWD,4.8,0.6,1.7,10
556637,Nehemiah Oriola,MID,4.5,0.0,1.0,1
536916,Facundo Buonanotte,MID,4.6,0.0,1.0,1
215059,Robert Sánchez,GK,4.8,5.0,3.8,57
508479,Filip Jørgensen,GK,4.3,0.0,1.0,1
179268,Marc Cucurella,DEF,6.2,3.5,4.2,63
225796,Reece James,DEF,5.6,3.8,4.4,61
180736,Trevoh Chalobah,DEF,5.3,6.8,5.9,82
482609,Malo Gusto,DEF,4.9,2.8,3.8,50
444463,Wesley Fofana,DEF,4.4,3.2,4.0,28
109646,Tosin Adarabioyo,DEF,4.2,3.2,3.0,27
577016,Joshua Acheampong,DEF,3.9,0.0,5.4,27
244851,Cole Palmer,MID,10.3,0.5,2.6,13
247632,Pedro Neto,MID,7.3,4.5,4.7,70
448047,Enzo Fernández,MID,6.6,4.5,4.7,66
624773,Estêvão Willian,MID,6.6,0.5,2.4,31
463936,Jamie Gittens,MID,6.1,2.8,1.8,20
486672,Moisés Caicedo,MID,5.8,-0.5,4.8,58
550615,Tyrique George,MID,4.8,0.0,1.0,4
514356,Roméo Lavia,MID,4.9,0.0,1.0,4
532605,Andrey Santos,MID,4.5,1.8,1.4,14
475168,João Pedro,FWD,7.3,1.2,4.3,64
463034,Liam Delap,FWD,6.2,1.5,1.5,12
499309,Marc Guiu,FWD,4.2,1.2,1.3,12
493105,Alejandro Garnacho,MID,6.4,1.2,3.2,29
551210,Jorrel Hato,DEF,4.7,0.0,0.8,3
172649,Dean Henderson,GK,5.1,5.4,4.2,63
247348,Daniel Muñoz,DEF,6.1,7.0,6.4,89
437499,Maxence Lacroix,DEF,5.1,6.0,5.3,80
244723,Tyrick Mitchell,DEF,5.0,5.2,4.7,70
218364,Borna Sosa,DEF,4.8,0.0,1.0,1
209036,Marc Guéhi,DEF,5.2,5.4,6.5,91
427623,Chris Richards,DEF,4.6,5.6,4.8,72
57328,Nathaniel Clyne,DEF,3.8,0.4,1.5,3
232185,Ismaila Sarr,MID,6.5,1.4,4.5,50
606921,Romain Esse,MID,4.7,0.0,1.0,1
108413,Will Hughes,MID,4.7,0.8,1.4,17
209400,Daichi Kamada,MID,5.0,3.0,3.4,44
152551,Jefferson Lerma,MID,4.9,1.8,2.0,28
496221,Adam Wharton,MID,5.0,5.0,3.7,48
489706,Justin Devenny,MID,4.3,0.8,1.1,13
231747,Jean-Philippe Mateta,FWD,8.0,2.6,4.1,61
205533,Eddie Nketiah,FWD,5.4,2.2,2.1,19
199670,Odsonne Édouard,FWD,5.0,0.0,1.0,1
488024,Yeremi Pino,MID,5.8,3.8,2.5,33
651426,Jaydee Canvot,DEF,4.5,2.6,2.8,14
660392,Christantus Uche,FWD,5.5,0.4,1.0,5
215413,Kiernan Dewsbury-Hall,MID,5.1,9.8,5.3,74
111234,Jordan Pickford,GK,5.5,6.0,4.4,66
17761,James Tarkowski,DEF,5.4,7.5,4.9,73
224967,Vitaliy Mykolenko,DEF,4.9,5.2,3.2,38
512462,Jake O'Brien,DEF,4.9,5.0,3.2,48
59949,Séamus Coleman,DEF,4.3,0.2,1.0,3
106611,Michael Keane,DEF,4.6,5.0,5.4,76
440993,Iliman Ndiaye,MID,6.5,4.0,4.7,71
433154,Dwight McNeil,MID,5.5,1.0,1.0,7
502697,Carlos Alcaraz,MID,5.2,2.5,1.5,18
80801,Idrissa Gana Gueye,MID,5.4,-0.5,3.3,40
232928,James Garner,MID,5.0,3.5,3.7,56
490094,Tim Iroegbunam,MID,4.8,1.5,2.2,24
609873,Harrison Armstrong,MID,4.5,0.0,1.0,1
586309,Thierno Barry,FWD,5.7,2.8,1.5,23
486385,Beto,FWD,5.1,1.0,1.7,25
114283,Jack Grealish,MID,6.6,4.8,4.4,62
496661,Tyler Dibling,MID,5.3,0.5,0.8,5
513466,Merlin Röhl,MID,5.0,0.0,1.0,4
80201,Bernd Leno,GK,4.9,2.0,2.8,42
169528,Antonee Robinson,DEF,4.9,0.0,1.0,3
174874,Joachim Andersen,DEF,4.5,3.8,3.9,54
232892,Calvin Bassey,DEF,4.5,4.5,3.1,46
166477,Timothy Castagne,DEF,4.3,1.5,1.5,16
219924,Issa Diop,DEF,4.3,0.0,1.3,4
246301,Jorge Cuenca,DEF,4.3,0.0,2.3,7
167074,Kenny Tete,DEF,4.5,5.2,3.9,47
153133,Alex Iwobi,MID,6.4,3.5,3.6,54
209289,Emile Smith Rowe,MID,5.6,2.8,1.8,27
159533,Adama Traoré,MID,5.1,0.2,1.2,12
184349,Ryan Sessegnon,MID,5.4,2.2,4.3,56
153682,Harry Wilson,MID,5.3,7.0,4.4,62
207189,Sander Berge,MID,4.9,1.8,2.3,34
76357,Tom Cairney,MID,4.8,0.2,1.1,9
212314,Saša Lukić,MID,5.0,0.8,2.5,30
577725,Joshua King,MID,4.5,2.5,1.9,29
153366,Harrison Reed,MID,4.3,0.2,1.0,1
102057,Raúl Jiménez,FWD,6.2,3.5,2.8,39
244042,Rodrigo Muniz,FWD,5.4,0.0,2.4,17
218328,Samuel Chukwueze,MID,5.3,5.8,3.8,30
560552,Kevin,MID,5.8,1.5,1.3,16
631786,Jonah Kusi-Asare,FWD,4.5,0.2,1.0,2
59735,Karl Darlow,GK,3.9,0.0,2.0,10
226182,Jayden Bogle,DEF,4.4,1.4,2.3,34
222694,Pascal Struijk,DEF,4.3,1.2,2.3,30
434752,Jaka Bijol,DEF,3.9,3.0,3.3,20
437738,Sebastiaan Bornauw,DEF,3.8,0.4,1.0,2
113564,Sam Byram,DEF,3.8,0.0,1.0,1
243526,Gabriel Gudmundsson,DEF,3.9,1.4,2.2,33
214225,Joe Rodon,DEF,4.1,1.4,3.5,52
427637,Brenden Aaronson,MID,5.4,2.8,3.4,48
492859,Wilfried Gnonto,MID,5.2,1.0,1.6,11
221399,Jack Harrison,MID,5.1,0.2,1.1,11
200617,Daniel James,MID,5.3,0.6,1.3,13
199598,Ethan Ampadu,MID,4.9,2.8,2.8,36
486520,Ilia Gruev,MID,4.8,1.0,1.5,12
248056,Ao Tanaka,MID,4.8,4.2,2.8,34
235826,Joël Piroe,FWD,5.0,0.8,1.1,9
174594,Lukas Nmecha,FWD,5.0,4.4,2.6,37
180135,Sean Longstaff,MID,4.9,0.6,3.3,40
466525,Anton Stach,MID,4.8,5.2,4.8,62
201595,Lucas Perri,GK,4.5,2.0,2.5,25
177815,Dominic Calvert-Lewin,FWD,5.5,4.8,3.7,48
435997,Noah Okafor,MID,5.5,2.2,3.2,38
220627,James Justin,DEF,3.9,0.4,0.9,6
116535,Alisson,GK,5.4,2.4,3.2,32
449027,Giorgi Mamardashvili,GK,4.3,1.4,3.8,19
216094,Jeremie Frimpong,DEF,5.7,0.0,1.8,7
544877,Milos Kerkez,DEF,5.6,2.0,2.1,30
122798,Andrew Robertson,DEF,5.8,0.8,1.7,15
97032,Virgil van Dijk,DEF,6.0,3.2,3.7,56
204716,Ibrahima Konaté,DEF,5.4,2.8,3.5,52
492777,Conor Bradley,DEF,5.0,1.0,2.0,20
171287,Joe Gomez,DEF,4.9,3.2,2.7,19
118748,Mohamed Salah,MID,14.0,1.0,4.4,57
494595,Florian Wirtz,MID,8.0,3.0,2.3,32
243298,Cody Gakpo,MID,7.5,4.0,4.3,65
223541,Federico Chiesa,MID,6.3,0.4,2.1,21
