name_match,player_code,position,first_name,last_name,fpl_cost,fpl_form,season_ppg,total_points
Lewis Cook,155408,MID,Lewis,Cook,4.9,1.0,1.0,4
Alex Scott,503139,MID,Alex,Scott,5.0,3.3,3.4,34
Hamed Junior Traorè,424044,MID,Hamed,Traorè,4.5,0.0,4.0,4
Ben Winterburn,606775,MID,Ben,Winterburn,4.5,0.0,1.0,1
Evanilson,444102,FWD,Francisco Evanilson,de Lima Barbosa,7.0,0.3,2.9,23
Enes Ünal,168636,FWD,Enes,Ünal,5.4,0.3,1.0,1
Eli Junior Kroupi,560262,FWD,Eli Junior,Kroupi,4.6,6.7,4.1,29
Ben Gannon-Doak,496208,MID,Ben,Gannon-Doak,4.9,0.7,1.8,7
Bafodé Diakité,242882,DEF,Bafodé,Diakité,4.5,1.3,3.8,30
Amine Adli,489888,MID,Amine,Adli,5.4,0.7,1.0,7
Álex Jiménez,551483,DEF,Álex,Jiménez Sánchez,4.5,2.7,1.3,9
Veljko Milosavljević,620487,DEF,Veljko,Milosavljevic,4.5,2.0,3.7,11
Reiss Nelson,200641,MID,Reiss,Nelson,4.8,0.2,1.0,1
Dango Ouattara,533463,MID,Dango,Ouattara,6.0,4.0,3.9,35
Caoimhín Kelleher,200720,GK,Caoimhín,Kelleher,4.5,3.0,3.0,30
Nathan Collins,432830,DEF,Nathan,Collins,4.9,3.5,3.0,30
Keane Lewis-Potter,249231,DEF,Keane,Lewis-Potter,4.9,1.2,2.3,21
Kristoffer Ajer,191866,DEF,Kristoffer,Ajer,4.4,3.2,2.7,19
Rico Henry,194010,DEF,Rico,Henry,4.4,0.2,0.7,5
Michael Kayode,607464,DEF,Michael,Kayode,4.5,3.2,3.0,30
Sepp van den Berg,444765,DEF,Sepp,van den Berg,4.5,3.5,3.2,32
Aaron Hickey,472713,DEF,Aaron,Hickey,4.0,0.5,1.2,6
Kevin Schade,513418,MID,Kevin,Schade,7.0,3.8,3.2,32
Mikkel Damsgaard,440089,MID,Mikkel,Damsgaard,5.8,3.5,3.9,31
Antoni Milambo,543295,MID,Antoni,Milambo,5.3,0.0,1.0,1
Fabio Carvalho,244858,MID,Fábio,Freitas Gouveia Carvalho,4.9,0.5,2.2,13
Jordan Henderson,56979,MID,Jordan,Henderson,5.0,1.5,2.7,27
Vitaly Janelt,204580,MID,Vitaly,Janelt,4.9,1.8,1.5,9
Mathias Jensen,207283,MID,Mathias,Jensen,4.9,2.2,2.5,20
Frank Onyeka,428580,MID,Frank,Onyeka,4.9,0.5,2.0,12
Yehor Yarmoliuk,508395,MID,Yehor,Yarmoliuk,5.0,2.0,2.9,29
Thiago,502500,FWD,Igor Thiago,Nascimento Rodrigues,6.2,4.2,4.7,47
