name_match,player_code,position,first_name,last_name,fpl_cost,fpl_form,season_ppg,total_points
Jota Silva,510500,MID,João Pedro,Ferreira da Silva,5.4,0.0,1.0,1
Nicolás Domínguez,250199,MID,Nicolás,Domínguez,5.0,0.2,0.5,1
Ibrahim Sangaré,210462,MID,Ibrahim,Sangaré,4.9,0.5,1.9,13
Ryan Yates,204968,MID,Ryan,Yates,4.7,1.8,1.7,10
Chris Wood,60689,FWD,Chris,Wood,7.2,0.8,3.1,25
Igor Jesus,482973,FWD,Igor Jesus,Maciel da Cruz,5.8,2.0,1.4,13
Taiwo Awoniyi,210156,FWD,Taiwo,Awoniyi,5.2,0.8,1.0,3
Dan Ndoye,456512,MID,Dan,Ndoye,5.7,1.2,3.0,27
Omari Hutchinson,503301,MID,Omari,Hutchinson,5.4,0.5,1.0,5
Arnaud Kalimuendo,465680,FWD,Arnaud,Kalimuendo,6.0,0.2,1.0,6
Douglas Luiz,230046,MID,Douglas Luiz,Soares de Paulo,5.0,0.5,1.8,7
Nicolò Savona,500151,DEF,Nicolò,Savona,4.5,2.5,2.0,10
Dilane Bakwa,476887,MID,Dilane,Bakwa,6.0,0.2,1.2,5
Daniel Ballard,223827,DEF,Daniel,Ballard,4.6,3.8,5.0,35
Trai Hume,487676,DEF,Trai,Hume,4.5,3.5,4.3,39
Reinildo Mandava,434399,DEF,Reinildo,Mandava,4.0,0.5,2.7,16
Jenson Seelt,519634,DEF,Jenson,Seelt,4.0,0.0,1.0,2
Simon Adingra,535818,MID,Simon,Adingra,5.1,0.2,2.2,13
Habib Diarra,547027,MID,Habib,Diarra,5.3,0.0,3.0,12
Patrick Roberts,124165,MID,Patrick,Roberts,5.4,0.0,1.0,1
Enzo Le Fée,484420,MID,Enzo,Le Fée,4.9,2.0,3.2,26
Dan Neil,223336,MID,Dan,Neil,4.8,0.2,1.0,2
Chris Rigg,554197,MID,Chris,Rigg,4.8,1.0,1.3,8
Noah Sadiki,577669,MID,Noah,Sadiki,5.0,1.5,2.1,19
Chemsdine Talbi,549912,MID,Chemsdine,Talbi,5.0,3.2,3.6,32
Wilson Isidor,437505,FWD,Wilson,Isidor,5.6,2.5,4.1,37
Eliezer Mayenda,564406,FWD,Eliezer,Mayenda Dossou,5.4,0.5,2.5,15
Granit Xhaka,84450,MID,Granit,Xhaka,5.1,2.5,4.3,39
Robin Roefs,498016,GK,Robin,Roefs,4.7,3.2,5.8,52
Arthur Masuaku,105717,DEF,Arthur,Masuaku,3.9,0.0,0.3,1
Omar Alderete,201895,DEF,Omar,Alderete,4.1,1.5,5.6,45
Nordi Mukiele,200834,DEF,Nordi,Mukiele,4.2,5.5,6.6,46
Lutsharel Geertruida,247955,DEF,Lutsharel,Geertruida,4.5,1.0,1.2,7
Brian Brobbey,441264,FWD,Brian,Brobbey,5.5,1.2,1.8,7
Bertrand Traoré,110504,MID,Bertrand,Traoré,5.5,2.0,2.2,9
Guglielmo Vicario,184254,GK,Guglielmo,Vicario,5.1,3.5,4.6,46
Pedro Porro,441164,DEF,Pedro,Porro Sauceda,5.5,5.2,4.4,44
Cristian Romero,221632,DEF,Cristian,Romero,5.0,0.5,4.1,33
Kevin Danso,135720,DEF,Kevin,Danso,4.3,2.5,2.0,12
Djed Spence,232859,DEF,Djed,Spence,4.5,2.2,3.3,30
Destiny Udogie,487053,DEF,Destiny,Udogie,4.4,0.8,1.3,8
Micky van de Ven,491279,DEF,Micky,van de Ven,4.7,6.8,5.7,57
Brennan Johnson,242898,MID,Brennan,Johnson,6.7,1.5,2.7,27
Mohammed Kudus,460842,MID,Mohammed,Kudus,6.7,4.5,4.5,45
Mathys Tel,511499,MID,Mathys,Tel,6.3,2.8,2.4,17
Rodrigo Bentancur,202993,MID,Rodrigo,Bentancur,5.3,6.0,3.8,34
Lucas Bergvall,570526,MID,Lucas,Bergvall,5.4,0.8,2.7,24
Wilson Odobert,550839,MID,Wilson,Odobert,5.3,1.2,1.3,12
Archie Gray,547701,MID,Archie,Gray,4.8,0.0,2.0,4
Pape Matar Sarr,482442,MID,Pape Matar,Sarr,4.9,3.0,3.9,35
Dominic Solanke,154566,FWD,Dominic,Solanke-Mitchell,7.2,0.0,1.0,2
Richarlison,212319,FWD,Richarlison,de Andrade,6.5,1.8,3.8,38
João Palhinha,154296,MID,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,5.5,4.8,4.8,48
Xavi Simons,493362,MID,Xavi,Simons,6.7,2.5,2.6,18
Randal Kolo Muani,247693,FWD,Randal,Kolo Muani,6.9,1.2,1.7,5
Igor,223434,DEF,Igor Julio,dos Santos de Paulo,4.5,0.2,1.0,2
Alphonse Areola,84182,GK,Alphonse,Areola,4.3,2.2,2.2,13
El Hadji Malick Diouf,613804,DEF,El Hadji Malick,Diouf,4.4,1.8,3.0,30
Max Kilman,214048,DEF,Maximilian,Kilman,4.3,1.8,1.9,19
Konstantinos Mavropanos,233963,DEF,Konstantinos,Mavropanos,4.4,1.0,2.8,17
Nayef Aguerd,210494,DEF,Nayef,Aguerd,4.4,0.0,1.5,3
Oliver Scarles,536109,DEF,Ollie,Scarles,4.4,0.2,0.5,1
Jean-Clair Todibo,462116,DEF,Jean-Clair,Todibo,4.3,1.2,1.2,6
Aaron Wan-Bissaka,214590,DEF,Aaron,Wan-Bissaka,4.3,2.5,1.8,11
Lucas Paquetá,224024,MID,Lucas,Tolentino Coelho de Lima,5.9,3.2,4.1,41
Tomáš Souček,215439,MID,Tomáš,Souček,5.7,2.5,2.0,14
James Ward-Prowse,101178,MID,James,Ward-Prowse,5.7,0.0,2.2,11
Crysencio Summerville,450070,MID,Crysencio,Summerville,5.5,1.2,2.2,18
Guido Rodríguez,197024,MID,Guido,Rodríguez,4.8,0.2,1.5,3
Luis Guilherme,577114,MID,Luis Guilherme,Lira dos Santos,4.9,0.0,1.0,3
Andy Irving,229384,MID,Andy,Irving,4.4,1.0,1.3,8
Freddie Potts,490142,MID,Freddie,Potts,4.4,1.0,1.2,6
Jarrod Bowen,178186,FWD,Jarrod,Bowen,7.7,2.8,4.4,44
Niclas Füllkrug,91889,FWD,Niclas,Füllkrug,5.6,0.5,1.7,10
Callum Marshall,565431,FWD,Callum,Marshall,4.4,0.5,1.0,2
Kyle Walker-Peters,158534,DEF,Kyle,Walker-Peters,4.3,1.0,1.6,14
Callum Wilson,75115,FWD,Callum,Wilson,5.8,1.0,2.1,15
Mads Hermansen,467189,GK,Mads,Hermansen,4.4,0.0,2.2,9
Mateus Fernandes,551226,MID,Mateus Gonçalo,Espanha Fernandes,5.5,4.5,3.4,27
Soungoutou Magassa,564940,MID,Soungoutou,Magassa,5.0,0.8,1.0,5
Sam Johnstone,101982,GK,Sam,Johnstone,4.5,2.0,2.2,13
José Sá,149065,GK,José,Malheiro de Sá,4.4,0.0,1.2,5
Emmanuel Agbadou,516939,DEF,Emmanuel,Agbadou,4.3,-0.5,1.4,11
Matt Doherty,87835,DEF,Matt,Doherty,4.4,0.5,0.5,2
Hugo Bueno,490721,DEF,Hugo,Bueno López,4.4,2.8,2.0,20
Yerson Mosquera,501837,DEF,Yerson,Mosquera Valdelamar,4.4,-0.5,0.2,1
Rodrigo Gomes,483081,DEF,Rodrigo,Martins Gomes,4.5,0.8,2.2,13
Santiago Bueno,231480,DEF,Santiago,Ignacio Bueno,4.4,2.0,3.4,24
Toti Gomes,510362,DEF,Toti,Gomes,4.3,0.0,0.7,5
Ki-Jana Hoever,441271,DEF,Ki-Jana,Hoever,3.9,0.8,1.0,5
Hwang Hee-chan,184754,MID,Hwang,Hee-chan,5.8,0.5,2.0,14
André,509291,MID,André,Trindade da Costa Neto,5.4,2.5,2.4,24
Jean-Ricner Bellegarde,231057,MID,Jean-Ricner,Bellegarde,5.2,1.0,1.2,11
Fer López,643135,MID,Fer,López González,5.3,0.2,1.4,7
João Gomes,448089,MID,João Victor,Gomes da Silva,5.4,2.0,2.2,22
Marshall Munetsi,433312,MID,Marshall,Munetsi,5.4,5.2,3.5,35
Jørgen Strand Larsen,247412,FWD,Jørgen,Strand Larsen,6.4,3.0,2.4,19
Sasa Kalajdzic,429414,FWD,Saša,Kalajdžić,4.9,0.0,1.0,1
Jhon Arias,230376,MID,Jhon,Arias,5.1,2.0,1.9,19
David Møller Wolfe,497949,DEF,David,Møller Wolfe,4.4,0.5,1.6,8
Jackson Tchatchoua,523705,DEF,Jackson,Tchatchoua,4.5,1.5,1.2,11
Ladislav Krejčí,431248,DEF,Ladislav,Krejcí,4.5,1.5,2.3,16
Tolu Arokodare,488213,FWD,Tolu,Arokodare,5.5,1.0,1.3,9
